#{"t_start": 1779897181.1096659, "env_id": "None"}
r,l,t,is_success,episode_cost,episode_base_reward,episode_collision,episode_out_of_road,episode_mean_speed,episode_steering_variation,episode_ttc_risk,curriculum_stage
10.648051,1000,4.398879,0.0,0.0,10.648050909680558,0.0,0.0,0.6423718495706056,0.8524461476793512,0.0,2.0
14.582924,1000,7.919196,0.0,0.0,14.582923774893443,0.0,0.0,0.7675658265553879,0.8449255158491432,0.0,2.0
19.95319,1000,10.738236,0.0,0.0,19.95318995373433,0.0,0.0,1.0002488013663648,0.8246923354454339,0.0,2.0
27.860329,1000,13.199294,0.0,0.0,27.860329389244207,0.0,0.0,1.2404745099305452,0.8272790278345347,0.0,2.0
49.71339,1000,15.749593,0.0,0.0,49.71339049849866,0.0,0.0,1.9571412318067385,0.8116472674850375,0.0,2.0
75.706584,1000,18.08341,0.0,0.0,75.70658387460595,0.0,0.0,2.861641611403464,0.8228289812672883,0.0,2.0
56.519232,658,20.037658,0.0,1.0,56.5192323874425,0.0,1.0,3.6612115902416047,0.8389647303511443,0.0,2.0
23.693959,293,20.9757,0.0,1.0,23.6939586449699,0.0,1.0,4.1614550602073725,0.7916381378235365,0.0,2.0
46.12058,540,22.384821,0.0,1.0,46.12058005847818,0.0,1.0,4.16694567828654,0.8298903974325017,0.0,2.0
20.378927,321,23.307249,0.0,1.0,20.378926909792305,0.0,1.0,3.416551623568815,0.841218141983974,0.0,2.0
11.689523,197,24.328017,0.0,1.0,11.689523022896694,0.0,1.0,3.6807155324408267,0.9282490035452818,0.0,2.0
5.11293,72,24.634703,0.0,1.0,5.112930098730303,0.0,1.0,6.807166717233364,0.7080028422383798,0.0,2.0
18.975329,199,25.319755,0.0,1.0,18.97532878284405,0.0,1.0,5.184348550230936,0.7182990208492807,0.0,2.0
3.494233,110,25.683672,0.0,1.0,3.494233162290092,0.0,1.0,4.01877057244941,0.7991948418319226,0.0,2.0
12.918042,151,26.329009,0.0,1.0,12.918041768872847,0.0,1.0,5.086684569135143,0.9006502416157565,0.0,2.0
23.814555,130,26.907252,0.0,1.0,23.814554512352306,0.0,1.0,8.962692897313314,0.7067589248029086,0.0,2.0
22.496368,266,28.113244,0.0,1.0,22.49636844465838,0.0,1.0,4.267428814458225,0.8387912593053696,0.0,2.0
14.416342,132,28.505237,0.0,1.0,14.416342105950697,0.0,1.0,6.582436561769353,0.7226238591935147,0.0,2.0
59.42419,388,30.196758,0.0,1.0,59.42418996258334,0.0,1.0,5.998618428039845,0.7842431891152692,0.0,2.0
-2.103777,42,30.438848,0.0,1.0,-2.103776506389969,0.0,1.0,5.362774635191748,0.8063706663392839,0.0,2.0
22.924938,202,31.514735,0.0,1.0,22.92493818118428,1.0,0.0,5.441225481145798,0.8406669749039235,0.026009653355042194,2.0
32.958692,263,32.665955,0.0,1.0,32.95869186432816,0.0,1.0,6.142477411132595,0.7657869426611486,0.0,2.0
-0.653291,88,33.153734,0.0,1.0,-0.6532908900898091,0.0,1.0,4.105534040681359,0.8507192837582394,0.0,2.0
87.396808,552,34.90379,0.0,1.0,87.39680793908313,0.0,1.0,6.249454486703028,0.8257450242324368,0.0,2.0
66.510644,304,35.89979,0.0,1.0,66.51064424094177,0.0,1.0,8.923465441632068,0.7733413868975875,0.0,2.0
24.782646,173,36.65563,0.0,1.0,24.78264601375323,0.0,1.0,7.360264864872281,0.8256102912666309,0.0,2.0
9.208004,152,37.006194,0.0,1.0,9.208004310552584,0.0,1.0,5.418451468825703,0.7986823113782233,0.0,2.0
80.904627,499,38.510224,0.0,1.0,80.90462676416858,0.0,1.0,6.693679257600232,0.7435941432335812,0.005009495964569725,2.0
31.919581,193,39.596876,0.0,1.0,31.9195806922733,1.0,0.0,7.17251085607301,0.7536981072604965,0.05030390088800486,2.0
57.288331,399,41.519382,0.0,1.0,57.28833122871293,0.0,1.0,6.1891847154860775,0.7723142302462033,0.0,2.0
39.48244,233,42.296414,0.0,1.0,39.482439724540626,0.0,1.0,7.877893783998226,0.8035727022255695,0.03378027605322703,2.0
14.296782,152,42.980527,0.0,1.0,14.296782346754696,0.0,1.0,6.810214683185087,0.763241292320584,0.0,2.0
83.990055,376,44.736649,0.0,1.0,83.99005546659906,0.0,1.0,9.168072324484903,0.8167115851959332,0.0,2.0
10.259927,111,45.191781,0.0,1.0,10.259926711666981,0.0,1.0,7.094162616556398,0.764812241736296,0.0,2.0
