#{"t_start": 1782844771.7985497, "env_id": "None"}
r,l,t,is_success,episode_cost,episode_base_reward,episode_shaped_reward,episode_collision,episode_crash_vehicle,episode_crash_object,episode_out_of_road,episode_route_completion,episode_length,episode_mean_speed,episode_mean_lane_deviation,episode_max_lane_deviation,episode_steering_variation,episode_accel_variation,episode_jerk,episode_ttc_risk,episode_min_ttc,shield_intervention,shield_soft,shield_hard,overspeed_guard,shield_intervention_rate,shield_soft_rate,shield_hard_rate,overspeed_guard_rate,curriculum_stage
-224.619068,1500,15.38772,0.0,0.0,0.0078088394054839595,-224.61906778314972,0.0,0.0,0.0,0.0,0.007780161784665584,1500,0.013616782281430108,0.006001441948869285,0.006205106204487312,0.0006666666666666666,0.0006666666666666666,0.0008703184127807617,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,4.0
-224.603058,1500,30.935383,0.0,0.0,0.002506194913855727,-224.60305767396002,0.0,0.0,0.0,0.0,0.009362767949786018,1500,0.013785659596337709,0.00810636833394973,0.008149790214288528,0.0006666666666666666,0.0006666666666666666,0.0008712081909179688,0.0,391.68830148945153,0,0,0,0,0.0,0.0,0.0,0.0,4.0
-224.418143,1500,44.965733,0.0,0.0,0.015316491396664857,-224.41814291575605,0.0,0.0,0.0,0.0,0.01174432323770806,1500,0.013178026010649092,0.0032182660819600867,0.0032436477468376565,0.0006666666666666666,0.0006666666666666666,0.0009247938791910808,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,4.0
-224.801592,1500,60.688159,0.0,0.0,-0.008759224794904766,-224.80159185660403,0.0,0.0,0.0,0.0,0.006238597548451641,1500,0.014043039609847265,0.010530287181644582,0.010604672063253278,0.0006666666567325592,0.0006666666666666666,0.0008446596463521322,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,4.0
