density,success_light,success_full,delta_success_light_minus_full,cost_light,cost_full,delta_cost_light_minus_full,route_completion_light,route_completion_full,delta_route_completion_light_minus_full,collision_light,collision_full,delta_collision_light_minus_full,out_of_road_light,out_of_road_full,delta_out_of_road_light_minus_full
0.00,0.97,0.973333,-0.0033330000000000304,0.0,0.0,0.0,0.9904482891939389,0.989437,0.0010112891939388913,0.0,0.0,0.0,0.0,0.0,0.0
0.08,0.88,0.833333,0.046667000000000014,0.09,0.133333,-0.04333300000000001,0.9427260194136211,0.928769,0.013957019413621152,0.09,0.126667,-0.036667000000000005,0.0,0.006667,-0.006667
0.15,0.5800000000000001,0.62,-0.039999999999999925,0.29000000000000004,0.246667,0.04333300000000004,0.8400467675397802,0.865068,-0.0250212324602197,0.28,0.233333,0.046667000000000014,0.01,0.013333,-0.003332999999999999
