density,success_light,success_guard,delta_success_light_minus_guard,cost_light,cost_guard,delta_cost_light_minus_guard,route_completion_light,route_completion_guard,delta_route_completion_light_minus_guard,collision_light,collision_guard,delta_collision_light_minus_guard,out_of_road_light,out_of_road_guard,delta_out_of_road_light_minus_guard
0.00,0.97,0.9733333333333333,-0.0033333333333332993,0.0,0.0,0.0,0.9904482891939389,0.9902073727309076,0.0002409164630312599,0.0,0.0,0.0,0.0,0.0,0.0
0.08,0.88,0.8733333333333334,0.006666666666666599,0.09,0.09333333333333334,-0.003333333333333341,0.9427260194136211,0.9404938454525765,0.002232173961044581,0.09,0.09333333333333334,-0.003333333333333341,0.0,0.0,0.0
0.15,0.5800000000000001,0.6333333333333333,-0.05333333333333323,0.29000000000000004,0.20666666666666667,0.08333333333333337,0.8400467675397802,0.867815496168541,-0.027768728628760786,0.28,0.19999999999999998,0.08000000000000004,0.01,0.006666666666666667,0.003333333333333333
