variant,algo,density,n_seeds,success,route_completion,collision,out_of_road,cost,reward,shaped_reward,episode_length,speed,lane_deviation,steering_variation,accel_variation,ttc_risk
proposed_light_risk,ppo,0.00,2,0.97,0.9904482891939389,0.0,0.0,0.0,512.8426019942407,328.3145542876822,1109.37,18.30467121897985,0.16146220493497418,0.01592237438353309,0.2286710086144662,0.0
proposed_light_risk,ppo,0.08,2,0.88,0.9427260194136211,0.09,0.0,0.09,474.85646541771393,277.73205155961125,1076.35,17.910415606265804,0.17624146278517028,0.02307941951762202,0.24518123327125194,0.004116060339159904
proposed_light_risk,ppo,0.15,2,0.5800000000000001,0.8400467675397802,0.28,0.01,0.29000000000000004,396.67653364915634,149.14882619105722,1061.34,16.42843342622155,0.22809755495925194,0.03141460626101042,0.30388442326187526,0.015134245399720143
