label,seed,variant,algo,role,status,config_exists,model_exists,n_envs,timesteps,use_risk_reward,use_action_guard,target_speed_kmh,ttc_threshold,run_dir,config_json,model,ijmlc_missing_metrics,next_action
guard_only,1,guard_only,ppo,action_intervention,formal_reusable,True,True,16,1000000,False,True,18.0,12.0,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_ablation_guard_only_nenv16_seed1_1m/runs/guard_only_ppo_s1,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_ablation_guard_only_nenv16_seed1_1m/runs/guard_only_ppo_s1/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_ablation_guard_only_nenv16_seed1_1m/runs/guard_only_ppo_s1/model/final_model.zip,stop_ratio;median_speed;low_progress;ttc_dangerous_fraction;latency;intervention_per_km,frozen_model_diagnostic_eval
guard_only,2,guard_only,ppo,action_intervention,formal_reusable,True,True,16,1000000,False,True,18.0,12.0,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_ablation_guard_only_nenv16_seed2_1m/runs/guard_only_ppo_s2,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_ablation_guard_only_nenv16_seed2_1m/runs/guard_only_ppo_s2/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_ablation_guard_only_nenv16_seed2_1m/runs/guard_only_ppo_s2/model/final_model.zip,stop_ratio;median_speed;low_progress;ttc_dangerous_fraction;latency;intervention_per_km,frozen_model_diagnostic_eval
shield_only,0,shield_only,ppo,execution_intervention,formal_reusable,True,True,16,1000000,False,True,18.0,12.0,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_shield_only_nenv16_seed0_1m/runs/shield_only_ppo_s0,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_shield_only_nenv16_seed0_1m/runs/shield_only_ppo_s0/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_shield_only_nenv16_seed0_1m/runs/shield_only_ppo_s0/model/final_model.zip,stop_ratio;median_speed;low_progress;ttc_dangerous_fraction;latency;intervention_per_km,frozen_model_diagnostic_eval
shield_only,1,shield_only,ppo,execution_intervention,formal_reusable,True,True,16,1000000,False,True,18.0,12.0,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_shield_only_nenv16_seed1_1m/runs/shield_only_ppo_s1,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_shield_only_nenv16_seed1_1m/runs/shield_only_ppo_s1/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_shield_only_nenv16_seed1_1m/runs/shield_only_ppo_s1/model/final_model.zip,stop_ratio;median_speed;low_progress;ttc_dangerous_fraction;latency;intervention_per_km,frozen_model_diagnostic_eval
shield_only,2,shield_only,ppo,execution_intervention,formal_reusable,True,True,16,1000000,False,True,18.0,12.0,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_shield_only_nenv16_seed2_1m/runs/shield_only_ppo_s2,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_shield_only_nenv16_seed2_1m/runs/shield_only_ppo_s2/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_compare_shield_only_nenv16_seed2_1m/runs/shield_only_ppo_s2/model/final_model.zip,stop_ratio;median_speed;low_progress;ttc_dangerous_fraction;latency;intervention_per_km,frozen_model_diagnostic_eval
no_action_guard,0,no_action_guard,ppo,no_guard_negative_control,formal_reusable,True,True,16,1000000,True,False,18.0,12.0,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_ablation_no_action_guard_nenv16_seed0_1m/runs/no_action_guard_ppo_s0,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_ablation_no_action_guard_nenv16_seed0_1m/runs/no_action_guard_ppo_s0/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_ablation_no_action_guard_nenv16_seed0_1m/runs/no_action_guard_ppo_s0/model/final_model.zip,stop_ratio;median_speed;low_progress;ttc_dangerous_fraction;latency;intervention_per_km,frozen_model_diagnostic_eval
no_action_guard,1,no_action_guard,ppo,no_guard_negative_control,formal_reusable,True,True,16,1000000,True,False,18.0,12.0,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_ablation_no_action_guard_nenv16_seed1_1m/runs/no_action_guard_ppo_s1,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_ablation_no_action_guard_nenv16_seed1_1m/runs/no_action_guard_ppo_s1/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_ablation_no_action_guard_nenv16_seed1_1m/runs/no_action_guard_ppo_s1/model/final_model.zip,stop_ratio;median_speed;low_progress;ttc_dangerous_fraction;latency;intervention_per_km,frozen_model_diagnostic_eval
no_action_guard,2,no_action_guard,ppo,no_guard_negative_control,formal_reusable,True,True,16,1000000,True,False,18.0,12.0,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_ablation_no_action_guard_nenv16_seed2_1m/runs/no_action_guard_ppo_s2,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_ablation_no_action_guard_nenv16_seed2_1m/runs/no_action_guard_ppo_s2/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_ablation_no_action_guard_nenv16_seed2_1m/runs/no_action_guard_ppo_s2/model/final_model.zip,stop_ratio;median_speed;low_progress;ttc_dangerous_fraction;latency;intervention_per_km,frozen_model_diagnostic_eval
wo_ttc,0,proposed_wo_ttc,ppo,component_ablation,formal_reusable,True,True,16,1000000,True,True,18.0,5.0,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_ablation_wo_ttc_nenv16_seed0_1m/runs/proposed_wo_ttc_ppo_s0,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_ablation_wo_ttc_nenv16_seed0_1m/runs/proposed_wo_ttc_ppo_s0/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_ablation_wo_ttc_nenv16_seed0_1m/runs/proposed_wo_ttc_ppo_s0/model/final_model.zip,stop_ratio;median_speed;low_progress;ttc_dangerous_fraction;latency;intervention_per_km,frozen_model_diagnostic_eval
wo_ttc,1,proposed_wo_ttc,ppo,component_ablation,formal_reusable,True,True,16,1000000,True,True,18.0,12.0,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_ablation_wo_ttc_nenv16_seed1_1m/runs/proposed_wo_ttc_ppo_s1,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_ablation_wo_ttc_nenv16_seed1_1m/runs/proposed_wo_ttc_ppo_s1/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/tuned_ablation_wo_ttc_nenv16_seed1_1m/runs/proposed_wo_ttc_ppo_s1/model/final_model.zip,stop_ratio;median_speed;low_progress;ttc_dangerous_fraction;latency;intervention_per_km,frozen_model_diagnostic_eval
