label,seed,axis,value,status,start_time,end_time,exit_code,run_id,raw_csv,summary_csv,log_path
guard_only,1,ttc_threshold,12,done,2026-07-01T18:24:53+08:00,2026-07-01T18:35:44+08:00,0,p5_sensitivity_20260701_1825_ttc_threshold_12_guard_only_s1,results/ijmlc_control/raw_csv/p5_sensitivity_20260701_1825_ttc_threshold_12_guard_only_s1_episodes.csv,results/ijmlc_control/summary_tables/p5_sensitivity_20260701_1825_ttc_threshold_12_guard_only_s1_summary.csv,results/ijmlc_control/logs/p5_sensitivity_20260701_1825_ttc_threshold_12_guard_only_s1.log
guard_only,0,ttc_threshold,10,done,2026-07-01T18:24:53+08:00,2026-07-01T18:36:03+08:00,0,p5_sensitivity_20260701_1825_ttc_threshold_10_guard_only_s0,results/ijmlc_control/raw_csv/p5_sensitivity_20260701_1825_ttc_threshold_10_guard_only_s0_episodes.csv,results/ijmlc_control/summary_tables/p5_sensitivity_20260701_1825_ttc_threshold_10_guard_only_s0_summary.csv,results/ijmlc_control/logs/p5_sensitivity_20260701_1825_ttc_threshold_10_guard_only_s0.log
guard_only,1,target_speed_kmh,18,done,2026-07-01T18:24:53+08:00,2026-07-01T18:36:15+08:00,0,p5_sensitivity_20260701_1825_target_speed_kmh_18_guard_only_s1,results/ijmlc_control/raw_csv/p5_sensitivity_20260701_1825_target_speed_kmh_18_guard_only_s1_episodes.csv,results/ijmlc_control/summary_tables/p5_sensitivity_20260701_1825_target_speed_kmh_18_guard_only_s1_summary.csv,results/ijmlc_control/logs/p5_sensitivity_20260701_1825_target_speed_kmh_18_guard_only_s1.log
guard_only,0,target_speed_kmh,22,done,2026-07-01T18:24:53+08:00,2026-07-01T18:36:34+08:00,0,p5_sensitivity_20260701_1825_target_speed_kmh_22_guard_only_s0,results/ijmlc_control/raw_csv/p5_sensitivity_20260701_1825_target_speed_kmh_22_guard_only_s0_episodes.csv,results/ijmlc_control/summary_tables/p5_sensitivity_20260701_1825_target_speed_kmh_22_guard_only_s0_summary.csv,results/ijmlc_control/logs/p5_sensitivity_20260701_1825_target_speed_kmh_22_guard_only_s0.log
guard_only,1,target_speed_kmh,15,done,2026-07-01T18:24:53+08:00,2026-07-01T18:36:53+08:00,0,p5_sensitivity_20260701_1825_target_speed_kmh_15_guard_only_s1,results/ijmlc_control/raw_csv/p5_sensitivity_20260701_1825_target_speed_kmh_15_guard_only_s1_episodes.csv,results/ijmlc_control/summary_tables/p5_sensitivity_20260701_1825_target_speed_kmh_15_guard_only_s1_summary.csv,results/ijmlc_control/logs/p5_sensitivity_20260701_1825_target_speed_kmh_15_guard_only_s1.log
guard_only,0,target_speed_kmh,15,done,2026-07-01T18:24:53+08:00,2026-07-01T18:36:55+08:00,0,p5_sensitivity_20260701_1825_target_speed_kmh_15_guard_only_s0,results/ijmlc_control/raw_csv/p5_sensitivity_20260701_1825_target_speed_kmh_15_guard_only_s0_episodes.csv,results/ijmlc_control/summary_tables/p5_sensitivity_20260701_1825_target_speed_kmh_15_guard_only_s0_summary.csv,results/ijmlc_control/logs/p5_sensitivity_20260701_1825_target_speed_kmh_15_guard_only_s0.log
guard_only,2,ttc_threshold,10,done,2026-07-01T18:32:59+08:00,2026-07-01T18:43:17+08:00,0,p5_sensitivity_20260701_1825_ttc_threshold_10_guard_only_s2,results/ijmlc_control/raw_csv/p5_sensitivity_20260701_1825_ttc_threshold_10_guard_only_s2_episodes.csv,results/ijmlc_control/summary_tables/p5_sensitivity_20260701_1825_ttc_threshold_10_guard_only_s2_summary.csv,results/ijmlc_control/logs/p5_sensitivity_20260701_1825_ttc_threshold_10_guard_only_s2.log
shield_only,0,ttc_threshold,6,done,2026-07-01T18:34:59+08:00,2026-07-01T18:43:36+08:00,0,p5_sensitivity_20260701_1825_ttc_threshold_6_shield_only_s0,results/ijmlc_control/raw_csv/p5_sensitivity_20260701_1825_ttc_threshold_6_shield_only_s0_episodes.csv,results/ijmlc_control/summary_tables/p5_sensitivity_20260701_1825_ttc_threshold_6_shield_only_s0_summary.csv,results/ijmlc_control/logs/p5_sensitivity_20260701_1825_ttc_threshold_6_shield_only_s0.log
guard_only,2,ttc_threshold,12,done,2026-07-01T18:33:49+08:00,2026-07-01T18:44:18+08:00,0,p5_sensitivity_20260701_1825_ttc_threshold_12_guard_only_s2,results/ijmlc_control/raw_csv/p5_sensitivity_20260701_1825_ttc_threshold_12_guard_only_s2_episodes.csv,results/ijmlc_control/summary_tables/p5_sensitivity_20260701_1825_ttc_threshold_12_guard_only_s2_summary.csv,results/ijmlc_control/logs/p5_sensitivity_20260701_1825_ttc_threshold_12_guard_only_s2.log
shield_only,0,ttc_threshold,8,done,2026-07-01T18:34:59+08:00,2026-07-01T18:44:34+08:00,0,p5_sensitivity_20260701_1825_ttc_threshold_8_shield_only_s0,results/ijmlc_control/raw_csv/p5_sensitivity_20260701_1825_ttc_threshold_8_shield_only_s0_episodes.csv,results/ijmlc_control/summary_tables/p5_sensitivity_20260701_1825_ttc_threshold_8_shield_only_s0_summary.csv,results/ijmlc_control/logs/p5_sensitivity_20260701_1825_ttc_threshold_8_shield_only_s0.log
shield_only,0,ttc_threshold,10,done,2026-07-01T18:35:04+08:00,2026-07-01T18:44:58+08:00,0,p5_sensitivity_20260701_1825_ttc_threshold_10_shield_only_s0,results/ijmlc_control/raw_csv/p5_sensitivity_20260701_1825_ttc_threshold_10_shield_only_s0_episodes.csv,results/ijmlc_control/summary_tables/p5_sensitivity_20260701_1825_ttc_threshold_10_shield_only_s0_summary.csv,results/ijmlc_control/logs/p5_sensitivity_20260701_1825_ttc_threshold_10_shield_only_s0.log
guard_only,2,target_speed_kmh,22,done,2026-07-01T18:34:54+08:00,2026-07-01T18:45:02+08:00,0,p5_sensitivity_20260701_1825_target_speed_kmh_22_guard_only_s2,results/ijmlc_control/raw_csv/p5_sensitivity_20260701_1825_target_speed_kmh_22_guard_only_s2_episodes.csv,results/ijmlc_control/summary_tables/p5_sensitivity_20260701_1825_target_speed_kmh_22_guard_only_s2_summary.csv,results/ijmlc_control/logs/p5_sensitivity_20260701_1825_target_speed_kmh_22_guard_only_s2.log
guard_only,2,target_speed_kmh,18,done,2026-07-01T18:34:04+08:00,2026-07-01T18:45:12+08:00,0,p5_sensitivity_20260701_1825_target_speed_kmh_18_guard_only_s2,results/ijmlc_control/raw_csv/p5_sensitivity_20260701_1825_target_speed_kmh_18_guard_only_s2_episodes.csv,results/ijmlc_control/summary_tables/p5_sensitivity_20260701_1825_target_speed_kmh_18_guard_only_s2_summary.csv,results/ijmlc_control/logs/p5_sensitivity_20260701_1825_target_speed_kmh_18_guard_only_s2.log
guard_only,2,target_speed_kmh,15,done,2026-07-01T18:33:49+08:00,2026-07-01T18:45:30+08:00,0,p5_sensitivity_20260701_1825_target_speed_kmh_15_guard_only_s2,results/ijmlc_control/raw_csv/p5_sensitivity_20260701_1825_target_speed_kmh_15_guard_only_s2_episodes.csv,results/ijmlc_control/summary_tables/p5_sensitivity_20260701_1825_target_speed_kmh_15_guard_only_s2_summary.csv,results/ijmlc_control/logs/p5_sensitivity_20260701_1825_target_speed_kmh_15_guard_only_s2.log
shield_only,1,ttc_threshold,6,done,2026-07-01T18:36:20+08:00,2026-07-01T18:45:46+08:00,0,p5_sensitivity_20260701_1825_ttc_threshold_6_shield_only_s1,results/ijmlc_control/raw_csv/p5_sensitivity_20260701_1825_ttc_threshold_6_shield_only_s1_episodes.csv,results/ijmlc_control/summary_tables/p5_sensitivity_20260701_1825_ttc_threshold_6_shield_only_s1_summary.csv,results/ijmlc_control/logs/p5_sensitivity_20260701_1825_ttc_threshold_6_shield_only_s1.log
shield_only,0,ttc_threshold,12,done,2026-07-01T18:35:09+08:00,2026-07-01T18:45:47+08:00,0,p5_sensitivity_20260701_1825_ttc_threshold_12_shield_only_s0,results/ijmlc_control/raw_csv/p5_sensitivity_20260701_1825_ttc_threshold_12_shield_only_s0_episodes.csv,results/ijmlc_control/summary_tables/p5_sensitivity_20260701_1825_ttc_threshold_12_shield_only_s0_summary.csv,results/ijmlc_control/logs/p5_sensitivity_20260701_1825_ttc_threshold_12_shield_only_s0.log
shield_only,0,target_speed_kmh,22,done,2026-07-01T18:36:05+08:00,2026-07-01T18:47:01+08:00,0,p5_sensitivity_20260701_1825_target_speed_kmh_22_shield_only_s0,results/ijmlc_control/raw_csv/p5_sensitivity_20260701_1825_target_speed_kmh_22_shield_only_s0_episodes.csv,results/ijmlc_control/summary_tables/p5_sensitivity_20260701_1825_target_speed_kmh_22_shield_only_s0_summary.csv,results/ijmlc_control/logs/p5_sensitivity_20260701_1825_target_speed_kmh_22_shield_only_s0.log
