start_time=2026-06-30T17:21:05+08:00
variant=proposed seed=0 root=outputs/tuning_proposed_defensive_h1500_cost50_nenv16_1m timesteps=1000000 horizon=1500 n_envs=16 episodes=50 device=cuda extra_args=--ent-coef 0.01 --reward-ttc 6 --reward-cost 50 --reward-overspeed 3 --reward-target-speed 18 --reward-progress 40 --reward-success-bonus 55 --reward-crash-penalty 120 --reward-out-of-road-penalty 120 --reward-ttc-threshold 12 --stage2-success 0.50 --stage2-cost 0.25 --demote-cost 0.35
Using cuda device
/home/aaa/data/qj/stable-baselines3-master/stable_baselines3/common/on_policy_algorithm.py:150: UserWarning: You are trying to run PPO on the GPU, but it is primarily intended to run on the CPU when not using a CNN policy (you are using ActorCriticPolicy which should be a MlpPolicy). See https://github.com/DLR-RM/stable-baselines3/issues/1245 for more info. You can pass `device='cpu'` or `export CUDA_VISIBLE_DEVICES=` to force using the CPU.Note: The model will train, but the GPU utilization will be poor and the training might take longer than on CPU.
  warnings.warn(
Logging to outputs/tuning_proposed_defensive_h1500_cost50_nenv16_1m/runs/proposed_ppo_s0/tensorboard/proposed_ppo_s0_1
------------------------------------
| paper/                |          |
|    accel_variation    | 0.796    |
|    base_reward        | 6.13     |
|    collision          | 0        |
|    crash_object       | 0        |
|    crash_vehicle      | 0        |
|    episode_cost       | 0        |
|    episode_length     | 600      |
|    jerk               | 0.618    |
|    lane_deviation     | 0.0537   |
|    max_lane_deviation | 0.113    |
|    mean_speed_kmh     | 0.688    |
|    min_ttc            | nan      |
|    out_of_road        | 0        |
|    route_completion   | 0.113    |
|    shaped_reward      | -92.1    |
|    steering_variation | 0.761    |
|    success            | 0        |
|    ttc_risk           | 0        |
| rollout/              |          |
|    ep_len_mean        | 600      |
|    ep_rew_mean        | -100     |
|    success_rate       | 0        |
| time/                 |          |
|    fps                | 2747     |
|    iterations         | 1        |
|    time_elapsed       | 5        |
|    total_timesteps    | 16384    |
------------------------------------
--------------------------------------------
| curriculum/                |             |
|    stage                   | 0           |
|    window_cost             | 0           |
|    window_route_completion | 0.109       |
|    window_success          | 0           |
| paper/                     |             |
|    accel_variation         | 0.804       |
|    base_reward             | 5.02        |
|    collision               | 0           |
|    crash_object            | 0           |
|    crash_vehicle           | 0           |
|    episode_cost            | 0           |
|    episode_length          | 600         |
|    jerk                    | 0.59        |
|    lane_deviation          | 0.31        |
|    max_lane_deviation      | 0.687       |
|    mean_speed_kmh          | 0.736       |
|    min_ttc                 | nan         |
|    out_of_road             | 0           |
|    route_completion        | 0.124       |
|    shaped_reward           | -133        |
|    steering_variation      | 0.8         |
|    success                 | 0           |
|    ttc_risk                | 0           |
| rollout/                   |             |
|    ep_len_mean             | 600         |
|    ep_rew_mean             | -121        |
|    success_rate            | 0           |
| time/                      |             |
|    fps                     | 2521        |
|    iterations              | 2           |
|    time_elapsed            | 12          |
|    total_timesteps         | 32768       |
| train/                     |             |
|    approx_kl               | 0.008615073 |
|    clip_fraction           | 0.114       |
|    clip_range              | 0.2         |
|    entropy_loss            | -2.83       |
|    explained_variance      | -0.00445    |
|    learning_rate           | 0.0003      |
|    loss                    | 0.144       |
|    n_updates               | 10          |
|    policy_gradient_loss    | -0.00753    |
|    std                     | 0.994       |
|    value_loss              | 0.398       |
--------------------------------------------
--------------------------------------------
| curriculum/                |             |
|    stage                   | 0           |
|    window_cost             | 0           |
|    window_route_completion | 0.126       |
|    window_success          | 0           |
| paper/                     |             |
|    accel_variation         | 0.769       |
|    base_reward             | 6.48        |
|    collision               | 0           |
|    crash_object            | 0           |
|    crash_vehicle           | 0           |
|    episode_cost            | 0           |
|    episode_length          | 600         |
|    jerk                    | 0.621       |
|    lane_deviation          | 0.352       |
|    max_lane_deviation      | 0.913       |
|    mean_speed_kmh          | 0.815       |
|    min_ttc                 | nan         |
|    out_of_road             | 0           |
|    route_completion        | 0.142       |
|    shaped_reward           | -151        |
|    steering_variation      | 0.854       |
|    success                 | 0           |
|    ttc_risk                | 0           |
| rollout/                   |             |
|    ep_len_mean             | 600         |
|    ep_rew_mean             | -123        |
|    success_rate            | 0           |
| time/                      |             |
|    fps                     | 2468        |
|    iterations              | 3           |
|    time_elapsed            | 19          |
|    total_timesteps         | 49152       |
| train/                     |             |
|    approx_kl               | 0.005415081 |
|    clip_fraction           | 0.0351      |
|    clip_range              | 0.2         |
|    entropy_loss            | -2.82       |
|    explained_variance      | -0.0671     |
|    learning_rate           | 0.0003      |
|    loss                    | 1.19        |
|    n_updates               | 20          |
|    policy_gradient_loss    | -0.00127    |
|    std                     | 0.991       |
|    value_loss              | 4.47        |
--------------------------------------------
--------------------------------------------
| curriculum/                |             |
|    stage                   | 0           |
|    window_cost             | 0           |
|    window_route_completion | 0.135       |
|    window_success          | 0           |
| paper/                     |             |
|    accel_variation         | 0.775       |
|    base_reward             | 6.35        |
|    collision               | 0           |
|    crash_object            | 0           |
|    crash_vehicle           | 0           |
|    episode_cost            | 0           |
|    episode_length          | 600         |
|    jerk                    | 0.629       |
|    lane_deviation          | 0.561       |
|    max_lane_deviation      | 1.37        |
|    mean_speed_kmh          | 0.993       |
|    min_ttc                 | nan         |
|    out_of_road             | 0           |
|    route_completion        | 0.125       |
|    shaped_reward           | -228        |
|    steering_variation      | 0.831       |
|    success                 | 0           |
|    ttc_risk                | 0           |
| rollout/                   |             |
|    ep_len_mean             | 600         |
|    ep_rew_mean             | -127        |
|    success_rate            | 0           |
| time/                      |             |
|    fps                     | 2435        |
|    iterations              | 4           |
|    time_elapsed            | 26          |
|    total_timesteps         | 65536       |
| train/                     |             |
|    approx_kl               | 0.003780947 |
|    clip_fraction           | 0.0397      |
|    clip_range              | 0.2         |
|    entropy_loss            | -2.82       |
|    explained_variance      | 0.744       |
|    learning_rate           | 0.0003      |
|    loss                    | 0.544       |
|    n_updates               | 30          |
|    policy_gradient_loss    | -0.00187    |
|    std                     | 0.994       |
|    value_loss              | 2.1         |
--------------------------------------------
---------------------------------------------
| curriculum/                |              |
|    stage                   | 0            |
|    window_cost             | 0.0333       |
|    window_route_completion | 0.156        |
|    window_success          | 0            |
| paper/                     |              |
|    accel_variation         | 0.776        |
|    base_reward             | -8.96        |
|    collision               | 0            |
|    crash_object            | 0            |
|    crash_vehicle           | 0            |
|    episode_cost            | 1            |
|    episode_length          | 256          |
|    jerk                    | 0.624        |
|    lane_deviation          | 0.606        |
|    max_lane_deviation      | 1.03         |
|    mean_speed_kmh          | 1.1          |
|    min_ttc                 | nan          |
|    out_of_road             | 1            |
|    route_completion        | 0.1          |
|    shaped_reward           | -268         |
|    steering_variation      | 0.773        |
|    success                 | 0            |
|    ttc_risk                | 0            |
| rollout/                   |              |
|    ep_len_mean             | 597          |
|    ep_rew_mean             | -137         |
|    success_rate            | 0            |
| time/                      |              |
|    fps                     | 2422         |
|    iterations              | 5            |
|    time_elapsed            | 33           |
|    total_timesteps         | 81920        |
| train/                     |              |
|    approx_kl               | 0.0045167124 |
|    clip_fraction           | 0.0503       |
|    clip_range              | 0.2          |
|    entropy_loss            | -2.82        |
|    explained_variance      | 0.882        |
|    learning_rate           | 0.0003       |
|    loss                    | 0.872        |
|    n_updates               | 40           |
|    policy_gradient_loss    | -0.00225     |
|    std                     | 0.991        |
|    value_loss              | 2.62         |
---------------------------------------------
---------------------------------------------
| curriculum/                |              |
|    stage                   | 0            |
|    window_cost             | 0.1          |
|    window_route_completion | 0.178        |
|    window_success          | 0            |
| paper/                     |              |
|    accel_variation         | 0.803        |
|    base_reward             | 8.03         |
|    collision               | 0            |
|    crash_object            | 0            |
|    crash_vehicle           | 0            |
|    episode_cost            | 0            |
|    episode_length          | 600          |
|    jerk                    | 0.606        |
|    lane_deviation          | 0.539        |
|    max_lane_deviation      | 1            |
|    mean_speed_kmh          | 1.09         |
|    min_ttc                 | nan          |
|    out_of_road             | 0            |
|    route_completion        | 0.179        |
|    shaped_reward           | -189         |
|    steering_variation      | 0.86         |
|    success                 | 0            |
|    ttc_risk                | 0            |
| rollout/                   |              |
|    ep_len_mean             | 593          |
|    ep_rew_mean             | -147         |
|    success_rate            | 0            |
| time/                      |              |
|    fps                     | 2405         |
|    iterations              | 6            |
|    time_elapsed            | 40           |
|    total_timesteps         | 98304        |
| train/                     |              |
|    approx_kl               | 0.0047909156 |
|    clip_fraction           | 0.0476       |
|    clip_range              | 0.2          |
|    entropy_loss            | -2.82        |
|    explained_variance      | 0.6          |
|    learning_rate           | 0.0003       |
|    loss                    | 2.51         |
|    n_updates               | 50           |
|    policy_gradient_loss    | -0.00249     |
|    std                     | 0.989        |
|    value_loss              | 19.6         |
---------------------------------------------
--------------------------------------------
| curriculum/                |             |
|    stage                   | 0           |
|    window_cost             | 0.133       |
|    window_route_completion | 0.192       |
|    window_success          | 0           |
| paper/                     |             |
|    accel_variation         | 0.737       |
|    base_reward             | 12.4        |
|    collision               | 0           |
|    crash_object            | 0           |
|    crash_vehicle           | 0           |
|    episode_cost            | 0           |
