variant,algo,density,success,collision,out_of_road,cost,reward,speed,steering
baseline,ppo,0.05,0.0,0.45454545454545453,0.5454545454545454,1.0,84.1127310798914,38.88800965359383,0.020184595227170133
baseline,ppo,0.15,0.0,0.45454545454545453,0.5454545454545454,1.0,70.62662264271815,37.9901335579522,0.0253079432553887
baseline,ppo,0.3,0.0,0.45454545454545453,0.5454545454545454,1.0,46.11015942536833,31.83916953406753,0.026518262648922958
curriculum,ppo,0.05,0.0,0.3,0.7,1.0,47.33559729872873,27.601984869705074,0.02093038010391954
curriculum,ppo,0.15,0.0,0.4,0.6,1.0,35.60163978987072,25.621902015303682,0.0218211577605992
curriculum,ppo,0.3,0.0,0.4,0.6,1.0,22.616423364421294,22.318131353225052,0.02140393536255971
proposed,ppo,0.05,0.0,0.18181818181818182,0.8181818181818182,1.0,83.82411682606381,40.91657378376842,0.01236633446967374
proposed,ppo,0.15,0.0,0.6363636363636364,0.36363636363636365,1.0,54.149324576618525,33.88833092579769,0.01212408750881327
proposed,ppo,0.3,0.0,0.5454545454545454,0.45454545454545453,1.0,51.34731002703302,33.18671763490052,0.01574806650234166
risk,ppo,0.05,0.0,0.4,0.6,1.0,83.3204071224412,38.52008364887787,0.048643638784382895
risk,ppo,0.15,0.0,0.3,0.7,1.0,68.24939356275132,36.457127275536934,0.05546755605785193
risk,ppo,0.3,0.0,0.5,0.5,1.0,52.57485360557773,33.01448234897892,0.05466086054438908
