#{"t_start": 1782898494.3162782, "env_id": "None"}
r,l,t,is_success,episode_cost,episode_base_reward,episode_shaped_reward,episode_collision,episode_crash_vehicle,episode_crash_object,episode_out_of_road,episode_route_completion,episode_length,episode_mean_speed,episode_mean_lane_deviation,episode_max_lane_deviation,episode_steering_variation,episode_accel_variation,episode_jerk,episode_ttc_risk,episode_min_ttc,episode_risk_gate_rate,episode_continuous_risk_penalty,episode_event_risk_penalty,shield_intervention,shield_soft,shield_hard,overspeed_guard,shield_intervention_rate,shield_soft_rate,shield_hard_rate,overspeed_guard_rate,episode_rcpo_cost_lambda,curriculum_stage
-21.442131,600,3.659068,0.0,0.0,6.286737541253575,-21.442130605234595,0.0,0.0,0.0,0.0,0.12048335413795339,600,0.7140405512578115,0.06916759500621049,0.15113373531030827,0.7841497169559201,0.801673991009593,0.6221689194937547,0.0,nan,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,20.0,0.0
-22.571927,600,7.859939,0.0,0.0,5.1973436466157175,-22.571927463985286,0.0,0.0,0.0,0.0,0.09764669042356201,600,0.6813763739673226,0.1479487924962314,0.29202103264365514,0.87054392613781,0.8269499179037909,0.6148125836004813,0.0,nan,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,20.0,0.0
-19.009639,600,10.357594,0.0,0.0,7.340450503444988,-19.009639034041196,0.0,0.0,0.0,0.0,0.13400452380787725,600,0.892004972151932,0.22786198688276926,0.4749731881744679,0.8661204941074053,0.7963566157470147,0.6272535821795464,0.0,nan,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,18.75,0.0
-17.565818,600,14.562193,0.0,0.0,9.492890293054113,-17.56581835235639,0.0,0.0,0.0,0.0,0.13459121670388535,600,0.9801241553953054,0.18956695209394703,0.5532072387571786,0.803672277064373,0.7964899321397145,0.6098724809288979,0.0,nan,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,16.5,0.0
-14.459552,600,17.140085,0.0,0.0,10.106947998353661,-14.459551980950328,0.0,0.0,0.0,0.0,0.1528991339957622,600,1.1427829622652979,0.3064082145556787,0.6793341969528685,0.8137069023400545,0.7400232609113058,0.5820432476202647,0.0,nan,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,13.75,0.0
-6.936222,600,21.291966,0.0,0.0,8.44083568797649,-6.936221605935148,0.0,0.0,0.0,0.0,0.26811201833588705,600,1.6988149528700653,0.9954810265400234,2.0,0.8735591503418982,0.66725888778766,0.5543893493711949,0.0,nan,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,10.5,0.0
-1.339932,600,25.408956,0.0,0.0,19.705126934959633,-1.339932069829551,0.0,0.0,0.0,0.0,0.24691681542302055,600,1.7916747513687434,0.29943984923583034,0.835974314824025,0.8351638036717971,0.6703579652557771,0.5281587979694208,0.0,nan,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,6.5,0.0
-1.817161,600,27.995347,0.0,0.0,18.213657763104894,-1.8171611217801682,0.0,0.0,0.0,0.0,0.24586699988891286,600,1.8528500106432906,0.5117559710880524,2.0,0.8347861665052673,0.6389996226131917,0.47465218176444374,0.0,nan,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,3.25,0.0
-2.931348,416,31.200864,0.0,1.0,1.389068134464857,-2.9313481856995836,0.0,0.0,0.0,1.0,0.27580392490226646,416,2.193187864537866,0.4561297361144758,1.0429685810366665,0.8134453522059351,0.6543541265508304,0.5158121177496818,0.0,nan,0.002403846153846154,0.0,0.25000000000000006,0,0,0,0,0.0,0.0,0.0,0.0,0.25000000000000006,0.0
19.673371,600,34.050616,0.0,0.0,25.480652714332365,19.67337110314112,0.0,0.0,0.0,0.0,0.5827681581991639,600,3.19632235378887,0.5386508399976643,1.1683811813678913,0.8173020281083881,0.5368722712000211,0.42703687051932016,0.0,nan,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,8.75,0.0
2.313877,600,38.510175,0.0,0.0,14.316368235763942,2.3138774847096917,0.0,0.0,0.0,0.0,0.34852311222759075,600,2.2723522923031716,0.9930602508691353,2.0,0.8189680418806772,0.5854322822888692,0.4795452854037285,0.0,nan,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,36.25,0.0
23.372201,600,41.720106,0.0,0.0,24.80209939494672,23.372200690314227,0.0,0.0,0.0,0.0,0.5390383664280287,600,4.129896780792964,0.7938101661110522,1.5484525899778834,0.748078862943997,0.4950917984545231,0.39519364982843397,0.0,nan,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,87.75,0.0
-125.086646,295,44.736189,0.0,1.0,-1.3773377725239406,-125.0866463561374,0.0,0.0,0.0,1.0,0.24340075100415223,295,3.8382832136641114,1.2343842419327302,2.0,0.7424671411009158,0.533328205448086,0.42391627218763706,0.0,nan,0.003389830508474576,0.0,127.5,0,0,0,0,0.0,0.0,0.0,0.0,127.5,0.0
-145.910594,587,47.690486,0.0,1.0,17.944083996569177,-145.9105938791647,0.0,0.0,0.0,1.0,0.6655788040850246,587,4.771991441435916,1.062570173106975,2.0,0.774750040866295,0.45433921799749083,0.39411836375166653,0.0,nan,0.0017035775127768314,0.0,170.75,0,0,0,0,0.0,0.0,0.0,0.0,170.75,0.0
-176.604376,316,50.813235,0.0,1.0,4.895023191750575,-176.6043759547673,0.0,0.0,0.0,1.0,0.43660374831191345,316,4.535830046135828,1.0366606628796164,2.0,0.8280984007199353,0.44487097246360174,0.3499893793199636,0.0,nan,0.0031645569620253164,0.0,189.5,0,0,0,0,0.0,0.0,0.0,0.0,189.5,0.0
29.41813,600,53.814103,0.0,0.0,37.51579115108237,29.418130378767113,0.0,0.0,0.0,0.0,0.5770078267741992,600,3.851573507572896,0.3769820547078125,1.131905074749751,0.8258382599210987,0.473986121515433,0.4035699434081713,0.0,nan,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,200.0,0.0
-187.917766,380,55.636096,0.0,1.0,9.754749692754014,-187.9177662658248,0.0,0.0,0.0,1.0,0.3701619629266061,380,4.072324173038507,0.5558014865678081,1.0385602119754618,0.8340891077722373,0.46347584347975884,0.40319608230339854,0.0,nan,0.002631578947368421,0.0,200.0,0,0,0,0,0.0,0.0,0.0,0.0,200.0,0.0
