label,density,success,cost,route_completion,collision,out_of_road,lane_deviation,ttc_risk,mean_speed_kmh,source
baseline,0.2,0.0,1.0,0.16548241425842192,0.6466666666666666,0.35333333333333333,0.323482498522327,0.16054915479652207,37.092365507436966,outputs/stress_density_020_025_nenv16_20260701_0153/aggregate/mean_by_variant_density.csv
baseline,0.25,0.0,1.0,0.1578654518771453,0.76,0.24,0.296168390976088,0.1836831578614568,36.30848412716292,outputs/stress_density_020_025_nenv16_20260701_0153/aggregate/mean_by_variant_density.csv
curriculum,0.2,0.0,1.0,0.16351426857170642,0.6266666666666667,0.37333333333333335,0.27109724705790184,0.18747898152065606,36.97705377315226,outputs/stress_density_020_025_nenv16_20260701_0153/aggregate/mean_by_variant_density.csv
curriculum,0.25,0.0,1.0,0.15655184280909615,0.7333333333333333,0.26666666666666666,0.250426856254718,0.22457156602191966,35.5458074250306,outputs/stress_density_020_025_nenv16_20260701_0153/aggregate/mean_by_variant_density.csv
full_proposed_candidate,0.2,0.38,0.4,0.7443113213329334,0.38,0.02,0.20625250197039696,0.024699598063325275,13.905461471212735,outputs/stress_density_020_025_nenv16_20260701_0153/aggregate/mean_by_variant_density.csv
full_proposed_candidate,0.25,0.20666666666666667,0.5866666666666667,0.5869420460229963,0.56,0.02666666666666667,0.21696164386770525,0.032362180814184315,12.150922530140305,outputs/stress_density_020_025_nenv16_20260701_0153/aggregate/mean_by_variant_density.csv
guard_only,0.2,0.41333333333333333,0.4066666666666667,0.7334469886454233,0.38,0.02666666666666667,0.17289674931540433,0.024255231957180268,13.8046004769249,outputs/stress_density_020_025_nenv16_20260701_0153/aggregate/mean_by_variant_density.csv
guard_only,0.25,0.26666666666666666,0.4866666666666667,0.658403345698857,0.46,0.02666666666666667,0.2058595077688495,0.030303810607805633,12.144666061473426,outputs/stress_density_020_025_nenv16_20260701_0153/aggregate/mean_by_variant_density.csv
retune_proposed_ttc4_cost10_lane1,0.2,0.4533333333333333,0.38,0.7529680841143322,0.34,0.04,0.23905057336939692,0.027834608088908846,14.355979034017707,outputs/stress_density_020_025_nenv16_20260701_0153/aggregate/mean_by_variant_density.csv
retune_proposed_ttc4_cost10_lane1,0.25,0.17333333333333334,0.6866666666666666,0.5707261714463111,0.6466666666666666,0.04,0.27347244221835354,0.032383798577296556,12.848026496397503,outputs/stress_density_020_025_nenv16_20260701_0153/aggregate/mean_by_variant_density.csv
risk,0.2,0.0,0.0,0.009206070298710255,0.0,0.0,0.006290089373799058,0.0,0.013543700026894671,outputs/stress_density_020_025_nenv16_20260701_0153/aggregate/mean_by_variant_density.csv
risk,0.25,0.0,0.0,0.00898959963310597,0.0,0.0,0.006347296410252196,0.0,0.013664889233125387,outputs/stress_density_020_025_nenv16_20260701_0153/aggregate/mean_by_variant_density.csv
shield_only,0.2,0.48,0.36,0.7775696482189013,0.34,0.02,0.14041817249755337,0.023805265806568273,14.302851999960195,outputs/stress_density_020_025_nenv16_20260701_0153/aggregate/mean_by_variant_density.csv
shield_only,0.25,0.19333333333333333,0.5866666666666667,0.6092649382729954,0.5333333333333333,0.05333333333333334,0.200580731999587,0.0330224061494961,11.869576039182222,outputs/stress_density_020_025_nenv16_20260701_0153/aggregate/mean_by_variant_density.csv
