sensitivity_axis,sensitivity_value,method,episodes,train_seeds,success_pct,cost_pct,route_completion_pct,low_progress_pct,stop_ratio_pct,ttc_dangerous_fraction_pct,intervention_rate_per_100_steps,control_loop_wall_ms_p95
target_speed_kmh,15,Guard,120,3,52.5,14.167,88.166,0.0,1.725,8.354,76.294,25.669
target_speed_kmh,18,Guard,120,3,62.5,23.333,84.793,0.833,2.091,9.631,69.64,25.288
target_speed_kmh,22,Guard,120,3,55.833,31.667,80.574,6.667,3.081,9.868,61.751,26.802
target_speed_kmh,15,Shield,120,3,54.167,15.833,86.512,0.0,2.17,9.394,76.574,25.811
target_speed_kmh,18,Shield,120,3,60.0,20.833,86.045,0.0,3.448,8.912,69.09,27.025
target_speed_kmh,22,Shield,120,3,56.667,27.5,83.502,2.5,3.219,13.113,62.755,26.593
target_speed_kmh,15,Gated-risk,120,3,48.333,19.167,85.709,0.0,2.621,10.153,76.43,21.94
target_speed_kmh,18,Gated-risk,120,3,61.667,19.167,87.051,0.0,2.297,11.243,69.145,22.231
target_speed_kmh,22,Gated-risk,120,3,56.667,27.5,82.786,4.167,2.937,10.41,60.635,22.258
ttc_threshold,6,Guard,120,3,53.333,45.833,77.738,1.667,1.135,13.012,77.863,25.192
ttc_threshold,8,Guard,120,3,56.667,37.5,81.598,2.5,1.866,9.832,74.429,25.872
ttc_threshold,10,Guard,120,3,65.833,20.833,86.929,0.0,2.701,11.23,72.407,25.469
ttc_threshold,12,Guard,120,3,61.667,19.167,86.075,0.833,1.669,12.068,69.698,25.775
ttc_threshold,6,Shield,120,3,55.0,43.333,80.2,0.833,1.506,13.767,76.983,25.225
ttc_threshold,8,Shield,120,3,55.833,35.0,82.29,1.667,2.504,12.503,74.455,25.083
ttc_threshold,10,Shield,120,3,59.167,25.0,85.694,0.833,2.061,13.039,72.359,26.246
ttc_threshold,12,Shield,120,3,61.667,22.5,85.944,0.833,2.258,11.047,70.81,25.69
ttc_threshold,6,Gated-risk,120,3,53.333,40.833,78.221,1.667,2.345,13.917,74.901,24.448
ttc_threshold,8,Gated-risk,120,3,58.333,34.167,80.55,3.333,2.43,16.49,73.119,23.894
ttc_threshold,10,Gated-risk,120,3,57.5,29.167,84.994,0.0,2.032,10.925,71.237,24.434
ttc_threshold,12,Gated-risk,120,3,55.0,21.667,84.564,1.667,2.714,12.465,68.064,22.775
