variant,algo,density,success,collision,out_of_road,cost,reward,speed,steering
proposed,ppo,0.0,0.04,0.02,0.92,0.94,191.96876842371717,48.729529979777844,0.033196770517031224
proposed,ppo,0.1,0.0,0.34,0.66,1.0,165.98176688718064,46.98124764536027,0.05370603806933086
proposed,ppo,0.25,0.02,0.66,0.34,1.0,125.03622883095711,42.69472268688111,0.06408190515947036
