variant	algo	seed	rows	densities	eval_n_envs	train_n_envs	timesteps	horizon	summary	path
horizon1500_ckpt702			12	0.00,0.08,0.15					d0.00:n4:sna:cna:rna | d0.08:n4:sna:cna:rna | d0.15:n4:sna:cna:rna	outputs/final_paper_results/evaluations/summary.csv
horizon1500_ckpt702	ppo	0	780	0.00,0.08,0.15					d0.00:n260:s0.88:c0.00:r0.98 | d0.08:n260:s0.81:c0.07:r0.94 | d0.15:n260:s0.46:c0.48:r0.75	outputs/final_paper_results/evaluations/all_evaluations.csv
horizon1500_ckpt702	ppo	0	60	0.00,0.08,0.15					d0.00:n20:s1.00:c0.00:r0.99 | d0.08:n20:s0.90:c0.05:r0.96 | d0.15:n20:s0.50:c0.45:r0.73	outputs/final_paper_results/evaluations/horizon1500_ckpt702.csv
horizon1500_ckpt702	ppo	0	21	0.00,0.08,0.15					d0.00:n7:s0.91:c0.00:r0.98 | d0.08:n7:s0.84:c0.07:r0.94 | d0.15:n7:s0.46:c0.49:r0.75	outputs/final_paper_results/evaluations/summary_by_seed.csv
horizon1500_s0_100w	ppo	0	60	0.00,0.08,0.15					d0.00:n20:s1.00:c0.00:r0.99 | d0.08:n20:s0.85:c0.15:r0.89 | d0.15:n20:s0.55:c0.45:r0.78	outputs/final_paper_results/evaluations/horizon1500_s0_100w.csv
horizon1500_s1_100w	ppo	1	60	0.00,0.08,0.15					d0.00:n20:s1.00:c0.00:r0.99 | d0.08:n20:s1.00:c0.00:r0.99 | d0.15:n20:s0.40:c0.60:r0.76	outputs/final_paper_results/evaluations/horizon1500_s1_100w.csv
no_action_guard	ppo	2	150	0.00,0.08,0.15	10	10	500000	1200	d0.00:n50:s0.02:c0.98:r0.30 | d0.08:n50:s0.00:c1.00:r0.25 | d0.15:n50:s0.00:c1.00:r0.18	outputs/ablation_no_action_guard_nenv10_500k/evaluations/no_action_guard_ppo_s2.csv
no_action_guard	ppo	2	8910	0.00,0.08,0.10,0.15,0.25	10.0,16.0,32.0,8.0				d0.00:n2890:s0.72:c0.17:r0.89 | d0.08:n2830:s0.68:c0.21:r0.85 | d0.10:n180:s0.07:c0.90:r0.51 | d0.15:n2830:s0.44:c0.48:r0.72 | d0.25:n180:s0.01:c1.00:r0.21	outputs/final_iscsic_results_nenv16/evaluations/summary_by_episode.csv
no_action_guard	ppo	2	8760	0.00,0.08,0.10,0.15,0.25	10.0,16.0,32.0,8.0				d0.00:n2840:s0.72:c0.17:r0.89 | d0.08:n2780:s0.67:c0.21:r0.85 | d0.10:n180:s0.07:c0.90:r0.51 | d0.15:n2780:s0.43:c0.48:r0.72 | d0.25:n180:s0.01:c1.00:r0.21	outputs/final_iscsic_results_nenv32/evaluations/summary_by_episode.csv
no_action_guard	ppo	2	8460	0.00,0.08,0.10,0.15,0.25	10.0,8.0				d0.00:n2740:s0.71:c0.18:r0.89 | d0.08:n2680:s0.67:c0.21:r0.85 | d0.10:n180:s0.07:c0.90:r0.51 | d0.15:n2680:s0.43:c0.49:r0.71 | d0.25:n180:s0.01:c1.00:r0.21	outputs/final_iscsic_results_nenv8/evaluations/summary_by_episode.csv
proposed	ppo		3	0.00,0.10,0.25					d0.00:n1:s0.04:c0.94:rna | d0.10:n1:s0.00:c1.00:rna | d0.25:n1:s0.02:c1.00:rna	outputs/million/evaluations/summary.csv
proposed	ppo	0	90	0.00,0.08,0.15					d0.00:n30:s0.77:c0.00:r0.97 | d0.08:n30:s0.70:c0.07:r0.93 | d0.15:n30:s0.23:c0.73:r0.64	outputs/checkpoint_selection/evaluations/ckpt702/proposed_ppo_s0.csv
proposed	ppo	0	90	0.00,0.08,0.15					d0.00:n30:s0.77:c0.00:r0.97 | d0.08:n30:s0.70:c0.07:r0.93 | d0.15:n30:s0.40:c0.57:r0.73	outputs/checkpoint_selection/evaluations/ckpt702_shield/proposed_ppo_s0.csv
proposed	ppo	0	90	0.00,0.08,0.15					d0.00:n30:s0.77:c0.00:r0.97 | d0.08:n30:s0.67:c0.10:r0.90 | d0.15:n30:s0.47:c0.43:r0.80	outputs/checkpoint_selection/evaluations/ckpt702_shield_conservative/proposed_ppo_s0.csv
proposed	ppo	0	90	0.00,0.08,0.15					d0.00:n30:s0.77:c0.00:r0.97 | d0.08:n30:s0.70:c0.07:r0.93 | d0.15:n30:s0.47:c0.47:r0.78	outputs/checkpoint_selection/evaluations/ckpt702_shield_strong/proposed_ppo_s0.csv
proposed	ppo	0	90	0.00,0.08,0.15					d0.00:n30:s0.77:c0.00:r0.97 | d0.08:n30:s0.73:c0.07:r0.92 | d0.15:n30:s0.17:c0.80:r0.56	outputs/checkpoint_selection/evaluations/ckpt802/proposed_ppo_s0.csv
proposed	ppo	0	90	0.00,0.08,0.15					d0.00:n30:s0.77:c0.00:r0.97 | d0.08:n30:s0.70:c0.10:r0.92 | d0.15:n30:s0.07:c0.90:r0.54	outputs/checkpoint_selection/evaluations/stage600_h1200/proposed_ppo_s0.csv
proposed	ppo	0	40	0.08,0.15			100000	1000	d0.08:n20:s0.75:c0.00:r0.96 | d0.15:n20:s0.50:c0.25:r0.82	outputs/defensive_shield_screen/evaluations/ckpt702_defensive_ttc10_v16.csv
proposed	ppo	0	60	0.00,0.10,0.25			100000	1000	d0.00:n20:s0.00:c1.00:rna | d0.10:n20:s0.00:c1.00:rna | d0.25:n20:s0.00:c1.00:rna	outputs/evaluations/proposed_ppo_s0.csv
proposed	ppo	0	150	0.00,0.08,0.15			100000	1000	d0.00:n50:s0.84:c0.00:r0.97 | d0.08:n50:s0.78:c0.06:r0.95 | d0.15:n50:s0.42:c0.50:r0.72	outputs/final_paper_results/evaluations/proposed_ppo_s0.csv
proposed	ppo	0	60	0.00,0.08,0.15			100000	1000	d0.00:n20:s1.00:c0.00:r0.99 | d0.08:n20:s0.90:c0.05:r0.96 | d0.15:n20:s0.50:c0.45:r0.73	outputs/horizon1500_screen/evaluations/ckpt702.csv
proposed	ppo	0	60	0.00,0.08,0.15			100000	1000	d0.00:n20:s1.00:c0.00:r0.99 | d0.08:n20:s0.85:c0.15:r0.89 | d0.15:n20:s0.55:c0.45:r0.78	outputs/horizon1500_screen/evaluations/s0_100w.csv
proposed	ppo	0	150	0.00,0.08,0.15	10	10	1500000	1200	d0.00:n50:s0.82:c0.00:r0.98 | d0.08:n50:s0.76:c0.12:r0.93 | d0.15:n50:s0.60:c0.34:r0.86	outputs/iscsic_main_nenv10_1p5m_ent001/evaluations/proposed_ppo_s0.csv
proposed	ppo	0	150	0.00,0.10,0.25			1000000	1000	d0.00:n50:s0.04:c0.94:rna | d0.10:n50:s0.00:c1.00:rna | d0.25:n50:s0.02:c1.00:rna	outputs/million/evaluations/proposed_ppo_s0.csv
proposed	ppo	0	150	0.00,0.08,0.15			100000	1000	d0.00:n50:s0.84:c0.00:r0.97 | d0.08:n50:s0.74:c0.10:r0.92 | d0.15:n50:s0.48:c0.42:r0.76	outputs/paper_comparison_seed0/evaluations/proposed_ppo_s0.csv
