variant	algo	seed	rows	densities	eval_n_envs	train_n_envs	timesteps	horizon	summary	path
proposed	ppo	25	3	0.00,0.08,0.15		32	1000000	1500	d0.00:n1:s0.92:c0.00:r0.99 | d0.08:n1:s0.84:c0.08:r0.94 | d0.15:n1:s0.66:c0.20:r0.86	outputs/defensive_proposed_ttc12v18_s24s25_nenv32/evaluations/summary.csv
proposed	ppo	26	150	0.00,0.08,0.15	10	10	1000000	1500	d0.00:n50:s0.98:c0.00:r0.99 | d0.08:n50:s0.88:c0.10:r0.95 | d0.15:n50:s0.60:c0.28:r0.85	outputs/defensive_ttc12_v18_nenv10_final/evaluations/defensive_proposed_ppo_s26.csv
proposed	ppo	26	9	0.00,0.08,0.15		10	1000000	1500	d0.00:n3:s0.97:c0.00:r0.99 | d0.08:n3:s0.87:c0.09:r0.96 | d0.15:n3:s0.64:c0.26:r0.85	outputs/defensive_ttc12_v18_nenv10_final/evaluations/summary.csv
proposed	ppo	26	150	0.00,0.08,0.15	16	16	1000000	1500	d0.00:n50:s0.92:c0.00:r0.99 | d0.08:n50:s0.86:c0.08:r0.95 | d0.15:n50:s0.66:c0.10:r0.93	outputs/defensive_ttc12_v18_nenv16_final/evaluations/defensive_proposed_ppo_s26.csv
proposed	ppo	26	6	0.00,0.08,0.15		16	1000000	1500	d0.00:n2:s0.95:c0.00:r0.99 | d0.08:n2:s0.87:c0.08:r0.95 | d0.15:n2:s0.61:c0.22:r0.87	outputs/defensive_ttc12_v18_nenv16_final/evaluations/summary.csv
proposed	ppo	26	150	0.00,0.08,0.15	32	32	1000000	1500	d0.00:n50:s1.00:c0.00:r0.99 | d0.08:n50:s0.78:c0.18:r0.91 | d0.15:n50:s0.54:c0.24:r0.85	outputs/defensive_ttc12_v18_nenv32_final/evaluations/defensive_proposed_ppo_s26.csv
proposed	ppo	26	3	0.00,0.08,0.15		32	1000000	1500	d0.00:n1:s1.00:c0.00:r0.99 | d0.08:n1:s0.78:c0.18:r0.91 | d0.15:n1:s0.54:c0.24:r0.85	outputs/defensive_ttc12_v18_nenv32_final/evaluations/summary.csv
proposed	ppo	26	150	0.00,0.08,0.15	8	8	1000000	1500	d0.00:n50:s0.96:c0.00:r0.99 | d0.08:n50:s0.78:c0.20:r0.91 | d0.15:n50:s0.60:c0.24:r0.85	outputs/defensive_ttc12_v18_nenv8_final/evaluations/defensive_proposed_ppo_s26.csv
proposed	ppo	26	3	0.00,0.08,0.15		8	1000000	1500	d0.00:n1:s0.96:c0.00:r0.99 | d0.08:n1:s0.78:c0.20:r0.91 | d0.15:n1:s0.60:c0.24:r0.85	outputs/defensive_ttc12_v18_nenv8_final/evaluations/summary.csv
proposed	ppo	27	150	0.00,0.08,0.15	10	10	1000000	1500	d0.00:n50:s0.94:c0.00:r0.99 | d0.08:n50:s0.86:c0.06:r0.97 | d0.15:n50:s0.60:c0.30:r0.82	outputs/defensive_ttc12_v18_nenv10_final/evaluations/defensive_proposed_ppo_s27.csv
proposed	ppo	27	150	0.00,0.08,0.15	16	16	1000000	1500	d0.00:n50:s0.98:c0.00:r0.99 | d0.08:n50:s0.88:c0.08:r0.96 | d0.15:n50:s0.56:c0.34:r0.82	outputs/defensive_ttc12_v18_nenv16_final/evaluations/defensive_proposed_ppo_s27.csv
proposed	ppo	28	150	0.00,0.08,0.15	10	10	1000000	1500	d0.00:n50:s0.98:c0.00:r0.99 | d0.08:n50:s0.88:c0.10:r0.95 | d0.15:n50:s0.72:c0.20:r0.88	outputs/defensive_ttc12_v18_nenv10_final/evaluations/defensive_proposed_ppo_s28.csv
proposed	ppo	28	40	0.08,0.15	10	10	1500000	1500	d0.08:n20:s0.85:c0.00:r0.99 | d0.15:n20:s0.60:c0.40:r0.80	outputs/defensive_ttc12_v18_nenv10_steps_diag_1p5m/checkpoint_eval/step_1125000/proposed_ppo_s28.csv
proposed	ppo	28	40	0.08,0.15	10	10	1500000	1500	d0.08:n20:s0.85:c0.10:r0.95 | d0.15:n20:s0.60:c0.30:r0.86	outputs/defensive_ttc12_v18_nenv10_steps_diag_1p5m/checkpoint_eval/step_1500000/proposed_ppo_s28.csv
proposed	ppo	28	40	0.08,0.15	10	10	1500000	1500	d0.08:n20:s0.70:c0.20:r0.92 | d0.15:n20:s0.55:c0.35:r0.88	outputs/defensive_ttc12_v18_nenv10_steps_diag_1p5m/checkpoint_eval/step_375000/proposed_ppo_s28.csv
proposed	ppo	28	40	0.08,0.15	10	10	1500000	1500	d0.08:n20:s0.90:c0.05:r0.95 | d0.15:n20:s0.45:c0.40:r0.77	outputs/defensive_ttc12_v18_nenv10_steps_diag_1p5m/checkpoint_eval/step_750000/proposed_ppo_s28.csv
proposed	ppo	28	150	0.00,0.08,0.15	10	10	1500000	1500	d0.00:n50:s0.96:c0.00:r0.99 | d0.08:n50:s0.78:c0.16:r0.91 | d0.15:n50:s0.58:c0.36:r0.83	outputs/defensive_ttc12_v18_nenv10_steps_diag_1p5m/evaluations/defensive_proposed_ppo_s28.csv
proposed	ppo	28	3	0.00,0.08,0.15		10	1500000	1500	d0.00:n1:s0.96:c0.00:r0.99 | d0.08:n1:s0.78:c0.16:r0.91 | d0.15:n1:s0.58:c0.36:r0.83	outputs/defensive_ttc12_v18_nenv10_steps_diag_1p5m/evaluations/summary.csv
proposed	ppo	28	150	0.00,0.08,0.15	10	10	500000	1500	d0.00:n50:s0.84:c0.00:r0.98 | d0.08:n50:s0.76:c0.08:r0.94 | d0.15:n50:s0.52:c0.22:r0.86	outputs/tuning_ttc12_v16_nenv10_500k/evaluations/defensive_proposed_ppo_s28.csv
proposed	ppo	28	3	0.00,0.08,0.15					d0.00:n1:s0.84:c0.00:r0.98 | d0.08:n1:s0.76:c0.08:r0.94 | d0.15:n1:s0.52:c0.22:r0.86	outputs/tuning_ttc12_v16_nenv10_500k/evaluations/summary.csv
proposed	ppo	28	150	0.00,0.08,0.15	10	10	500000	1500	d0.00:n50:s1.00:c0.00:r0.99 | d0.08:n50:s0.78:c0.20:r0.89 | d0.15:n50:s0.48:c0.32:r0.83	outputs/tuning_ttc14_v18_nenv10_500k/evaluations/defensive_proposed_ppo_s28.csv
proposed	ppo	28	3	0.00,0.08,0.15					d0.00:n1:s1.00:c0.00:r0.99 | d0.08:n1:s0.78:c0.20:r0.89 | d0.15:n1:s0.48:c0.32:r0.83	outputs/tuning_ttc14_v18_nenv10_500k/evaluations/summary.csv
proposed	ppo	3	150	0.00,0.08,0.15					d0.00:n50:s0.84:c0.00:r0.97 | d0.08:n50:s0.74:c0.12:r0.92 | d0.15:n50:s0.34:c0.58:r0.72	outputs/final_paper_results/evaluations/proposed_ppo_s3.csv
proposed	ppo	3	150	0.00,0.08,0.15		8	1000000	1200	d0.00:n50:s0.84:c0.00:r0.97 | d0.08:n50:s0.74:c0.12:r0.92 | d0.15:n50:s0.34:c0.58:r0.72	outputs/stage1000_true_proposed_s3_nenv8/evaluations/proposed_ppo_s3.csv
proposed	ppo	3	3	0.00,0.08,0.15		8	1000000	1200	d0.00:n1:s0.84:c0.00:r0.97 | d0.08:n1:s0.74:c0.12:r0.92 | d0.15:n1:s0.34:c0.58:r0.72	outputs/stage1000_true_proposed_s3_nenv8/evaluations/summary.csv
proposed	ppo	4	150	0.00,0.08,0.15					d0.00:n50:s0.84:c0.00:r0.97 | d0.08:n50:s0.84:c0.00:r0.97 | d0.15:n50:s0.48:c0.46:r0.77	outputs/final_paper_results/evaluations/proposed_ppo_s4.csv
proposed	ppo	4	150	0.00,0.08,0.15		16	1000000	1200	d0.00:n50:s0.84:c0.00:r0.97 | d0.08:n50:s0.84:c0.00:r0.97 | d0.15:n50:s0.48:c0.46:r0.77	outputs/stage1000_true_proposed_s4s5_nenv16/evaluations/proposed_ppo_s4.csv
proposed	ppo	4	6	0.00,0.08,0.15		16	1000000	1200	d0.00:n2:s0.84:c0.00:r0.97 | d0.08:n2:s0.81:c0.01:r0.97 | d0.15:n2:s0.47:c0.44:r0.77	outputs/stage1000_true_proposed_s4s5_nenv16/evaluations/summary.csv
proposed	ppo	5	150	0.00,0.08,0.15		16	1000000	1200	d0.00:n50:s0.84:c0.00:r0.97 | d0.08:n50:s0.78:c0.02:r0.96 | d0.15:n50:s0.46:c0.42:r0.77	outputs/stage1000_true_proposed_s4s5_nenv16/evaluations/proposed_ppo_s5.csv
proposed	ppo	6	150	0.00,0.08,0.15		24	1000000	1200	d0.00:n50:s0.84:c0.00:r0.97 | d0.08:n50:s0.70:c0.14:r0.90 | d0.15:n50:s0.46:c0.46:r0.79	outputs/stage1000_true_proposed_s6s7_independent_nenv24/evaluations/proposed_ppo_s6.csv
proposed	ppo	6	6	0.00,0.08,0.15		24	1000000	1200	d0.00:n2:s0.84:c0.00:r0.97 | d0.08:n2:s0.71:c0.12:r0.91 | d0.15:n2:s0.42:c0.49:r0.77	outputs/stage1000_true_proposed_s6s7_independent_nenv24/evaluations/summary.csv
proposed	ppo	7	150	0.00,0.08,0.15		24	1000000	1200	d0.00:n50:s0.84:c0.00:r0.97 | d0.08:n50:s0.72:c0.10:r0.91 | d0.15:n50:s0.38:c0.52:r0.76	outputs/stage1000_true_proposed_s6s7_independent_nenv24/evaluations/proposed_ppo_s7.csv
proposed	ppo	8	150	0.00,0.08,0.15		32	1000000	1200	d0.00:n50:s0.84:c0.00:r0.97 | d0.08:n50:s0.72:c0.10:r0.93 | d0.15:n50:s0.58:c0.34:r0.80	outputs/stage1000_true_proposed_s8s9_independent_nenv32/evaluations/proposed_ppo_s8.csv
proposed	ppo	8	6	0.00,0.08,0.15		32	1000000	1200	d0.00:n2:s0.84:c0.00:r0.97 | d0.08:n2:s0.71:c0.12:r0.92 | d0.15:n2:s0.53:c0.37:r0.79	outputs/stage1000_true_proposed_s8s9_independent_nenv32/evaluations/summary.csv
proposed	ppo	9	150	0.00,0.08,0.15		32	1000000	1200	d0.00:n50:s0.84:c0.00:r0.98 | d0.08:n50:s0.70:c0.14:r0.91 | d0.15:n50:s0.48:c0.40:r0.79	outputs/stage1000_true_proposed_s8s9_independent_nenv32/evaluations/proposed_ppo_s9.csv
proposed_wo_ttc	ppo	2	150	0.00,0.08,0.15	10	10	500000	1200	d0.00:n50:s0.88:c0.00:r0.98 | d0.08:n50:s0.68:c0.18:r0.90 | d0.15:n50:s0.34:c0.60:r0.73	outputs/ablation_proposed_wo_ttc_nenv10_500k/evaluations/proposed_wo_ttc_ppo_s2.csv
proposed_wo_ttc	ppo	2	150	0.00,0.08,0.15	10	10	1500000	1200	d0.00:n50:s0.86:c0.00:r0.98 | d0.08:n50:s0.70:c0.10:r0.93 | d0.15:n50:s0.48:c0.44:r0.81	outputs/iscsic_main_nenv10_1p5m_ent001/evaluations/proposed_wo_ttc_ppo_s2.csv
risk	ppo	0	60	0.00,0.10,0.25			100000	1000	d0.00:n20:s0.00:c1.00:rna | d0.10:n20:s0.00:c1.00:rna | d0.25:n20:s0.00:c1.00:rna	outputs/evaluations/risk_ppo_s0.csv
risk	ppo	0	150	0.00,0.08,0.15		4	600000	1200	d0.00:n50:s0.84:c0.00:r0.98 | d0.08:n50:s0.74:c0.08:r0.92 | d0.15:n50:s0.42:c0.56:r0.73	outputs/paper_comparison_seed0/evaluations/risk_ppo_s0.csv
risk	ppo	1	150	0.00,0.08,0.15	10	10	1000000	1200	d0.00:n50:s0.86:c0.00:r0.98 | d0.08:n50:s0.80:c0.04:r0.96 | d0.15:n50:s0.50:c0.38:r0.82	outputs/iscsic_main_nenv10/evaluations/risk_ppo_s1.csv
risk	ppo	1	150	0.00,0.08,0.15	10	10	1500000	1200	d0.00:n50:s0.90:c0.00:r0.98 | d0.08:n50:s0.70:c0.14:r0.91 | d0.15:n50:s0.40:c0.52:r0.74	outputs/iscsic_main_nenv10_1p5m_ent001/evaluations/risk_ppo_s1.csv
risk	ppo	1	2	0.00	2				d0.00:n2:s1.00:c0.00:r0.99	outputs/smoke_nenv10_eval_check/evaluations/risk_ppo_s1.csv
risk	ppo	2	150	0.00,0.08,0.15	10	10	1500000	1200	d0.00:n50:s0.90:c0.00:r0.99 | d0.08:n50:s0.74:c0.14:r0.94 | d0.15:n50:s0.46:c0.52:r0.81	outputs/iscsic_main_nenv10_1p5m_ent001/evaluations/risk_ppo_s2.csv
risk	ppo	2	150	0.00,0.08,0.15	10	10	1000000	1200	d0.00:n50:s0.76:c0.02:r0.97 | d0.08:n50:s0.64:c0.12:r0.91 | d0.15:n50:s0.40:c0.56:r0.79	outputs/iscsic_main_nenv10_entropy_v2/evaluations/risk_ppo_s2.csv
risk	ppo	2	150	0.00,0.08,0.15	10	10	500000	1200	d0.00:n50:s0.90:c0.00:r0.98 | d0.08:n50:s0.80:c0.10:r0.93 | d0.15:n50:s0.44:c0.50:r0.76	outputs/tuning_extend_risk_s2_nenv10_ent001_1m_to_1p5m/evaluations/risk_ppo_s2.csv
risk	ppo	2	150	0.00,0.08,0.15	10	10	500000	1200	d0.00:n50:s0.90:c0.00:r0.99 | d0.08:n50:s0.72:c0.04:r0.95 | d0.15:n50:s0.34:c0.60:r0.69	outputs/tuning_extend_risk_s2_nenv10_ent001_1p5m_to_2m/evaluations/risk_ppo_s2.csv
summary			10	0.08,0.15					d0.08:n5:s0.76:c0.06:r0.94 | d0.15:n5:s0.58:c0.21:r0.83	outputs/defensive_shield_screen/summary.csv
