seed,density,metric,ttc13,guard_only_ttc12,delta_ttc13_minus_ttc12
1,0.0,success,0.98,0.96,0.020000000000000018
1,0.0,cost,0.0,0.0,0.0
1,0.0,route_completion,0.9898551279984403,0.9888278291461677,0.0010272988522725957
1,0.0,lane_deviation,0.05216081079767866,0.04285050054386063,0.009310310253818031
1,0.0,collision,0.0,0.0,0.0
1,0.0,out_of_road,0.0,0.0,0.0
1,0.0,ttc_risk,0.0,0.0,0.0
1,0.08,success,0.84,0.88,-0.040000000000000036
1,0.08,cost,0.08,0.1,-0.020000000000000004
1,0.08,route_completion,0.9536426929036501,0.934103289046758,0.019539403856892124
1,0.08,lane_deviation,0.0836748957722386,0.060861993997781784,0.02281290177445682
1,0.08,collision,0.08,0.1,-0.020000000000000004
1,0.08,out_of_road,0.0,0.0,0.0
1,0.08,ttc_risk,0.004647843690996723,0.004510220359564672,0.000137623331432051
1,0.15,success,0.58,0.66,-0.08000000000000007
1,0.15,cost,0.2,0.16,0.04000000000000001
1,0.15,route_completion,0.857017506663427,0.8952649213047367,-0.03824741464130965
1,0.15,lane_deviation,0.13577119749169175,0.14633750184590155,-0.010566304354209799
1,0.15,collision,0.2,0.16,0.04000000000000001
1,0.15,out_of_road,0.0,0.0,0.0
1,0.15,ttc_risk,0.01556249600589382,0.017436014824326898,-0.0018735188184330776
2,0.0,success,0.98,0.96,0.020000000000000018
2,0.0,cost,0.0,0.0,0.0
2,0.0,route_completion,0.9892529445393481,0.9901404636622437,-0.0008875191228956414
2,0.0,lane_deviation,0.11592001293120256,0.07353546342622988,0.04238454950497268
2,0.0,collision,0.0,0.0,0.0
2,0.0,out_of_road,0.0,0.0,0.0
2,0.0,ttc_risk,0.0,0.0,0.0
2,0.08,success,0.84,0.88,-0.040000000000000036
2,0.08,cost,0.16,0.1,0.06
2,0.08,route_completion,0.9288496111753751,0.933181192140938,-0.0043315809655628534
2,0.08,lane_deviation,0.13054346119670523,0.08829064270038335,0.042252818496321884
2,0.08,collision,0.16,0.1,0.06
2,0.08,out_of_road,0.0,0.0,0.0
2,0.08,ttc_risk,0.0032769828713141887,0.004526049448107663,-0.0012490665767934742
2,0.15,success,0.62,0.62,0.0
2,0.15,cost,0.16,0.24,-0.07999999999999999
2,0.15,route_completion,0.886448425932193,0.8468089572664755,0.03963946866571744
2,0.15,lane_deviation,0.16379346302083328,0.11203911246199334,0.05175435055883994
2,0.15,collision,0.16,0.24,-0.07999999999999999
2,0.15,out_of_road,0.0,0.0,0.0
2,0.15,ttc_risk,0.015816076568449317,0.014727510681236494,0.0010885658872128237
