density,baseline,ttc13_success,shield_only_success,delta_success,ttc13_cost,shield_only_cost,delta_cost,ttc13_route_completion,shield_only_route_completion,delta_route_completion,ttc13_lane_deviation,shield_only_lane_deviation,delta_lane_deviation,ttc13_collision,shield_only_collision,delta_collision,ttc13_out_of_road,shield_only_out_of_road,delta_out_of_road,ttc13_ttc_risk,shield_only_ttc_risk,delta_ttc_risk
0.0,shield_only,0.98,0.9933333333333333,-0.013333333333333308,0.0,0.0,0.0,0.9895540362688942,0.9916280638982645,-0.0020740276293703674,0.08404041186444061,0.06088609025944441,0.023154321604996204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08,shield_only,0.84,0.9133333333333332,-0.07333333333333325,0.12,0.06666666666666667,0.05333333333333333,0.9412461520395126,0.9592454577629775,-0.017999305723464976,0.10710917848447192,0.07027947741063356,0.03682970107383836,0.12,0.04666666666666667,0.07333333333333333,0.0,0.02,-0.02,0.003962413281155456,0.00351875799254249,0.00044365528861296626
0.15,shield_only,0.6,0.6266666666666667,-0.026666666666666727,0.18,0.22666666666666668,-0.04666666666666669,0.8717329662978099,0.8710546865014698,0.0006782797963401643,0.14978233025626253,0.10513956770225923,0.044642762554003304,0.18,0.22666666666666668,-0.04666666666666669,0.0,0.0,0.0,0.015689286287171568,0.016501156916972393,-0.0008118706298008253
