density,baseline,ttc13_success,guard_only_ttc12_3seed_success,delta_success,ttc13_cost,guard_only_ttc12_3seed_cost,delta_cost,ttc13_route_completion,guard_only_ttc12_3seed_route_completion,delta_route_completion,ttc13_lane_deviation,guard_only_ttc12_3seed_lane_deviation,delta_lane_deviation,ttc13_collision,guard_only_ttc12_3seed_collision,delta_collision,ttc13_out_of_road,guard_only_ttc12_3seed_out_of_road,delta_out_of_road,ttc13_ttc_risk,guard_only_ttc12_3seed_ttc_risk,delta_ttc_risk
0.0,guard_only_ttc12_3seed,0.98,0.9733333333333333,0.00666666666666671,0.0,0.0,0.0,0.9895540362688942,0.9902073727309076,-0.0006533364620134874,0.08404041186444061,0.061805349798109116,0.022235062066331496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08,guard_only_ttc12_3seed,0.84,0.8733333333333334,-0.03333333333333344,0.12,0.09333333333333334,0.026666666666666658,0.9412461520395126,0.9404938454525765,0.0007523065869360357,0.10710917848447192,0.0791711927576199,0.02793798572685202,0.12,0.09333333333333334,0.026666666666666658,0.0,0.0,0.0,0.003962413281155456,0.0037571173315305508,0.0002052959496249055
0.15,guard_only_ttc12_3seed,0.6,0.6333333333333333,-0.033333333333333326,0.18,0.20666666666666667,-0.026666666666666672,0.8717329662978099,0.867815496168541,0.003917470129268907,0.14978233025626253,0.13634125812863734,0.013441072127625187,0.18,0.19999999999999998,-0.01999999999999999,0.0,0.006666666666666667,-0.006666666666666667,0.015689286287171568,0.01627759066310022,-0.0005883043759286506
