density,baseline,ttc13_success,guard_only_ttc12_same_seeds_success,delta_success,ttc13_cost,guard_only_ttc12_same_seeds_cost,delta_cost,ttc13_route_completion,guard_only_ttc12_same_seeds_route_completion,delta_route_completion,ttc13_lane_deviation,guard_only_ttc12_same_seeds_lane_deviation,delta_lane_deviation,ttc13_collision,guard_only_ttc12_same_seeds_collision,delta_collision,ttc13_out_of_road,guard_only_ttc12_same_seeds_out_of_road,delta_out_of_road,ttc13_ttc_risk,guard_only_ttc12_same_seeds_ttc_risk,delta_ttc_risk
0.0,guard_only_ttc12_same_seeds,0.98,0.96,0.020000000000000018,0.0,0.0,0.0,0.9895540362688942,0.9894841464042057,6.988986468847713e-05,0.08404041186444061,0.05819298198504526,0.025847429879395353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08,guard_only_ttc12_same_seeds,0.84,0.88,-0.040000000000000036,0.12,0.1,0.01999999999999999,0.9412461520395126,0.933642240593848,0.007603911445664524,0.10710917848447192,0.07457631834908257,0.03253286013538935,0.12,0.1,0.01999999999999999,0.0,0.0,0.0,0.003962413281155456,0.004518134903836167,-0.0005557216226807112
0.15,guard_only_ttc12_same_seeds,0.6,0.64,-0.040000000000000036,0.18,0.2,-0.020000000000000018,0.8717329662978099,0.8710369392856061,0.000696027012203837,0.14978233025626253,0.12918830715394744,0.02059402310231509,0.18,0.2,-0.020000000000000018,0.0,0.0,0.0,0.015689286287171568,0.016081762752781698,-0.00039247646561012955
