#{"t_start": 1782814274.423124, "env_id": "None"}
r,l,t,is_success,episode_cost,episode_base_reward,episode_shaped_reward,episode_collision,episode_crash_vehicle,episode_crash_object,episode_out_of_road,episode_route_completion,episode_length,episode_mean_speed,episode_mean_lane_deviation,episode_max_lane_deviation,episode_steering_variation,episode_accel_variation,episode_jerk,episode_ttc_risk,episode_min_ttc,shield_intervention,shield_soft,shield_hard,overspeed_guard,shield_intervention_rate,shield_soft_rate,shield_hard_rate,overspeed_guard_rate,curriculum_stage
342.750352,1250,19.361974,1.0,0.0,618.6135270158644,342.7503521478585,0.0,0.0,0.0,0.0,0.9935871956333188,1250,18.11150961662093,0.08881187619626225,0.2871126651333424,0.021844423374533652,0.22656000003814697,0.23456000003814698,0.005160558881175052,2.658243139676062,1070,1,9,1060,0.856,0.0008,0.0072,0.848,4.0
219.282765,1040,36.804184,1.0,0.0,471.86620492680134,219.28276500657103,0.0,0.0,0.0,0.0,0.9887418799153205,1040,17.631427303140494,0.1545982493491286,0.3180401180591519,0.02062717595477947,0.23692307701477638,0.24777293847157406,0.011741980074123115,2.285129788542263,862,3,19,840,0.8288461538461539,0.0028846153846153848,0.01826923076923077,0.8076923076923077,4.0
-157.714005,103,38.488612,0.0,1.0,33.77426576358071,-157.71400483477052,1.0,1.0,0.0,0.0,0.09073483515326236,103,16.878678716567276,0.11360871083918979,0.2633014003501669,0.02767636086249236,0.23300970873786409,0.22330097087378642,0.009117250064130234,0.7310789207350296,74,0,0,74,0.7184466019417476,0.0,0.0,0.7184466019417476,4.0
280.412468,945,54.193219,1.0,0.0,444.85194839972985,280.4124676227162,0.0,0.0,0.0,0.0,0.989778401872468,945,18.27671050456005,0.15739266912616914,0.3925524477910633,0.009712845206300101,0.225185185387021,0.22730158750342314,0.00011872634201620692,11.10667823951091,812,4,0,808,0.8592592592592593,0.004232804232804233,0.0,0.855026455026455,4.0
