#{"t_start": 1782837027.884285, "env_id": "None"}
r,l,t,is_success,episode_cost,episode_base_reward,episode_shaped_reward,episode_collision,episode_crash_vehicle,episode_crash_object,episode_out_of_road,episode_route_completion,episode_length,episode_mean_speed,episode_mean_lane_deviation,episode_max_lane_deviation,episode_steering_variation,episode_accel_variation,episode_jerk,episode_ttc_risk,episode_min_ttc,shield_intervention,shield_soft,shield_hard,overspeed_guard,shield_intervention_rate,shield_soft_rate,shield_hard_rate,overspeed_guard_rate,curriculum_stage
182.283987,1004,13.103225,1.0,0.0,375.16105243629426,182.28398746758558,0.0,0.0,0.0,0.0,0.9912773773275654,1004,17.561410754791698,0.3163795561244854,0.9954817370882617,0.04731568352614281,0.274900398584476,0.278657979699245,0.015200440973747455,0.47647807432176326,790,5,19,766,0.7868525896414342,0.0049800796812749,0.018924302788844622,0.7629482071713147,4.0
287.553412,1469,38.184962,1.0,0.0,442.2209840397773,287.5534121595003,0.0,0.0,0.0,0.0,0.993716775272899,1469,16.908180489886906,0.4265721842514142,1.0971225023359081,0.0376191469973842,0.31858407258175925,0.3315180412679403,0.0021715830153590005,7.750611612771376,1095,57,0,1038,0.7454050374404356,0.03880190605854323,0.0,0.7066031313818925,4.0
310.496344,1253,58.179913,1.0,0.0,450.2489037490993,310.49634380390586,0.0,0.0,0.0,0.0,0.9945650652437716,1253,18.248347666776418,0.3619675409967335,0.9970902827563098,0.04021536950553423,0.24756584220758363,0.2539505189833219,0.00020223941359540155,10.486704802990948,1050,6,0,1044,0.8379888268156425,0.004788507581803671,0.0,0.8332003192338387,4.0
