variant,density,map_seed,steps,success,cost,collision,out_of_road,route_completion,mean_speed_kmh,mean_lane_deviation,ttc_risk,risk_gate_rate,shield_intervention_rate,shaped_reward
guard_only,0.15,10003,939,1.0,0.0,0.0,0.0,0.9904692705134326,17.864149567823148,0.07423353751586347,0.0008501990929575974,0.0,0.8125665601703941,471.7306157195241
shield_only,0.15,10003,1029,1.0,0.0,0.0,0.0,0.9905653967684106,16.319625650806252,0.277479396614552,0.005383616791370913,0.0,0.6656948493683188,393.81060876439426
retuned_full,0.15,10003,942,1.0,0.0,0.0,0.0,0.9900436763297963,17.805715652248974,0.0828183450096556,0.0018186039984837575,1.0,0.7961783439490446,306.5909855337067
proposed_gated_risk,0.15,10003,1010,1.0,0.0,0.0,0.0,0.9898964126864417,16.619628879418944,0.11211217958631542,0.004204530770776499,0.692079207920792,0.696039603960396,285.9949565874472
no_action_guard,0.15,10003,259,0.0,1.0,1.0,0.0,0.49913812306424593,33.19303957419927,0.46703706572196924,0.25196724843409146,1.0,0.0,-1463.164972224429
risk_only,0.15,10003,1500,0.0,0.0,0.0,0.0,0.010536993115171684,0.013188627132035632,0.0038737529389869076,0.0,1.0,0.0,-224.47357070833442
