#{"t_start": 1779930651.1406355, "env_id": "None"}
r,l,t,is_success,episode_cost,episode_base_reward,episode_collision,episode_out_of_road,episode_mean_speed,episode_steering_variation,episode_ttc_risk,curriculum_stage
9.299538,1000,2.638742,0.0,0.0,10.648350308140321,0.0,0.0,0.6424183446567814,0.8524462445843964,0.0,0.0
12.933737,1000,4.721962,0.0,0.0,14.596920472490563,0.0,0.0,0.8029117442033886,0.8459663462284952,0.0,0.0
13.372749,1000,6.808105,0.0,0.0,20.314825753674832,0.0,0.0,1.0195302806742552,0.8255681273117661,0.0,0.0
20.339785,1000,9.047136,0.0,0.0,28.526654175820454,0.0,0.0,1.2675536723992706,0.8301108649596572,0.0,0.0
6.99001,428,9.99204,0.0,1.0,9.181712101279544,0.0,1.0,1.741404784749151,0.7812045488993977,0.0,0.0
48.016679,1000,11.656127,0.0,0.0,57.702956635983725,0.0,0.0,2.2293239269510168,0.829184305390343,0.0,0.0
70.967168,1000,13.02792,0.0,0.0,75.83634442261395,0.0,0.0,2.807619239263031,0.8476239897292107,0.0,0.0
14.17554,232,13.376924,0.0,1.0,15.568583221378876,0.0,1.0,3.967171780512663,0.7897908098770884,0.0,0.0
15.410032,267,13.749768,0.0,1.0,18.971801721835128,0.0,1.0,3.945824300198581,0.8069947185169222,0.0,0.0
16.484269,323,14.305117,0.0,1.0,21.82257315168758,0.0,1.0,4.101016663304266,0.8235771378427282,0.0,0.0
1.935459,138,14.506226,0.0,1.0,2.8334138501947432,0.0,1.0,3.347964081075342,0.8334587720101294,0.0,0.0
48.195749,760,15.523483,0.0,1.0,59.211534984502876,0.0,1.0,4.002554917397239,0.8397384920255526,0.0,0.0
15.064254,190,15.869764,0.0,1.0,16.600055511926477,0.0,1.0,4.816775708252938,0.7904329421488863,0.0,0.0
32.37011,239,16.218227,0.0,1.0,35.492570266616724,0.0,1.0,6.623115746373228,0.8305102516604767,0.0,0.0
23.300265,236,16.616493,0.0,1.0,25.592731636818893,0.0,1.0,5.904517759134956,0.8151631687720449,0.0,0.0
34.959165,347,17.073682,0.0,1.0,38.34236887065372,0.0,1.0,5.405001462846051,0.7718959990942512,0.0,0.0
68.788358,409,17.696765,0.0,1.0,75.20883745243232,0.0,1.0,7.512082824880733,0.7901397574702073,0.0,0.0
24.065826,306,18.092785,0.0,1.0,27.146818159961207,0.0,1.0,4.636211741306903,0.8209708922244365,0.0,0.0
-1.630201,79,18.221777,0.0,1.0,-1.0857491936150723,0.0,1.0,4.419256095209351,0.7950942025437385,0.0,0.0
27.344395,291,18.693674,0.0,1.0,29.209111010658475,0.0,1.0,4.727235799800434,0.8387335531695193,0.0,0.0
16.041023,155,18.913339,0.0,1.0,18.10248115200138,0.0,1.0,6.531337507530926,0.7454111800559106,0.0,0.0
6.167195,119,19.085502,0.0,1.0,7.661112209040617,0.0,1.0,5.027361264177501,0.8465666767804563,0.0,0.0
47.367828,334,19.527084,0.0,1.0,49.801102906325475,0.0,1.0,7.183822406244266,0.8101166595598894,0.0,0.0
57.722584,410,20.102999,0.0,1.0,60.10153722837518,0.0,1.0,6.235224539765269,0.797782295878704,0.0,0.0
61.55069,285,20.580058,0.0,1.0,63.78097452924226,0.0,1.0,9.338899550299567,0.7603349519338001,0.0,0.0
26.169818,169,20.826831,0.0,1.0,27.96788787259947,0.0,1.0,8.422573934698082,0.7726477092716115,0.0,0.0
43.689402,187,21.130731,0.0,1.0,44.86380841274711,0.0,1.0,9.617785705887483,0.7507604817227326,0.0,0.0
30.017634,214,21.466674,0.0,1.0,31.480516125583186,0.0,1.0,6.687947755507995,0.7708819123489834,0.0,0.0
7.018063,81,21.605996,0.0,1.0,7.586847158423035,0.0,1.0,7.254338909857803,0.7688935463903127,0.0,0.0
