variant,algo,seed,density,success,route_completion,collision,out_of_road,cost,reward,shaped_reward,episode_length,speed,lane_deviation,steering_variation,accel_variation,ttc_risk,min_ttc
baseline,ppo,0,0.0,0.0,0.40241865702014584,0.0,1.0,1.0,130.43302999266712,130.43302999266712,163.02,49.38531202418663,0.41495450846892007,0.055105242790387664,0.007796848188876192,0.0,
baseline,ppo,0,0.08,0.0,0.3155933171718192,0.46,0.54,1.0,96.71228690627359,96.71228690627359,128.3,47.25911834874987,0.3861892493315344,0.06601059342205229,0.016391685221152145,0.11975404004493244,0.6333259129412437
baseline,ppo,0,0.15,0.0,0.2056873257753436,0.64,0.36,1.0,57.680574055762264,57.680574055762264,93.66,40.09812356892851,0.36009087202920825,0.05894647266342404,0.022753980798413585,0.17310603553969497,0.699471405041048
curriculum,ppo,0,0.0,0.06,0.4453698443245647,0.0,0.94,0.94,182.56903111868098,182.56903111868098,174.2,50.271073032801716,0.2903824062294226,0.07914871807136968,0.009378922172502444,0.0,
curriculum,ppo,0,0.08,0.02,0.2996269860636584,0.4,0.58,0.98,98.7474034916044,98.7474034916044,123.74,45.11812723018494,0.3025596106596802,0.07793260384059082,0.011553949667267605,0.1003515738616859,0.6008459652533938
curriculum,ppo,0,0.15,0.0,0.2016355007325246,0.76,0.24,1.0,62.98527231772163,62.98527231772163,93.22,39.47354832767482,0.27905493321661123,0.07800122126676991,0.013236709800239398,0.1683194492764514,0.657037085518119
proposed,ppo,0,0.0,0.84,0.9740981602737403,0.0,0.0,0.0,490.0704609384348,295.55647218714415,976.38,20.141334448736075,0.17442192730697884,0.018552773665352146,0.22080524679313054,0.0,
proposed,ppo,0,0.08,0.74,0.9167018911872015,0.1,0.0,0.1,453.886491965372,248.12798909441878,933.44,19.763158754567076,0.18460515070645378,0.019919921723866287,0.21440942788946443,0.002205114596989118,6.129030075373086
proposed,ppo,0,0.15,0.48,0.760909197579432,0.4,0.02,0.42,350.3364135656289,102.4426605531675,813.18,18.203254605406283,0.2012525866790607,0.02333963953359995,0.21422907179288017,0.008497278095772864,2.8523520975850083
risk,ppo,0,0.0,0.84,0.9750413197917698,0.0,0.0,0.0,481.1478036537378,280.98883603312663,971.06,20.244826086089446,0.1876446730662674,0.01987199960911824,0.2284003950254755,0.0,
risk,ppo,0,0.08,0.74,0.9243904330660833,0.08,0.0,0.08,454.9404297163489,233.0064645462797,938.48,19.85367846807973,0.1867551326605869,0.022378255314047094,0.2327855764524064,0.0049843193595674835,6.578581687045129
risk,ppo,0,0.15,0.42,0.7285839062025431,0.56,0.0,0.56,331.37541006906764,56.6672052310146,769.24,18.33835755098913,0.2055590823054032,0.026415462738781467,0.28200608366534946,0.014652313968513096,2.2304000165714433
