label	train_seed	test_start_seed	densities	status	start	end	eval_csv	log	config_json	model	source_run
proposed_gated_risk	1	20000	0.08 0.15	ok	2026-07-01T04:47:10+08:00	2026-07-01T04:49:14+08:00	outputs/external_seed_robustness_nenv16_20260701_0425/evaluations/test_start_20000/proposed_gated_risk_ppo_s1.csv	outputs/external_seed_robustness_nenv16_20260701_0425/logs/proposed_gated_risk_s1_test20000.log	outputs/external_seed_robustness_nenv16_20260701_0425/configs/proposed_gated_risk_s1_test20000.json	outputs/gated_risk_proposed_nenv16_seed1_1m/runs/proposed_gated_risk_ppo_s1/model/final_model.zip	outputs/gated_risk_proposed_nenv16_seed1_1m/runs/proposed_gated_risk_ppo_s1
proposed_gated_risk	2	20000	0.08 0.15	ok	2026-07-01T04:49:14+08:00	2026-07-01T04:51:14+08:00	outputs/external_seed_robustness_nenv16_20260701_0425/evaluations/test_start_20000/proposed_gated_risk_ppo_s2.csv	outputs/external_seed_robustness_nenv16_20260701_0425/logs/proposed_gated_risk_s2_test20000.log	outputs/external_seed_robustness_nenv16_20260701_0425/configs/proposed_gated_risk_s2_test20000.json	outputs/gated_risk_proposed_nenv16_seed2_1m/runs/proposed_gated_risk_ppo_s2/model/final_model.zip	outputs/gated_risk_proposed_nenv16_seed2_1m/runs/proposed_gated_risk_ppo_s2
risk_only	0	20000	0.08 0.15	ok	2026-07-01T04:51:14+08:00	2026-07-01T04:52:54+08:00	outputs/external_seed_robustness_nenv16_20260701_0425/evaluations/test_start_20000/risk_only_ppo_s0.csv	outputs/external_seed_robustness_nenv16_20260701_0425/logs/risk_only_s0_test20000.log	outputs/external_seed_robustness_nenv16_20260701_0425/configs/risk_only_s0_test20000.json	outputs/tuned_compare_risk_nenv16_seed0_1m/runs/risk_ppo_s0/model/final_model.zip	outputs/tuned_compare_risk_nenv16_seed0_1m/runs/risk_ppo_s0
risk_only	1	20000	0.08 0.15	ok	2026-07-01T04:52:54+08:00	2026-07-01T04:54:32+08:00	outputs/external_seed_robustness_nenv16_20260701_0425/evaluations/test_start_20000/risk_only_ppo_s1.csv	outputs/external_seed_robustness_nenv16_20260701_0425/logs/risk_only_s1_test20000.log	outputs/external_seed_robustness_nenv16_20260701_0425/configs/risk_only_s1_test20000.json	outputs/tuned_compare_risk_nenv16_seed1_1m/runs/risk_ppo_s1/model/final_model.zip	outputs/tuned_compare_risk_nenv16_seed1_1m/runs/risk_ppo_s1
risk_only	2	20000	0.08 0.15	ok	2026-07-01T04:54:33+08:00	2026-07-01T04:56:16+08:00	outputs/external_seed_robustness_nenv16_20260701_0425/evaluations/test_start_20000/risk_only_ppo_s2.csv	outputs/external_seed_robustness_nenv16_20260701_0425/logs/risk_only_s2_test20000.log	outputs/external_seed_robustness_nenv16_20260701_0425/configs/risk_only_s2_test20000.json	outputs/tuned_compare_risk_nenv16_seed2_1m/runs/risk_ppo_s2/model/final_model.zip	outputs/tuned_compare_risk_nenv16_seed2_1m/runs/risk_ppo_s2
no_action_guard	0	20000	0.08 0.15	ok	2026-07-01T04:56:16+08:00	2026-07-01T04:56:57+08:00	outputs/external_seed_robustness_nenv16_20260701_0425/evaluations/test_start_20000/no_action_guard_ppo_s0.csv	outputs/external_seed_robustness_nenv16_20260701_0425/logs/no_action_guard_s0_test20000.log	outputs/external_seed_robustness_nenv16_20260701_0425/configs/no_action_guard_s0_test20000.json	outputs/tuned_ablation_no_action_guard_nenv16_seed0_1m/runs/no_action_guard_ppo_s0/model/final_model.zip	outputs/tuned_ablation_no_action_guard_nenv16_seed0_1m/runs/no_action_guard_ppo_s0
no_action_guard	1	20000	0.08 0.15	ok	2026-07-01T04:56:57+08:00	2026-07-01T04:57:32+08:00	outputs/external_seed_robustness_nenv16_20260701_0425/evaluations/test_start_20000/no_action_guard_ppo_s1.csv	outputs/external_seed_robustness_nenv16_20260701_0425/logs/no_action_guard_s1_test20000.log	outputs/external_seed_robustness_nenv16_20260701_0425/configs/no_action_guard_s1_test20000.json	outputs/tuned_ablation_no_action_guard_nenv16_seed1_1m/runs/no_action_guard_ppo_s1/model/final_model.zip	outputs/tuned_ablation_no_action_guard_nenv16_seed1_1m/runs/no_action_guard_ppo_s1
no_action_guard	2	20000	0.08 0.15	ok	2026-07-01T04:57:32+08:00	2026-07-01T04:58:09+08:00	outputs/external_seed_robustness_nenv16_20260701_0425/evaluations/test_start_20000/no_action_guard_ppo_s2.csv	outputs/external_seed_robustness_nenv16_20260701_0425/logs/no_action_guard_s2_test20000.log	outputs/external_seed_robustness_nenv16_20260701_0425/configs/no_action_guard_s2_test20000.json	outputs/tuned_ablation_no_action_guard_nenv16_seed2_1m/runs/no_action_guard_ppo_s2/model/final_model.zip	outputs/tuned_ablation_no_action_guard_nenv16_seed2_1m/runs/no_action_guard_ppo_s2
guard_only	0	30000	0.08 0.15	ok	2026-07-01T04:58:09+08:00	2026-07-01T05:00:14+08:00	outputs/external_seed_robustness_nenv16_20260701_0425/evaluations/test_start_30000/guard_only_ppo_s0.csv	outputs/external_seed_robustness_nenv16_20260701_0425/logs/guard_only_s0_test30000.log	outputs/external_seed_robustness_nenv16_20260701_0425/configs/guard_only_s0_test30000.json	outputs/tuned_ablation_guard_only_nenv16_seed0_1m/runs/guard_only_ppo_s0/model/final_model.zip	outputs/tuned_ablation_guard_only_nenv16_seed0_1m/runs/guard_only_ppo_s0
guard_only	1	30000	0.08 0.15	ok	2026-07-01T05:00:14+08:00	2026-07-01T05:02:14+08:00	outputs/external_seed_robustness_nenv16_20260701_0425/evaluations/test_start_30000/guard_only_ppo_s1.csv	outputs/external_seed_robustness_nenv16_20260701_0425/logs/guard_only_s1_test30000.log	outputs/external_seed_robustness_nenv16_20260701_0425/configs/guard_only_s1_test30000.json	outputs/tuned_ablation_guard_only_nenv16_seed1_1m/runs/guard_only_ppo_s1/model/final_model.zip	outputs/tuned_ablation_guard_only_nenv16_seed1_1m/runs/guard_only_ppo_s1
