variant,algo,seed,density,success,route_completion,collision,out_of_road,cost,reward,shaped_reward,episode_length,speed,lane_deviation,steering_variation,accel_variation,ttc_risk,min_ttc
proposed,ppo,28,0.0,0.96,0.9906035797995524,0.0,0.0,0.0,483.2185241933743,282.70673171105454,1144.72,18.312781766091586,0.2468141397454998,0.00989463265851291,0.22499613107217506,0.0,
proposed,ppo,28,0.08,0.78,0.9105550249113042,0.08,0.08,0.16,457.4023551857018,193.92981955477023,1094.7,17.714974234626695,0.22555826456275518,0.012015035723748079,0.24225664962655127,0.00602559243228054,11.197501966583955
proposed,ppo,28,0.15,0.58,0.8251323091038265,0.32,0.04,0.36,390.0986401357558,56.76053425026534,968.78,16.812444295667657,0.19894520712083086,0.01413884795779806,0.27557519943352893,0.016131468116777445,3.0354913177464042
