stress_label,density,map_seed,map_config,episode,eval_n_envs,reward,shaped_reward,success,route_completion,collision,crash_vehicle,crash_object,out_of_road,cost,episode_length,mean_speed_kmh,mean_lane_deviation,max_lane_deviation,steering_variation,accel_variation,jerk,ttc_risk,min_ttc,shield_intervention,shield_soft,shield_hard,overspeed_guard,shield_intervention_rate,shield_soft_rate,shield_hard_rate,overspeed_guard_rate,source_config_json,source_model_path
baseline,0.2,10781.08,7.0,24.5,16.0,49.490581881027026,49.490581881027026,0.0,0.16548241425842192,0.6466666666666666,0.6466666666666666,0.0,0.35333333333333333,1.0,87.36666666666666,37.092365507436966,0.323482498522327,1.1514955744937232,0.06477903169586499,0.039717660055202934,0.049390872011449705,0.16054915479652207,1.157707403352529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
baseline,0.25,10746.413333333334,7.0,24.5,16.0,48.327660780358976,48.327660780358976,0.0,0.1578654518771453,0.76,0.76,0.0,0.24,1.0,84.38,36.30848412716292,0.296168390976088,0.9879976409042652,0.05924307547084181,0.038191908274270304,0.04815601615764149,0.1836831578614568,0.840540284916075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
curriculum,0.2,10743.08,7.0,24.5,16.0,53.038130880426884,53.038130880426884,0.0,0.16351426857170642,0.6266666666666667,0.6266666666666667,0.0,0.37333333333333335,1.0,86.19333333333333,36.97705377315226,0.27109724705790184,1.1429827196189883,0.07544251488187415,0.03476928206632282,0.04495816299520033,0.18747898152065606,1.1248219680426998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
curriculum,0.25,10742.413333333334,7.0,24.5,16.0,49.77112214579436,49.77112214579436,0.0,0.15655184280909615,0.7333333333333333,0.7333333333333333,0.0,0.26666666666666666,1.0,83.76,35.5458074250306,0.250426856254718,0.9941868514014786,0.07349598310611333,0.037465315319416485,0.04669358028183957,0.22457156602191966,0.887286597540568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
full_proposed_candidate,0.2,10729.746666666666,7.0,24.5,16.0,351.5358169090833,-111.29884378918055,0.38,0.7443113213329334,0.38,0.38,0.0,0.02,0.4,1104.3266666666666,13.905461471212735,0.20625250197039696,0.6875876875970427,0.035356666102906865,0.35508984041131086,0.3574474778473445,0.024699598063325275,2.556317700519815,615.3466666666667,85.3,23.26,506.7866666666667,0.5801054768154288,0.06924786879633046,0.02198638096170108,0.4888712270573972,,
full_proposed_candidate,0.25,10763.746666666666,7.0,24.5,16.0,266.63506423564377,-227.61012623291398,0.20666666666666667,0.5869420460229963,0.56,0.56,0.0,0.02666666666666667,0.5866666666666667,996.0666666666667,12.150922530140305,0.21696164386770525,0.6928104185451491,0.037460019962124703,0.3945965142414874,0.39077733845451995,0.032362180814184315,2.475979019344023,461.0133333333333,96.54,26.866666666666667,337.6066666666667,0.49026194688283614,0.08971395880316864,0.029409948126305405,0.3711380399533621,,
guard_only,0.2,10765.08,7.0,24.5,16.0,358.25916524425213,358.25916524425213,0.41333333333333333,0.7334469886454233,0.38,0.38,0.0,0.02666666666666667,0.4066666666666667,1079.2333333333333,13.8046004769249,0.17289674931540433,0.5835884003778468,0.018272766095699236,0.3950893364873043,0.3911604701765369,0.024255231957180268,2.7495357122003687,614.6266666666667,93.97333333333333,20.986666666666668,499.6666666666667,0.5921759529800477,0.07977524615017723,0.019524542686351072,0.49287616414351937,,
guard_only,0.25,10748.413333333334,7.0,24.5,16.0,308.565668494055,308.565668494055,0.26666666666666666,0.658403345698857,0.46,0.46,0.0,0.02666666666666667,0.4866666666666667,1109.0933333333332,12.144666061473426,0.2058595077688495,0.6317428962114799,0.019380631546906113,0.45341196751928226,0.4447913754834821,0.030303810607805633,2.7510379584244617,536.9933333333333,124.48,25.56,386.9533333333333,0.5083988028935538,0.1048139434804478,0.02321941785212231,0.3803654415609837,,
retune_proposed_ttc4_cost10_lane1,0.2,10751.08,7.0,24.5,16.0,343.16910438650166,-77.12246622335358,0.4533333333333333,0.7529680841143322,0.34,0.34,0.0,0.04,0.38,1066.8733333333332,14.355979034017707,0.23905057336939692,0.7141539056179792,0.04035329786573199,0.35857309578215585,0.3585260826595617,0.027834608088908846,2.4041200181092854,626.48,78.77333333333333,28.773333333333333,518.9333333333333,0.6094704199919083,0.06572994803146498,0.02786354078773279,0.5158769311727105,,
retune_proposed_ttc4_cost10_lane1,0.25,10731.08,7.0,24.5,16.0,244.13408074030912,-203.95032931252476,0.17333333333333334,0.5707261714463111,0.6466666666666666,0.6466666666666666,0.0,0.04,0.6866666666666666,921.92,12.848026496397503,0.27347244221835354,0.7326161194216534,0.04092342992594211,0.39493347925179656,0.4001185976200245,0.032383798577296556,2.5576926474170434,460.56,90.35333333333334,26.813333333333333,343.3933333333333,0.5316439340145825,0.0870593140082944,0.02892422619384024,0.41566039381244785,,
