stress_label,density,map_seed,map_config,episode,eval_n_envs,reward,shaped_reward,success,route_completion,collision,crash_vehicle,crash_object,out_of_road,cost,episode_length,mean_speed_kmh,mean_lane_deviation,max_lane_deviation,steering_variation,accel_variation,jerk,ttc_risk,min_ttc,shield_intervention,shield_soft,shield_hard,overspeed_guard,shield_intervention_rate,shield_soft_rate,shield_hard_rate,overspeed_guard_rate,source_config_json,source_model_path
baseline,0.2,452.4252249389658,0.0,14.479214447155323,0.0,25.320991774436294,25.320991774436294,0.0,0.0742750506878504,0.4796064755241043,0.4796064755241043,0.0,0.4796064755241043,0.0,27.620004584428436,5.486208153674033,0.18165286205448503,0.6228780737170302,0.0257467546134785,0.015660189401635483,0.014178950102358312,0.11678182058110001,1.851066946562742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
baseline,0.25,465.0666717977136,0.0,14.479214447155323,0.0,23.12963368042178,23.12963368042178,0.0,0.06429439965941314,0.4285138983438291,0.4285138983438291,0.0,0.4285138983438291,0.0,26.727225141387,5.229873335336794,0.19466291244686085,0.6434982856442163,0.02268168187805803,0.014240522930539415,0.012712283713658502,0.11367187567849571,1.1206692505812141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
curriculum,0.2,472.8998861089725,0.0,14.479214447155323,0.0,22.974138556447162,22.974138556447162,0.0,0.0638252822981286,0.48530992887983576,0.48530992887983576,0.0,0.48530992887983576,0.0,22.425026966581367,5.185278180561778,0.16091489068075723,0.627092495735961,0.02358101922703125,0.011313128605004458,0.01088227929748095,0.16512730932004052,1.4425589868513142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
curriculum,0.25,459.8107312208593,0.0,14.479214447155323,0.0,23.326257053684763,23.326257053684763,0.0,0.07248288367908955,0.44369810564002393,0.44369810564002393,0.0,0.44369810564002393,0.0,26.764616529787553,4.9549560027749076,0.15759546716894088,0.5972619237643741,0.0244672736455319,0.011052789404818172,0.01032979733842791,0.17071245726518489,1.210529835959829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
full_proposed_candidate,0.2,463.8572186396546,0.0,14.479214447155323,0.0,123.13450372680279,251.88851876091596,0.48701253377473896,0.24767722359719063,0.48701253377473896,0.48701253377473896,0.0,0.14046901303903675,0.49153915231142425,356.04500689536854,2.8898782983151015,0.07345309843014257,0.27945502266930594,0.012301029720862581,0.13058780976696152,0.11498146025535547,0.02281416137046451,2.0655025306446944,214.5533517813842,68.41883939305472,31.88516096764898,222.83727432308197,0.1564474503728172,0.04835563253270907,0.03097430671617837,0.1960213389971249,,
full_proposed_candidate,0.25,473.36400266144017,0.0,14.479214447155323,0.0,117.94142251664725,240.66591551408405,0.4062707575147799,0.27010389749937924,0.49804988833968006,0.49804988833968006,0.0,0.16164700403963203,0.49408130008754314,393.199040510799,3.2232481076741952,0.07595459118303682,0.31594386454638584,0.012451735370052305,0.15657177081663548,0.12670668515036043,0.030014307038406643,2.3164573770358707,201.3472071015793,66.82498728899614,35.98707200135105,199.469830746597,0.15965855008566343,0.05124188225603635,0.04231898682259245,0.1938946155934682,,
guard_only,0.2,456.0258958854429,0.0,14.479214447155323,0.0,121.80047796002464,121.80047796002464,0.49408130008754314,0.26321475334914535,0.48701253377473896,0.48701253377473896,0.0,0.16164700403963203,0.49285725865094215,336.4759416126454,3.1656159732850946,0.08388055513205207,0.3450524801444094,0.008730092700911731,0.13726781727873413,0.11349422824791824,0.016820517957203303,2.249636927790467,204.5229691787703,73.30005875151392,23.284925176864324,224.87669004827814,0.16526359388815928,0.0551170093384565,0.02188645322083006,0.21661636573979176,,
guard_only,0.25,455.04713505640547,0.0,14.479214447155323,0.0,116.18387962342467,116.18387962342467,0.44369810564002393,0.24979601261379938,0.5000671095902627,0.5000671095902627,0.0,0.16164700403963203,0.5014966414959998,352.5887074192147,3.1984285821437233,0.13498221587749723,0.36426274288377813,0.00882854106572357,0.15312638148111876,0.1135393901738922,0.020212363261087732,1.806349449337108,182.42418657588888,77.30248439707312,36.74700006017932,194.34040351527202,0.1546631749238816,0.052220949841128524,0.028989725130857645,0.19763185155920726,,
retune_proposed_ttc4_cost10_lane1,0.2,450.81967882823386,0.0,14.479214447155323,0.0,131.3597907537791,298.19178977454953,0.49948519358733284,0.2670430199677516,0.47529573979624135,0.47529573979624135,0.0,0.19661566092456972,0.48701253377473896,365.7424057144695,2.6223207895238065,0.14370508349293626,0.3718174298521725,0.01231562650609536,0.1190740408989888,0.0951902127799948,0.02449318586338762,2.1542518775118062,216.60097603379342,66.25131597190314,36.337557376117616,212.59930697061264,0.1463082701499936,0.047578632860516466,0.03357288858307425,0.18405824266896856,,
retune_proposed_ttc4_cost10_lane1,0.25,451.98443163780877,0.0,14.479214447155323,0.0,114.40156131521158,249.94082874686217,0.3798033165786159,0.26787099683247656,0.4796064755241043,0.4796064755241043,0.0,0.19661566092456972,0.46540257044058847,399.6533988278229,3.0627205191733933,0.1509703442013886,0.35363107383643677,0.011880085595849252,0.12135243359236873,0.11173926753876513,0.031384775078593816,2.5673896682723454,207.12102871730033,70.05512083536271,37.074093537578364,193.13972049557702,0.16398265895955155,0.054616718158269545,0.04330129730988713,0.20503550006658305,,
risk,0.2,473.608105771374,0.0,14.479214447155323,0.0,0.014377343038781194,0.11506606421138096,0.0,0.001778315121717249,0.0,0.0,0.0,0.0,0.0,0.0,0.00043858605761033765,0.00368716359544467,0.0037001627531529787,7.482969482271419e-05,2.1970986283899977e-05,0.00013175144286127374,0.0,1820.2535739681148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
risk,0.25,473.608105771374,0.0,14.479214447155323,0.0,0.021726401232283015,0.11188253566765256,0.0,0.0017207602072804593,0.0,0.0,0.0,0.0,0.0,0.0,0.0005584768151111726,0.00391064628610953,0.0038856121243262573,0.00014665525158460277,4.0889230705068914e-05,0.00012784055296871676,0.0,1983.1032358196296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
