density,rank,stress_label,success,cost,collision,out_of_road,route_completion,mean_speed_kmh,mean_lane_deviation,ttc_risk
0.2,1,shield_only,0.48,0.36,0.34,0.02,0.7775696482189013,14.302851999960195,0.14041817249755337,0.023805265806568273
0.2,2,retune_proposed_ttc4_cost10_lane1,0.4533333333333333,0.38,0.34,0.04,0.7529680841143322,14.355979034017707,0.23905057336939692,0.027834608088908846
0.2,3,guard_only,0.41333333333333333,0.4066666666666667,0.38,0.02666666666666667,0.7334469886454233,13.8046004769249,0.17289674931540433,0.024255231957180268
0.2,4,full_proposed_candidate,0.38,0.4,0.38,0.02,0.7443113213329334,13.905461471212735,0.20625250197039696,0.024699598063325275
0.2,5,risk,0.0,0.0,0.0,0.0,0.009206070298710255,0.013543700026894671,0.006290089373799058,0.0
0.2,6,baseline,0.0,1.0,0.6466666666666666,0.35333333333333333,0.16548241425842192,37.092365507436966,0.323482498522327,0.16054915479652207
0.2,7,curriculum,0.0,1.0,0.6266666666666667,0.37333333333333335,0.16351426857170642,36.97705377315226,0.27109724705790184,0.18747898152065606
0.25,1,guard_only,0.26666666666666666,0.4866666666666667,0.46,0.02666666666666667,0.658403345698857,12.144666061473426,0.2058595077688495,0.030303810607805633
0.25,2,full_proposed_candidate,0.20666666666666667,0.5866666666666667,0.56,0.02666666666666667,0.5869420460229963,12.150922530140305,0.21696164386770525,0.032362180814184315
0.25,3,shield_only,0.19333333333333333,0.5866666666666667,0.5333333333333333,0.05333333333333334,0.6092649382729954,11.869576039182222,0.200580731999587,0.0330224061494961
0.25,4,retune_proposed_ttc4_cost10_lane1,0.17333333333333334,0.6866666666666666,0.6466666666666666,0.04,0.5707261714463111,12.848026496397503,0.27347244221835354,0.032383798577296556
0.25,5,risk,0.0,0.0,0.0,0.0,0.00898959963310597,0.013664889233125387,0.006347296410252196,0.0
0.25,6,baseline,0.0,1.0,0.76,0.24,0.1578654518771453,36.30848412716292,0.296168390976088,0.1836831578614568
0.25,7,curriculum,0.0,1.0,0.7333333333333333,0.26666666666666666,0.15655184280909615,35.5458074250306,0.250426856254718,0.22457156602191966
