density,shield_only_success,full_proposed_success,delta_shield_minus_full_proposed_success,shield_only_cost,full_proposed_cost,delta_shield_minus_full_proposed_cost,shield_only_collision,full_proposed_collision,delta_shield_minus_full_proposed_collision,shield_only_out_of_road,full_proposed_out_of_road,delta_shield_minus_full_proposed_out_of_road,shield_only_route_completion,full_proposed_route_completion,delta_shield_minus_full_proposed_route_completion,shield_only_lane_deviation,full_proposed_lane_deviation,delta_shield_minus_full_proposed_lane_deviation,shield_only_ttc_risk,full_proposed_ttc_risk,delta_shield_minus_full_proposed_ttc_risk
0.0,0.99,0.973333,0.016666999999999987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9913213106952986,0.989437,0.0018843106952985966,0.06664114912854657,0.132425,-0.06578385087145341,0.0,0.0,0.0
0.08,0.94,0.833333,0.10666699999999996,0.06,0.133333,-0.07333300000000001,0.04,0.126667,-0.086667,0.02,0.006667,0.013333000000000001,0.9596363181829565,0.928769,0.030867318182956516,0.07811826311785132,0.154979,-0.07686073688214869,0.0033181448109664098,0.005224,-0.0019058551890335906
0.15,0.56,0.62,-0.05999999999999994,0.27,0.246667,0.02333300000000002,0.27,0.233333,0.036667000000000005,0.0,0.013333,-0.013333,0.8499752725882184,0.865068,-0.015092727411781581,0.117438616472517,0.177586,-0.060147383527483,0.018972827176024762,0.015307,0.0036658271760247624
