density,baseline,v19_success,guard_only_ttc12_3seed_success,delta_success,v19_cost,guard_only_ttc12_3seed_cost,delta_cost,v19_route_completion,guard_only_ttc12_3seed_route_completion,delta_route_completion,v19_lane_deviation,guard_only_ttc12_3seed_lane_deviation,delta_lane_deviation,v19_collision,guard_only_ttc12_3seed_collision,delta_collision,v19_out_of_road,guard_only_ttc12_3seed_out_of_road,delta_out_of_road,v19_ttc_risk,guard_only_ttc12_3seed_ttc_risk,delta_ttc_risk
0.0,guard_only_ttc12_3seed,0.99,0.9733333333333333,0.01666666666666672,0.0,0.0,0.0,0.9910615536516227,0.9902073727309076,0.0008541809207150974,0.05383111299763343,0.061805349798109116,-0.007974236800475688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08,guard_only_ttc12_3seed,0.88,0.8733333333333334,0.006666666666666599,0.11,0.09333333333333334,0.016666666666666663,0.9462235637264529,0.9404938454525765,0.005729718273876361,0.06371271985386419,0.0791711927576199,-0.01545847290375571,0.11,0.09333333333333334,0.016666666666666663,0.0,0.0,0.0,0.00247159089942616,0.0037571173315305508,-0.0012855264321043908
0.15,guard_only_ttc12_3seed,0.6499999999999999,0.6333333333333333,0.016666666666666607,0.27,0.20666666666666667,0.06333333333333335,0.8659259145230962,0.867815496168541,-0.0018895816454448378,0.12044746728041093,0.13634125812863734,-0.01589379084822641,0.27,0.19999999999999998,0.07000000000000003,0.0,0.006666666666666667,-0.006666666666666667,0.015109210218547246,0.01627759066310022,-0.0011683804445529727
