seed,density,metric,v19,guard_only_ttc12,delta_v19_minus_ttc12
1,0.0,success,0.98,0.96,0.020000000000000018
1,0.0,cost,0.0,0.0,0.0
1,0.0,route_completion,0.9904123315806327,0.9888278291461677,0.0015845024344649516
1,0.0,lane_deviation,0.06700923226686269,0.04285050054386063,0.024158731723002057
1,0.0,collision,0.0,0.0,0.0
1,0.0,out_of_road,0.0,0.0,0.0
1,0.0,ttc_risk,0.0,0.0,0.0
1,0.08,success,0.92,0.88,0.040000000000000036
1,0.08,cost,0.06,0.1,-0.04000000000000001
1,0.08,route_completion,0.9544557929977916,0.934103289046758,0.020352503951033607
1,0.08,lane_deviation,0.08478174065962266,0.060861993997781784,0.023919746661840872
1,0.08,collision,0.06,0.1,-0.04000000000000001
1,0.08,out_of_road,0.0,0.0,0.0
1,0.08,ttc_risk,0.0026275403605289975,0.004510220359564672,-0.0018826799990356744
1,0.15,success,0.58,0.66,-0.08000000000000007
1,0.15,cost,0.28,0.16,0.12000000000000002
1,0.15,route_completion,0.861206561305718,0.8952649213047367,-0.03405835999901863
1,0.15,lane_deviation,0.15257355808802717,0.14633750184590155,0.006236056242125615
1,0.15,collision,0.28,0.16,0.12000000000000002
1,0.15,out_of_road,0.0,0.0,0.0
1,0.15,ttc_risk,0.01753100825292523,0.017436014824326898,9.499342859833199e-05
2,0.0,success,1.0,0.96,0.040000000000000036
2,0.0,cost,0.0,0.0,0.0
2,0.0,route_completion,0.9917107757226127,0.9901404636622437,0.0015703120603689502
2,0.0,lane_deviation,0.04065299372840417,0.07353546342622988,-0.03288246969782571
2,0.0,collision,0.0,0.0,0.0
2,0.0,out_of_road,0.0,0.0,0.0
2,0.0,ttc_risk,0.0,0.0,0.0
2,0.08,success,0.84,0.88,-0.040000000000000036
2,0.08,cost,0.16,0.1,0.06
2,0.08,route_completion,0.9379913344551141,0.933181192140938,0.004810142314176091
2,0.08,lane_deviation,0.042643699048105714,0.08829064270038335,-0.04564694365227764
2,0.08,collision,0.16,0.1,0.06
2,0.08,out_of_road,0.0,0.0,0.0
2,0.08,ttc_risk,0.0023156414383233223,0.004526049448107663,-0.0022104080097843405
2,0.15,success,0.72,0.62,0.09999999999999998
2,0.15,cost,0.26,0.24,0.020000000000000018
2,0.15,route_completion,0.8706452677404743,0.8468089572664755,0.023836310473998812
2,0.15,lane_deviation,0.0883213764727947,0.11203911246199334,-0.023717735989198643
2,0.15,collision,0.26,0.24,0.020000000000000018
2,0.15,out_of_road,0.0,0.0,0.0
2,0.15,ttc_risk,0.012687412184169262,0.014727510681236494,-0.0020400984970672317
