density,baseline,v19_success,shield_only_success,delta_success,v19_cost,shield_only_cost,delta_cost,v19_route_completion,shield_only_route_completion,delta_route_completion,v19_lane_deviation,shield_only_lane_deviation,delta_lane_deviation,v19_collision,shield_only_collision,delta_collision,v19_out_of_road,shield_only_out_of_road,delta_out_of_road,v19_ttc_risk,shield_only_ttc_risk,delta_ttc_risk
0.0,shield_only,0.99,0.9933333333333333,-0.0033333333333332993,0.0,0.0,0.0,0.9910615536516227,0.9916280638982645,-0.0005665102466417826,0.05383111299763343,0.06088609025944441,-0.00705497726181098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08,shield_only,0.88,0.9133333333333332,-0.033333333333333215,0.11,0.06666666666666667,0.043333333333333335,0.9462235637264529,0.9592454577629775,-0.01302189403652465,0.06371271985386419,0.07027947741063356,-0.006566757556769373,0.11,0.04666666666666667,0.06333333333333332,0.0,0.02,-0.02,0.00247159089942616,0.00351875799254249,-0.00104716709311633
0.15,shield_only,0.6499999999999999,0.6266666666666667,0.023333333333333206,0.27,0.22666666666666668,0.043333333333333335,0.8659259145230962,0.8710546865014698,-0.005128771978373581,0.12044746728041093,0.10513956770225923,0.015307899578151707,0.27,0.22666666666666668,0.043333333333333335,0.0,0.0,0.0,0.015109210218547246,0.016501156916972393,-0.0013919466984251474
