variant,algo,seed,map_seed,map_config,density,episode,eval_n_envs,reward,shaped_reward,success,route_completion,collision,crash_vehicle,crash_object,out_of_road,cost,episode_length,mean_speed_kmh,mean_lane_deviation,max_lane_deviation,steering_variation,accel_variation,jerk,ttc_risk,min_ttc,risk_gate_rate,continuous_risk_penalty,event_risk_penalty,shield_intervention,shield_soft,shield_hard,overspeed_guard,shield_intervention_rate,shield_soft_rate,shield_hard_rate,overspeed_guard_rate,source_config_json,source_model_path
proposed_gated_risk,ppo,1,10100,7,0.0,10,16,717.2803896381147,443.5170833568085,1.0,0.9930883497015038,0.0,0.0,0.0,0.0,0.0,1362,18.309400964877266,0.036674547483187,0.1587151093974564,0.0062328520498994774,0.23201174743024963,0.23348017621145375,0.0,,0.8715124816446402,9.54664545030932,0.0,1186,0,0,1186,0.8707782672540382,0.0,0.0,0.8707782672540382,outputs/gated_risk_proposed_nenv16_seed1_1m/runs/proposed_gated_risk_ppo_s1/config.json,outputs/gated_risk_proposed_nenv16_seed1_1m/runs/proposed_gated_risk_ppo_s1/model/final_model.zip
proposed_gated_risk,ppo,1,10000,7,0.0,11,16,718.8593433334306,440.2736741942165,1.0,0.9933354821668827,0.0,0.0,0.0,0.0,0.0,1388,18.366986199953423,0.05684457932357144,0.27366252490495113,0.006679536623112664,0.21613832853025935,0.21757925072046108,0.0,,0.8818443804034583,13.739416759174185,0.0,1222,0,0,1222,0.8804034582132565,0.0,0.0,0.8804034582132565,outputs/gated_risk_proposed_nenv16_seed1_1m/runs/proposed_gated_risk_ppo_s1/config.json,outputs/gated_risk_proposed_nenv16_seed1_1m/runs/proposed_gated_risk_ppo_s1/model/final_model.zip
proposed_gated_risk,ppo,1,11500,7,0.0,12,16,755.5312243624896,460.2184263357011,1.0,0.9937220495118767,0.0,0.0,0.0,0.0,0.0,1443,18.31537615323741,0.041770396671755,0.24440839128852904,0.007165607215342262,0.23423423423423423,0.23562023562023562,0.0,,0.8704088704088704,11.996067826018834,0.0,1256,0,0,1256,0.8704088704088704,0.0,0.0,0.8704088704088704,outputs/gated_risk_proposed_nenv16_seed1_1m/runs/proposed_gated_risk_ppo_s1/config.json,outputs/gated_risk_proposed_nenv16_seed1_1m/runs/proposed_gated_risk_ppo_s1/model/final_model.zip
proposed_gated_risk,ppo,1,10200,7,0.0,13,16,752.954325415031,452.7805992250129,1.0,0.9948663480368003,0.0,0.0,0.0,0.0,0.0,1482,18.335067521636358,0.07191496941322614,0.33312798913024255,0.013906593848957444,0.23481781376518218,0.23076923076923078,0.0,,0.873144399460189,18.341217403975286,0.0,1286,0,0,1286,0.8677462887989204,0.0,0.0,0.8677462887989204,outputs/gated_risk_proposed_nenv16_seed1_1m/runs/proposed_gated_risk_ppo_s1/config.json,outputs/gated_risk_proposed_nenv16_seed1_1m/runs/proposed_gated_risk_ppo_s1/model/final_model.zip
proposed_gated_risk,ppo,1,10500,7,0.0,14,16,753.1945741217119,395.893168663895,0.0,0.8616284552702969,0.0,0.0,0.0,0.0,0.0,1500,18.33255065662609,0.05790702737974539,0.227080229577441,0.005860770745823781,0.23066666666666666,0.23066666666666666,0.0,,0.874,15.019256607772881,0.0,1310,0,0,1310,0.8733333333333333,0.0,0.0,0.8733333333333333,outputs/gated_risk_proposed_nenv16_seed1_1m/runs/proposed_gated_risk_ppo_s1/config.json,outputs/gated_risk_proposed_nenv16_seed1_1m/runs/proposed_gated_risk_ppo_s1/model/final_model.zip
proposed_gated_risk,ppo,1,11000,7,0.0,15,16,750.4101539075538,394.2019222683361,0.0,0.8891286444897253,0.0,0.0,0.0,0.0,0.0,1500,18.30351140637994,0.05961184703502149,0.4698503173947148,0.011318976765498518,0.23866666666666667,0.24,0.0,,0.87,16.268300465029565,0.0,1295,0,0,1295,0.8633333333333333,0.0,0.0,0.8633333333333333,outputs/gated_risk_proposed_nenv16_seed1_1m/runs/proposed_gated_risk_ppo_s1/config.json,outputs/gated_risk_proposed_nenv16_seed1_1m/runs/proposed_gated_risk_ppo_s1/model/final_model.zip
proposed_gated_risk,ppo,1,11401,7,0.0,16,16,489.2581101329349,330.7091868184612,1.0,0.9922059804937966,0.0,0.0,0.0,0.0,0.0,924,18.31804916277238,0.04351694830145208,0.27865935262948716,0.013537947846439493,0.22077922077922077,0.22294372294372294,0.0,,0.8722943722943723,8.458107467758177,0.0,803,0,0,803,0.8690476190476191,0.0,0.0,0.8690476190476191,outputs/gated_risk_proposed_nenv16_seed1_1m/runs/proposed_gated_risk_ppo_s1/config.json,outputs/gated_risk_proposed_nenv16_seed1_1m/runs/proposed_gated_risk_ppo_s1/model/final_model.zip
proposed_gated_risk,ppo,1,11201,7,0.0,17,16,521.5525375244272,338.58320583040967,1.0,0.9911356994633808,0.0,0.0,0.0,0.0,0.0,1028,18.331845782359956,0.08506383048308429,0.3737098069484015,0.006783234844245162,0.21498054474708173,0.2169260700389105,0.0,,0.882295719844358,16.688490910338803,0.0,901,0,0,901,0.8764591439688716,0.0,0.0,0.8764591439688716,outputs/gated_risk_proposed_nenv16_seed1_1m/runs/proposed_gated_risk_ppo_s1/config.json,outputs/gated_risk_proposed_nenv16_seed1_1m/runs/proposed_gated_risk_ppo_s1/model/final_model.zip
proposed_gated_risk,ppo,1,11301,7,0.0,18,16,439.83227516443594,307.5581409191421,1.0,0.9883989224789375,0.0,0.0,0.0,0.0,0.0,826,18.259798031746193,0.04069080023696826,0.20101126182234014,0.011357560846278078,0.23002421307506055,0.22760290556900725,0.0,,0.8656174334140436,6.743953562233149,0.0,714,0,0,714,0.864406779661017,0.0,0.0,0.864406779661017,outputs/gated_risk_proposed_nenv16_seed1_1m/runs/proposed_gated_risk_ppo_s1/config.json,outputs/gated_risk_proposed_nenv16_seed1_1m/runs/proposed_gated_risk_ppo_s1/model/final_model.zip
proposed_gated_risk,ppo,1,11501,7,0.0,19,16,327.10028000685776,252.2206230795069,1.0,0.9847971244353212,0.0,0.0,0.0,0.0,0.0,612,18.217111649939675,0.049692006509408325,0.22307663601445404,0.01278148433558789,0.22875816993464052,0.22549019607843138,0.0,,0.8611111111111112,5.571401901334924,0.0,526,0,0,526,0.8594771241830066,0.0,0.0,0.8594771241830066,outputs/gated_risk_proposed_nenv16_seed1_1m/runs/proposed_gated_risk_ppo_s1/config.json,outputs/gated_risk_proposed_nenv16_seed1_1m/runs/proposed_gated_risk_ppo_s1/model/final_model.zip
proposed_gated_risk,ppo,1,11101,7,0.0,20,16,688.8673544938415,418.803173813136,1.0,0.9933486173536251,0.0,0.0,0.0,0.0,0.0,1362,18.351129933798468,0.07994737471338663,0.3241191829086922,0.010922522607523395,0.2261380323054332,0.2276064610866373,0.0,,0.8788546255506607,20.214448127929337,0.0,1189,0,0,1189,0.8729809104258444,0.0,0.0,0.8729809104258444,outputs/gated_risk_proposed_nenv16_seed1_1m/runs/proposed_gated_risk_ppo_s1/config.json,outputs/gated_risk_proposed_nenv16_seed1_1m/runs/proposed_gated_risk_ppo_s1/model/final_model.zip
proposed_gated_risk,ppo,1,10701,7,0.0,21,16,522.0292231492299,346.1140208449884,1.0,0.9905171842550928,0.0,0.0,0.0,0.0,0.0,996,18.281485983269587,0.050714071790036494,0.2871371354658086,0.008580685871836531,0.2289156626506024,0.23092369477911648,0.0,,0.8694779116465864,9.371278099830764,0.0,865,0,0,865,0.8684738955823293,0.0,0.0,0.8684738955823293,outputs/gated_risk_proposed_nenv16_seed1_1m/runs/proposed_gated_risk_ppo_s1/config.json,outputs/gated_risk_proposed_nenv16_seed1_1m/runs/proposed_gated_risk_ppo_s1/model/final_model.zip
proposed_gated_risk,ppo,1,10401,7,0.0,22,16,581.714245697335,376.2318587039911,1.0,0.9909688286626375,0.0,0.0,0.0,0.0,0.0,1097,18.275107587550185,0.03513420792715177,0.2629410218274051,0.008107888410436694,0.23518687329079307,0.23701002734731086,0.0,,0.8678213309024613,8.96401729118208,0.0,950,0,0,950,0.8659981768459435,0.0,0.0,0.8659981768459435,outputs/gated_risk_proposed_nenv16_seed1_1m/runs/proposed_gated_risk_ppo_s1/config.json,outputs/gated_risk_proposed_nenv16_seed1_1m/runs/proposed_gated_risk_ppo_s1/model/final_model.zip
