variant,algo,seed,map_seed,map_config,density,episode,eval_n_envs,reward,shaped_reward,success,route_completion,collision,crash_vehicle,crash_object,out_of_road,cost,episode_length,mean_speed_kmh,mean_lane_deviation,max_lane_deviation,steering_variation,accel_variation,jerk,ttc_risk,min_ttc,shield_intervention,shield_soft,shield_hard,overspeed_guard,shield_intervention_rate,shield_soft_rate,shield_hard_rate,overspeed_guard_rate,source_config_json,source_model_path,source_csv,run_dir,config_json,model_path,protocol_class
no_action_guard,ppo,2,10101.0,7.0,0.0,10,10.0,113.36400400595036,-956.9042092019324,0.0,0.268917548968912,0.0,0.0,0.0,1.0,1.0,119.0,51.180033643736415,0.3368821864199996,2.0,0.071488011585345,0.0084033613445378,0.0168067226890756,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,outputs/ablation_no_action_guard_nenv10_500k/runs/no_action_guard_ppo_s2/config.json,outputs/ablation_no_action_guard_nenv10_500k/runs/no_action_guard_ppo_s2/model/final_model.zip,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/ablation_no_action_guard_nenv10_500k/evaluations/no_action_guard_ppo_s2.csv,outputs/ablation_no_action_guard_nenv10_500k/runs/no_action_guard_ppo_s2,outputs/ablation_no_action_guard_nenv10_500k/runs/no_action_guard_ppo_s2/config.json,outputs/ablation_no_action_guard_nenv10_500k/runs/no_action_guard_ppo_s2/model/final_model.zip,inconsistent_protocol
no_action_guard,ppo,2,10001.0,7.0,0.0,11,10.0,77.3937121190013,-471.73707700674777,0.0,0.2086974102874232,0.0,0.0,0.0,1.0,1.0,94.0,42.05329532801888,0.1665854034118271,1.5168393323036995,0.0901818640549924,0.0106382978723404,0.0212765957446808,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,outputs/ablation_no_action_guard_nenv10_500k/runs/no_action_guard_ppo_s2/config.json,outputs/ablation_no_action_guard_nenv10_500k/runs/no_action_guard_ppo_s2/model/final_model.zip,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/ablation_no_action_guard_nenv10_500k/evaluations/no_action_guard_ppo_s2.csv,outputs/ablation_no_action_guard_nenv10_500k/runs/no_action_guard_ppo_s2,outputs/ablation_no_action_guard_nenv10_500k/runs/no_action_guard_ppo_s2/config.json,outputs/ablation_no_action_guard_nenv10_500k/runs/no_action_guard_ppo_s2/model/final_model.zip,inconsistent_protocol
no_action_guard,ppo,2,10801.0,7.0,0.0,12,10.0,35.864094881657905,-333.0517662687988,0.0,0.1429731740455375,0.0,0.0,0.0,1.0,1.0,85.0,36.60067377044586,0.4201909472799149,2.0,0.0712392251418136,0.0117647058823529,0.0235294117647058,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,outputs/ablation_no_action_guard_nenv10_500k/runs/no_action_guard_ppo_s2/config.json,outputs/ablation_no_action_guard_nenv10_500k/runs/no_action_guard_ppo_s2/model/final_model.zip,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/ablation_no_action_guard_nenv10_500k/evaluations/no_action_guard_ppo_s2.csv,outputs/ablation_no_action_guard_nenv10_500k/runs/no_action_guard_ppo_s2,outputs/ablation_no_action_guard_nenv10_500k/runs/no_action_guard_ppo_s2/config.json,outputs/ablation_no_action_guard_nenv10_500k/runs/no_action_guard_ppo_s2/model/final_model.zip,inconsistent_protocol
no_action_guard,ppo,2,10101.0,7.0,0.0,13,10.0,42.64016802574975,-259.7571408008823,0.0,0.1292341781888631,0.0,0.0,0.0,1.0,1.0,69.0,34.897368137584806,0.1350737626017467,1.1029834541340715,0.0254092741271723,0.0144927536231884,0.0289855072463768,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,outputs/ablation_no_action_guard_nenv10_500k/runs/no_action_guard_ppo_s2/config.json,outputs/ablation_no_action_guard_nenv10_500k/runs/no_action_guard_ppo_s2/model/final_model.zip,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/ablation_no_action_guard_nenv10_500k/evaluations/no_action_guard_ppo_s2.csv,outputs/ablation_no_action_guard_nenv10_500k/runs/no_action_guard_ppo_s2,outputs/ablation_no_action_guard_nenv10_500k/runs/no_action_guard_ppo_s2/config.json,outputs/ablation_no_action_guard_nenv10_500k/runs/no_action_guard_ppo_s2/model/final_model.zip,inconsistent_protocol
no_action_guard,ppo,2,10301.0,7.0,0.0,14,10.0,44.28487720455537,-354.03427863184265,0.0,0.1199801513592859,0.0,0.0,0.0,1.0,1.0,84.0,37.594726815969786,0.3225589436728938,2.0,0.0847991713367047,0.0119047619047619,0.0238095238095238,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,outputs/ablation_no_action_guard_nenv10_500k/runs/no_action_guard_ppo_s2/config.json,outputs/ablation_no_action_guard_nenv10_500k/runs/no_action_guard_ppo_s2/model/final_model.zip,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/ablation_no_action_guard_nenv10_500k/evaluations/no_action_guard_ppo_s2.csv,outputs/ablation_no_action_guard_nenv10_500k/runs/no_action_guard_ppo_s2,outputs/ablation_no_action_guard_nenv10_500k/runs/no_action_guard_ppo_s2/config.json,outputs/ablation_no_action_guard_nenv10_500k/runs/no_action_guard_ppo_s2/model/final_model.zip,inconsistent_protocol
no_action_guard,ppo,2,10401.0,7.0,0.0,15,10.0,128.36886623675196,-949.5667445537292,0.0,0.2796489494119498,0.0,0.0,0.0,1.0,1.0,140.0,49.99300808000862,0.2762945546148202,2.0,0.089058877950135,0.0071428571428571,0.0142857142857142,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,outputs/ablation_no_action_guard_nenv10_500k/runs/no_action_guard_ppo_s2/config.json,outputs/ablation_no_action_guard_nenv10_500k/runs/no_action_guard_ppo_s2/model/final_model.zip,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/ablation_no_action_guard_nenv10_500k/evaluations/no_action_guard_ppo_s2.csv,outputs/ablation_no_action_guard_nenv10_500k/runs/no_action_guard_ppo_s2,outputs/ablation_no_action_guard_nenv10_500k/runs/no_action_guard_ppo_s2/config.json,outputs/ablation_no_action_guard_nenv10_500k/runs/no_action_guard_ppo_s2/model/final_model.zip,inconsistent_protocol
no_action_guard,ppo,2,10001.0,7.0,0.0,16,10.0,37.57598441151614,-302.2552070668926,0.0,0.1985516277693477,0.0,0.0,0.0,1.0,1.0,77.0,36.440350901016295,0.2382681653593961,2.0,0.0635237450796094,0.0129870129870129,0.0259740259740259,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,outputs/ablation_no_action_guard_nenv10_500k/runs/no_action_guard_ppo_s2/config.json,outputs/ablation_no_action_guard_nenv10_500k/runs/no_action_guard_ppo_s2/model/final_model.zip,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/ablation_no_action_guard_nenv10_500k/evaluations/no_action_guard_ppo_s2.csv,outputs/ablation_no_action_guard_nenv10_500k/runs/no_action_guard_ppo_s2,outputs/ablation_no_action_guard_nenv10_500k/runs/no_action_guard_ppo_s2/config.json,outputs/ablation_no_action_guard_nenv10_500k/runs/no_action_guard_ppo_s2/model/final_model.zip,inconsistent_protocol
no_action_guard,ppo,2,10801.0,7.0,0.0,17,10.0,39.11292271722903,-232.80720767685307,0.0,0.1311385962771605,0.0,0.0,0.0,1.0,1.0,66.0,33.128545926923216,0.1502431158759291,1.6825206794405394,0.0568777583998091,0.0151515151515151,0.0303030303030303,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,outputs/ablation_no_action_guard_nenv10_500k/runs/no_action_guard_ppo_s2/config.json,outputs/ablation_no_action_guard_nenv10_500k/runs/no_action_guard_ppo_s2/model/final_model.zip,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/ablation_no_action_guard_nenv10_500k/evaluations/no_action_guard_ppo_s2.csv,outputs/ablation_no_action_guard_nenv10_500k/runs/no_action_guard_ppo_s2,outputs/ablation_no_action_guard_nenv10_500k/runs/no_action_guard_ppo_s2/config.json,outputs/ablation_no_action_guard_nenv10_500k/runs/no_action_guard_ppo_s2/model/final_model.zip,inconsistent_protocol
no_action_guard,ppo,2,10901.0,7.0,0.0,18,10.0,86.02349684138031,-927.8598154213896,0.0,0.2772146677250872,0.0,0.0,0.0,1.0,1.0,138.0,49.18819343282712,0.5483327503530638,2.0,0.0989800212108462,0.0072463768115942,0.0144927536231884,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,outputs/ablation_no_action_guard_nenv10_500k/runs/no_action_guard_ppo_s2/config.json,outputs/ablation_no_action_guard_nenv10_500k/runs/no_action_guard_ppo_s2/model/final_model.zip,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/ablation_no_action_guard_nenv10_500k/evaluations/no_action_guard_ppo_s2.csv,outputs/ablation_no_action_guard_nenv10_500k/runs/no_action_guard_ppo_s2,outputs/ablation_no_action_guard_nenv10_500k/runs/no_action_guard_ppo_s2/config.json,outputs/ablation_no_action_guard_nenv10_500k/runs/no_action_guard_ppo_s2/model/final_model.zip,inconsistent_protocol
no_action_guard,ppo,2,10301.0,7.0,0.0,19,10.0,41.06194288831383,-326.3423360238554,0.0,0.1565912724900609,0.0,0.0,0.0,1.0,1.0,81.0,36.63163791286132,0.3749920376645921,2.0,0.0765901394648316,0.0123456790123456,0.0246913580246913,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,outputs/ablation_no_action_guard_nenv10_500k/runs/no_action_guard_ppo_s2/config.json,outputs/ablation_no_action_guard_nenv10_500k/runs/no_action_guard_ppo_s2/model/final_model.zip,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/ablation_no_action_guard_nenv10_500k/evaluations/no_action_guard_ppo_s2.csv,outputs/ablation_no_action_guard_nenv10_500k/runs/no_action_guard_ppo_s2,outputs/ablation_no_action_guard_nenv10_500k/runs/no_action_guard_ppo_s2/config.json,outputs/ablation_no_action_guard_nenv10_500k/runs/no_action_guard_ppo_s2/model/final_model.zip,inconsistent_protocol
