variant,algo,seed,density,protocol_class,success,route_completion,collision,out_of_road,cost,reward,shaped_reward,episode_length,mean_speed_kmh,shield_intervention_rate,shield_soft_rate,shield_hard_rate,overspeed_guard_rate,episode_count,source_csv,run_dir,config_json,model_path
baseline,ppo,2,0.08,final_benchmark,0.14,0.4095927867474341,0.3,0.56,0.86,173.79716542913076,173.79716542913076,234.24,39.253953315194025,0.0,0.0,0.0,0.0,50,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/iscsic_main_nenv10_1p5m_ent001/evaluations/baseline_ppo_s2.csv,outputs/iscsic_main_nenv10_1p5m_ent001/runs/baseline_ppo_s2,outputs/iscsic_main_nenv10_1p5m_ent001/runs/baseline_ppo_s2/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/baseline_ppo_s2/model/final_model.zip
baseline,ppo,2,0.15,final_benchmark,0.04,0.3604804967743225,0.58,0.38,0.96,147.68751509689722,147.68751509689722,227.84,36.2270099862313,0.0,0.0,0.0,0.0,50,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/iscsic_main_nenv10_1p5m_ent001/evaluations/baseline_ppo_s2.csv,outputs/iscsic_main_nenv10_1p5m_ent001/runs/baseline_ppo_s2,outputs/iscsic_main_nenv10_1p5m_ent001/runs/baseline_ppo_s2/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/baseline_ppo_s2/model/final_model.zip
curriculum,ppo,0,0.0,inconsistent_protocol,0.06,0.4453698443245647,0.0,0.94,0.94,182.56903111868098,182.56903111868098,174.2,50.271073032801716,,,,,50,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/paper_comparison_seed0/evaluations/curriculum_ppo_s0.csv,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/paper_comparison_seed0/runs/curriculum_ppo_s0,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/paper_comparison_seed0/runs/curriculum_ppo_s0/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/paper_comparison_seed0/runs/curriculum_ppo_s0/model/final_model.zip
curriculum,ppo,0,0.0,screening,0.0,,0.1,0.9,1.0,196.62007964954515,196.62007964954515,,48.52365330176939,,,,,20,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/evaluations/curriculum_ppo_s0.csv,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/runs/curriculum_ppo_s0,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/runs/curriculum_ppo_s0/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/runs/curriculum_ppo_s0/model/final_model.zip
curriculum,ppo,0,0.08,inconsistent_protocol,0.02,0.2996269860636584,0.4,0.58,0.98,98.7474034916044,98.7474034916044,123.74,45.11812723018494,,,,,50,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/paper_comparison_seed0/evaluations/curriculum_ppo_s0.csv,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/paper_comparison_seed0/runs/curriculum_ppo_s0,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/paper_comparison_seed0/runs/curriculum_ppo_s0/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/paper_comparison_seed0/runs/curriculum_ppo_s0/model/final_model.zip
curriculum,ppo,0,0.1,screening,0.0,,0.3,0.7,1.0,156.37744657851457,156.37744657851457,,47.28905125854918,,,,,20,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/evaluations/curriculum_ppo_s0.csv,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/runs/curriculum_ppo_s0,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/runs/curriculum_ppo_s0/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/runs/curriculum_ppo_s0/model/final_model.zip
curriculum,ppo,0,0.15,inconsistent_protocol,0.0,0.2016355007325246,0.76,0.24,1.0,62.98527231772163,62.98527231772163,93.22,39.47354832767482,,,,,50,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/paper_comparison_seed0/evaluations/curriculum_ppo_s0.csv,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/paper_comparison_seed0/runs/curriculum_ppo_s0,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/paper_comparison_seed0/runs/curriculum_ppo_s0/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/paper_comparison_seed0/runs/curriculum_ppo_s0/model/final_model.zip
curriculum,ppo,0,0.25,screening,0.0,,0.55,0.45,1.0,117.27168531380899,117.27168531380899,,43.724280841200375,,,,,20,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/evaluations/curriculum_ppo_s0.csv,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/runs/curriculum_ppo_s0,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/runs/curriculum_ppo_s0/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/runs/curriculum_ppo_s0/model/final_model.zip
defensive_proposed,ppo,0,0.08,screening,0.75,0.9615125028163239,0.0,0.0,0.0,482.805911707385,259.2032128005543,1247.4,15.95783336995718,,,,,20,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/defensive_shield_screen/evaluations/ckpt702_defensive_ttc10_v16.csv,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/runs/proposed_ppo_s0,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/runs/proposed_ppo_s0/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/runs/proposed_ppo_s0/model/final_model.zip
defensive_proposed,ppo,0,0.15,screening,0.5,0.8183249533080961,0.15,0.1,0.25,402.0494992185219,128.19544254970492,1186.55,14.155784878209733,,,,,20,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/defensive_shield_screen/evaluations/ckpt702_defensive_ttc10_v16.csv,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/runs/proposed_ppo_s0,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/runs/proposed_ppo_s0/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/runs/proposed_ppo_s0/model/final_model.zip
