density,wo_ttc_success,guard_only_success,delta_wo_ttc_minus_guard_success,wo_ttc_cost,guard_only_cost,delta_wo_ttc_minus_guard_cost,wo_ttc_collision,guard_only_collision,delta_wo_ttc_minus_guard_collision,wo_ttc_out_of_road,guard_only_out_of_road,delta_wo_ttc_minus_guard_out_of_road,wo_ttc_route_completion,guard_only_route_completion,delta_wo_ttc_minus_guard_route_completion,wo_ttc_lane_deviation,guard_only_lane_deviation,delta_wo_ttc_minus_guard_lane_deviation,wo_ttc_ttc_risk,guard_only_ttc_risk,delta_wo_ttc_minus_guard_ttc_risk
0.0,0.9866666666666667,0.9733333333333333,0.01333333333333342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9910384625177334,0.9902073727309076,0.0008310897868257783,0.1292961809700606,0.061805349798109116,0.06749083117195148,0.0,0.0,0.0
0.08,0.9,0.8733333333333334,0.026666666666666616,0.06666666666666667,0.09333333333333334,-0.026666666666666672,0.06666666666666667,0.09333333333333334,-0.026666666666666672,0.0,0.0,0.0,0.9502187497792272,0.9404938454525765,0.00972490432665063,0.1410109094099237,0.0791711927576199,0.0618397166523038,0.00350420329299786,0.0037571173315305508,-0.00025291403853269084
0.15,0.54,0.6333333333333333,-0.09333333333333327,0.36000000000000004,0.20666666666666667,0.15333333333333338,0.36000000000000004,0.19999999999999998,0.16000000000000006,0.0,0.006666666666666667,-0.006666666666666667,0.8229038416289298,0.867815496168541,-0.04491165453961121,0.1741564455591258,0.13634125812863734,0.03781518743048845,0.013732581454007575,0.01627759066310022,-0.0025450092090926434
