variant,algo,seed,map_seed,map_config,density,episode,eval_n_envs,reward,shaped_reward,success,route_completion,collision,crash_vehicle,crash_object,out_of_road,cost,episode_length,mean_speed_kmh,mean_lane_deviation,max_lane_deviation,steering_variation,accel_variation,jerk,ttc_risk,min_ttc,shield_intervention,shield_soft,shield_hard,overspeed_guard,shield_intervention_rate,shield_soft_rate,shield_hard_rate,overspeed_guard_rate
proposed,ppo,28,10700,7,0.0,0,10,437.94756621049794,295.848544872057,1.0,0.9862461221620134,0.0,0.0,0.0,0.0,0.0,991,16.31137872146114,0.10865194782217556,0.6257058813907568,0.014048269865449376,0.2341069626639758,0.23612512613521694,0.0,,859,0,0,859,0.8668012108980827,0.0,0.0,0.8668012108980827
proposed,ppo,28,10400,7,0.0,1,10,496.6211702890019,329.9297067530056,1.0,0.9894164528267642,0.0,0.0,0.0,0.0,0.0,1070,16.37628777434392,0.06399739551355797,0.36544401851600333,0.007485428940130519,0.2130841121495327,0.21495327102803738,0.0,,942,0,0,942,0.8803738317757009,0.0,0.0,0.8803738317757009
proposed,ppo,28,10600,7,0.0,2,10,501.00322471810745,321.9105598491146,1.0,0.9922886724517217,0.0,0.0,0.0,0.0,0.0,1168,16.351989213133333,0.1359799865290805,0.472039267320964,0.009066601638376796,0.2226027397260274,0.2243150684931507,0.0,,1023,0,0,1023,0.8758561643835616,0.0,0.0,0.8758561643835616
proposed,ppo,28,10900,7,0.0,3,10,542.7167018872394,352.5973344897168,1.0,0.9911724942213613,0.0,0.0,0.0,0.0,0.0,1190,16.343726452274524,0.07598121468790726,0.30057533175933066,0.008843819684903685,0.226890756302521,0.22857142857142856,0.0,,1040,0,0,1040,0.8739495798319328,0.0,0.0,0.8739495798319328
proposed,ppo,28,10300,7,0.0,4,10,565.2445068734035,368.15678070258934,1.0,0.991275211294003,0.0,0.0,0.0,0.0,0.0,1206,16.338122018699373,0.04658950648070163,0.25638764788586615,0.007311111536656181,0.23051409618573798,0.23217247097844113,0.0,,1052,0,0,1052,0.8723051409618574,0.0,0.0,0.8723051409618574
proposed,ppo,28,10800,7,0.0,5,10,551.923152766052,356.0178186340005,1.0,0.9909342715498362,0.0,0.0,0.0,0.0,0.0,1218,16.32631589269252,0.07922849277099449,0.34969332502334294,0.009458188526819832,0.2348111658456486,0.2348111658456486,0.0,,1060,0,0,1060,0.8702791461412152,0.0,0.0,0.8702791461412152
proposed,ppo,28,10100,7,0.0,6,10,590.6061878621514,373.7387425154949,1.0,0.991895473268305,0.0,0.0,0.0,0.0,0.0,1299,16.37266413495614,0.07571213993562222,0.43255645649342955,0.01118096259914251,0.22324865280985373,0.22478829869130101,0.0,,1139,0,0,1139,0.8768283294842186,0.0,0.0,0.8768283294842186
proposed,ppo,28,10000,7,0.0,7,10,589.5305817381396,359.8759440293936,1.0,0.9922446786229673,0.0,0.0,0.0,0.0,0.0,1371,16.365970046045,0.12877170117869088,0.5369564720391072,0.010225418437714536,0.2261123267687819,0.2261123267687819,0.0,,1201,0,0,1201,0.8760029175784099,0.0,0.0,0.8760029175784099
proposed,ppo,28,10200,7,0.0,8,10,635.938603353604,327.86064856380284,0.0,0.8540330871661589,0.0,0.0,0.0,0.0,0.0,1500,16.37025554556686,0.11226437824276424,0.5277590243217956,0.008299582175600033,0.22533333333333333,0.22666666666666666,0.0,,1316,0,0,1316,0.8773333333333333,0.0,0.0,0.8773333333333333
proposed,ppo,28,10500,7,0.0,9,10,627.154783505862,314.52969859823486,0.0,0.772849710484975,0.0,0.0,0.0,0.0,0.0,1500,16.35408107661618,0.124591917052993,0.41168057543841463,0.0076482428844707705,0.23066666666666666,0.23066666666666666,0.0,,1312,0,0,1312,0.8746666666666667,0.0,0.0,0.8746666666666667
