density,baseline,baseline_success,shield_only_success,delta_baseline_minus_shield_only_success,baseline_cost,shield_only_cost,delta_baseline_minus_shield_only_cost,baseline_collision,shield_only_collision,delta_baseline_minus_shield_only_collision,baseline_out_of_road,shield_only_out_of_road,delta_baseline_minus_shield_only_out_of_road,baseline_route_completion,shield_only_route_completion,delta_baseline_minus_shield_only_route_completion,baseline_lane_deviation,shield_only_lane_deviation,delta_baseline_minus_shield_only_lane_deviation,baseline_ttc_risk,shield_only_ttc_risk,delta_baseline_minus_shield_only_ttc_risk
0.0,shield_only,0.006666666666666667,0.9933333333333333,-0.9866666666666666,0.9933333333333333,0.0,0.9933333333333333,0.0,0.0,0.0,0.9933333333333333,0.0,0.9933333333333333,0.3029121061499139,0.9916280638982645,-0.6887159577483506,0.356738555258682,0.06088609025944441,0.29585246499923756,0.0,0.0,0.0
0.08,shield_only,0.0,0.9133333333333332,-0.9133333333333332,1.0,0.06666666666666667,0.9333333333333333,0.45333333333333337,0.04666666666666667,0.4066666666666667,0.5466666666666666,0.02,0.5266666666666666,0.24203323912218055,0.9592454577629775,-0.717212218640797,0.33835026063770435,0.07027947741063356,0.2680707832270708,0.09033808290128136,0.00351875799254249,0.08681932490873887
0.15,shield_only,0.0,0.6266666666666667,-0.6266666666666667,1.0,0.22666666666666668,0.7733333333333333,0.6266666666666667,0.22666666666666668,0.4,0.37333333333333335,0.0,0.37333333333333335,0.18951866394192662,0.8710546865014698,-0.6815360225595432,0.316675756951552,0.10513956770225923,0.21153618924929274,0.1327554927367928,0.016501156916972393,0.1162543358198204
