density,baseline,baseline_success,guard_only_success,delta_baseline_minus_guard_only_success,baseline_cost,guard_only_cost,delta_baseline_minus_guard_only_cost,baseline_collision,guard_only_collision,delta_baseline_minus_guard_only_collision,baseline_out_of_road,guard_only_out_of_road,delta_baseline_minus_guard_only_out_of_road,baseline_route_completion,guard_only_route_completion,delta_baseline_minus_guard_only_route_completion,baseline_lane_deviation,guard_only_lane_deviation,delta_baseline_minus_guard_only_lane_deviation,baseline_ttc_risk,guard_only_ttc_risk,delta_baseline_minus_guard_only_ttc_risk
0.0,guard_only,0.006666666666666667,0.9733333333333333,-0.9666666666666666,0.9933333333333333,0.0,0.9933333333333333,0.0,0.0,0.0,0.9933333333333333,0.0,0.9933333333333333,0.3029121061499139,0.9902073727309076,-0.6872952665809937,0.356738555258682,0.061805349798109116,0.2949332054605729,0.0,0.0,0.0
0.08,guard_only,0.0,0.8733333333333334,-0.8733333333333334,1.0,0.09333333333333334,0.9066666666666666,0.45333333333333337,0.09333333333333334,0.36000000000000004,0.5466666666666666,0.0,0.5466666666666666,0.24203323912218055,0.9404938454525765,-0.698460606330396,0.33835026063770435,0.0791711927576199,0.25917906788008443,0.09033808290128136,0.0037571173315305508,0.0865809655697508
0.15,guard_only,0.0,0.6333333333333333,-0.6333333333333333,1.0,0.20666666666666667,0.7933333333333333,0.6266666666666667,0.19999999999999998,0.42666666666666675,0.37333333333333335,0.006666666666666667,0.3666666666666667,0.18951866394192662,0.867815496168541,-0.6782968322266144,0.316675756951552,0.13634125812863734,0.18033449882291464,0.1327554927367928,0.01627759066310022,0.11647790207369257
