density,retune_success,full_proposed_success,delta_success,retune_route_completion,full_proposed_route_completion,delta_route_completion,retune_cost,full_proposed_cost,delta_cost,retune_collision,full_proposed_collision,delta_collision,retune_out_of_road,full_proposed_out_of_road,delta_out_of_road,retune_lane_deviation,full_proposed_lane_deviation,delta_lane_deviation,retune_ttc_risk,full_proposed_ttc_risk,delta_ttc_risk
0.0,0.9666666666666667,0.973333,-0.00666633333333333,0.9909099298213548,0.989437,0.0014729298213548292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14999318182747598,0.132425,0.017568181827475993,0.0,0.0,0.0
0.08,0.8866666666666666,0.833333,0.05333366666666661,0.9532507446125064,0.928769,0.024481744612506406,0.07333333333333335,0.133333,-0.05999966666666666,0.07333333333333335,0.126667,-0.053333666666666654,0.0,0.006667,-0.006667,0.15632629568784834,0.154979,0.0013472956878483322,0.0062335624171966425,0.005224,0.0010095624171966421
0.15,0.6200000000000001,0.62,1.1102230246251565e-16,0.8529630182358657,0.865068,-0.012104981764134215,0.24000000000000002,0.246667,-0.0066669999999999785,0.22,0.233333,-0.013333000000000012,0.02,0.013333,0.006667000000000001,0.2068488034001945,0.177586,0.029262803400194493,0.019861627778419197,0.015307,0.0045546277784191975
