density,retune_success,guard_only_success,delta_success,retune_route_completion,guard_only_route_completion,delta_route_completion,retune_cost,guard_only_cost,delta_cost,retune_collision,guard_only_collision,delta_collision,retune_out_of_road,guard_only_out_of_road,delta_out_of_road,retune_lane_deviation,guard_only_lane_deviation,delta_lane_deviation,retune_ttc_risk,guard_only_ttc_risk,delta_ttc_risk
0.0,0.9666666666666667,0.9733333333333333,-0.006666666666666599,0.9909099298213548,0.9902073727309076,0.0007025570904471978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14999318182747598,0.061805349798109116,0.08818783202936686,0.0,0.0,0.0
0.08,0.8866666666666666,0.8733333333333334,0.013333333333333197,0.9532507446125064,0.9404938454525765,0.012756899159929835,0.07333333333333335,0.09333333333333334,-0.01999999999999999,0.07333333333333335,0.09333333333333334,-0.01999999999999999,0.0,0.0,0.0,0.15632629568784834,0.0791711927576199,0.07715510293022844,0.0062335624171966425,0.0037571173315305508,0.0024764450856660917
0.15,0.6200000000000001,0.6333333333333333,-0.013333333333333197,0.8529630182358657,0.867815496168541,-0.014852477932675301,0.24000000000000002,0.20666666666666667,0.033333333333333354,0.22,0.19999999999999998,0.020000000000000018,0.02,0.006666666666666667,0.013333333333333332,0.2068488034001945,0.13634125812863734,0.07050754527155714,0.019861627778419197,0.01627759066310022,0.0035840371153189783
