density,retune_success,shield_only_success,delta_success,retune_route_completion,shield_only_route_completion,delta_route_completion,retune_cost,shield_only_cost,delta_cost,retune_collision,shield_only_collision,delta_collision,retune_out_of_road,shield_only_out_of_road,delta_out_of_road,retune_lane_deviation,shield_only_lane_deviation,delta_lane_deviation,retune_ttc_risk,shield_only_ttc_risk,delta_ttc_risk
0.0,0.9666666666666667,0.9933333333333333,-0.026666666666666616,0.9909099298213548,0.9916280638982645,-0.0007181340769096822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14999318182747598,0.06088609025944441,0.08910709156803157,0.0,0.0,0.0
0.08,0.8866666666666666,0.9133333333333332,-0.026666666666666616,0.9532507446125064,0.9592454577629775,-0.005994713150471176,0.07333333333333335,0.06666666666666667,0.006666666666666682,0.07333333333333335,0.04666666666666667,0.02666666666666668,0.0,0.02,-0.02,0.15632629568784834,0.07027947741063356,0.08604681827721478,0.0062335624171966425,0.00351875799254249,0.0027148044246541525
0.15,0.6200000000000001,0.6266666666666667,-0.006666666666666599,0.8529630182358657,0.8710546865014698,-0.018091668265604044,0.24000000000000002,0.22666666666666668,0.013333333333333336,0.22,0.22666666666666668,-0.006666666666666682,0.02,0.0,0.02,0.2068488034001945,0.10513956770225923,0.10170923569793526,0.019861627778419197,0.016501156916972393,0.0033604708614468036
