#{"t_start": 1782822597.6475046, "env_id": "None"}
r,l,t,is_success,episode_cost,episode_base_reward,episode_shaped_reward,episode_collision,episode_crash_vehicle,episode_crash_object,episode_out_of_road,episode_route_completion,episode_length,episode_mean_speed,episode_mean_lane_deviation,episode_max_lane_deviation,episode_steering_variation,episode_accel_variation,episode_jerk,episode_ttc_risk,episode_min_ttc,shield_intervention,shield_soft,shield_hard,overspeed_guard,shield_intervention_rate,shield_soft_rate,shield_hard_rate,overspeed_guard_rate,curriculum_stage
-211.750767,559,6.936793,0.0,1.0,237.81694413578248,-211.7507665405097,1.0,1.0,0.0,0.0,0.44980668525206313,559,16.697729193401244,0.08363073382458877,0.21185980101371546,0.02426653283282495,0.22432915938348377,0.23685152074305443,0.049925054115835706,0.5621955524297755,461,2,37,422,0.8246869409660107,0.0035778175313059034,0.06618962432915922,0.7549194991055456,4.0
275.127229,978,20.694954,1.0,0.0,470.617623981814,275.12722929523386,0.0,0.0,0.0,0.0,0.9903084639594122,978,18.000125179176482,0.121085345344442,0.3901709759856955,0.01999145902760883,0.21554192224163218,0.21840490787794742,0.005090259692359366,4.669653889887556,842,4,7,831,0.8609406952965235,0.00408997955010225,0.007157464212678937,0.8496932515337423,4.0
336.899933,1182,36.663753,1.0,0.0,570.3476959453021,336.89993294341724,0.0,0.0,0.0,0.0,0.9912804486721851,1182,18.312688288484274,0.12900988973808214,0.5181485570793792,0.016371066678889008,0.21861252123127534,0.2203045686086019,0.00011354845478464571,11.172908278474036,1031,2,0,1029,0.8722504230118443,0.001692047377326565,0.0,0.8705583756345178,4.0
