variant,algo,seed,density,success,route_completion,collision,out_of_road,cost,reward,shaped_reward,episode_length,speed,lane_deviation,steering_variation,accel_variation,ttc_risk,min_ttc,source_summary
proposed,ppo,0,0.0,0.96,0.9884170352859311,0.0,0.0,0.0,561.9968902446925,350.94146943191083,1124.42,18.30377574485401,0.0933995548798737,0.024873151722198204,0.2304968081042756,0.0,,outputs/tuning_proposed_defensive_h1500_lane1_out150_cost50_nenv16_1m/evaluations/summary.csv
proposed,ppo,0,0.08,0.88,0.965185526459413,0.1,0.0,0.1,527.2374387137534,258.3485890133858,1109.56,18.0226065387752,0.12825662932307483,0.029131329534865687,0.23954793475939912,0.0062569150478555356,7.945477486170871,outputs/tuning_proposed_defensive_h1500_lane1_out150_cost50_nenv16_1m/evaluations/summary.csv
proposed,ppo,0,0.15,0.7,0.8715899657899834,0.22,0.02,0.24,447.8529455856775,96.05845081344938,1083.32,16.089938576924677,0.13764216847798405,0.03749256910736707,0.31009000339184145,0.01850101710296553,3.361978512650264,outputs/tuning_proposed_defensive_h1500_lane1_out150_cost50_nenv16_1m/evaluations/summary.csv
proposed,ppo,1,0.0,0.98,0.9900956025833989,0.0,0.0,0.0,510.6894280607649,317.48013723110313,1070.7,18.304214276103767,0.14009485248609072,0.00633080386164993,0.22665109704392677,0.0,,outputs/candidate_lane1_out150_cost50_nenv16_seed1_1m/evaluations/summary.csv
proposed,ppo,1,0.08,0.82,0.921692131050512,0.12,0.0,0.12,473.49728111769116,233.18105471122558,1043.58,17.95213751907635,0.16023838746268645,0.018771784838877814,0.23981173353477722,0.003544522109625743,17.796452081774657,outputs/candidate_lane1_out150_cost50_nenv16_seed1_1m/evaluations/summary.csv
proposed,ppo,1,0.15,0.68,0.8978754720346861,0.18,0.0,0.18,433.92637734492945,74.76504678343863,1157.36,16.086257532611768,0.21202520108750827,0.030933452264062272,0.32281389895920126,0.013978805470333346,3.0801665939997807,outputs/candidate_lane1_out150_cost50_nenv16_seed1_1m/evaluations/summary.csv
proposed,ppo,2,0.0,0.98,0.989797714903892,0.0,0.0,0.0,500.3488325476017,302.25376089187694,1074.1,18.307232214728696,0.16378036705270088,0.009243322388412183,0.22342321534219203,0.0,,outputs/candidate_lane1_out150_cost50_nenv16_seed2_1m/evaluations/summary.csv
proposed,ppo,2,0.08,0.8,0.899429389972363,0.16,0.02,0.18,454.12319971061186,190.46251889053437,1015.38,17.912786242406934,0.1764428496370046,0.015496957121865076,0.22932194460476857,0.005870271895062819,6.952509947585922,outputs/candidate_lane1_out150_cost50_nenv16_seed2_1m/evaluations/summary.csv
proposed,ppo,2,0.15,0.48,0.8257392172957242,0.3,0.02,0.32,403.71794967184417,49.93082341770705,1052.56,16.00430916329035,0.1830892386876391,0.023178329412904125,0.24590963418655168,0.013440974777253938,2.938792165378811,outputs/candidate_lane1_out150_cost50_nenv16_seed2_1m/evaluations/summary.csv
