density,baseline,risk_success,shield_only_success,delta_risk_minus_shield_only_success,risk_cost,shield_only_cost,delta_risk_minus_shield_only_cost,risk_collision,shield_only_collision,delta_risk_minus_shield_only_collision,risk_out_of_road,shield_only_out_of_road,delta_risk_minus_shield_only_out_of_road,risk_route_completion,shield_only_route_completion,delta_risk_minus_shield_only_route_completion,risk_lane_deviation,shield_only_lane_deviation,delta_risk_minus_shield_only_lane_deviation,risk_ttc_risk,shield_only_ttc_risk,delta_risk_minus_shield_only_ttc_risk
0.0,shield_only,0.0,0.9933333333333333,-0.9933333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0088055184722317,0.9916280638982645,-0.9828225454260329,0.003318666608939514,0.06088609025944441,-0.05756742365050489,0.0,0.0,0.0
0.08,shield_only,0.0,0.9133333333333332,-0.9133333333333332,0.0,0.06666666666666667,-0.06666666666666667,0.0,0.04666666666666667,-0.04666666666666667,0.0,0.02,-0.02,0.00907435156864243,0.9592454577629775,-0.9501711061943351,0.005142132310152286,0.07027947741063356,-0.06513734510048128,0.0,0.00351875799254249,-0.00351875799254249
0.15,shield_only,0.0,0.6266666666666667,-0.6266666666666667,0.0,0.22666666666666668,-0.22666666666666668,0.0,0.22666666666666668,-0.22666666666666668,0.0,0.0,0.0,0.008876365962382676,0.8710546865014698,-0.862178320539087,0.0061973748035538765,0.10513956770225923,-0.09894219289870534,0.0,0.016501156916972393,-0.016501156916972393
