density,baseline,risk_success,guard_only_success,delta_risk_minus_guard_only_success,risk_cost,guard_only_cost,delta_risk_minus_guard_only_cost,risk_collision,guard_only_collision,delta_risk_minus_guard_only_collision,risk_out_of_road,guard_only_out_of_road,delta_risk_minus_guard_only_out_of_road,risk_route_completion,guard_only_route_completion,delta_risk_minus_guard_only_route_completion,risk_lane_deviation,guard_only_lane_deviation,delta_risk_minus_guard_only_lane_deviation,risk_ttc_risk,guard_only_ttc_risk,delta_risk_minus_guard_only_ttc_risk
0.0,guard_only,0.0,0.9733333333333333,-0.9733333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0088055184722317,0.9902073727309076,-0.981401854258676,0.003318666608939514,0.061805349798109116,-0.0584866831891696,0.0,0.0,0.0
0.08,guard_only,0.0,0.8733333333333334,-0.8733333333333334,0.0,0.09333333333333334,-0.09333333333333334,0.0,0.09333333333333334,-0.09333333333333334,0.0,0.0,0.0,0.00907435156864243,0.9404938454525765,-0.9314194938839341,0.005142132310152286,0.0791711927576199,-0.07402906044746761,0.0,0.0037571173315305508,-0.0037571173315305508
0.15,guard_only,0.0,0.6333333333333333,-0.6333333333333333,0.0,0.20666666666666667,-0.20666666666666667,0.0,0.19999999999999998,-0.19999999999999998,0.0,0.006666666666666667,-0.006666666666666667,0.008876365962382676,0.867815496168541,-0.8589391302061583,0.0061973748035538765,0.13634125812863734,-0.13014388332508348,0.0,0.01627759066310022,-0.01627759066310022
