variant,algo,seed,density,episodes,success,route_completion,collision,out_of_road,cost,reward,shaped_reward,episode_length,mean_speed_kmh,mean_lane_deviation,steering_variation,accel_variation,ttc_risk,risk_gate_rate,continuous_risk_penalty,event_risk_penalty,shield_intervention_rate,shield_soft_rate,shield_hard_rate,overspeed_guard_rate
proposed_gated_risk,ppo,0,0.0,50,0.94,0.9883276821640066,0.0,0.0,0.0,541.0590101512167,337.9397571469542,1111.8,18.30012303029066,0.118207283295036,0.0274245889422584,0.23327001103814154,0.0,0.8691389172797885,23.66085521521439,0.0,0.865922838870779,0.0,0.0,0.865922838870779
proposed_gated_risk,ppo,0,0.08,50,0.9,0.9640703062408036,0.08,0.0,0.08,504.1308875620968,300.7595396171657,1056.44,18.013638976716496,0.12135698097101424,0.03464657390827863,0.2457411746428798,0.003579294249757271,0.8431314231948961,29.83671641351484,0.8,0.8408380487911354,0.004722584108742279,0.00407312377483012,0.832042340907563
proposed_gated_risk,ppo,0,0.15,50,0.62,0.8620457970329632,0.2,0.0,0.2,439.8347640487242,191.38668891642556,1050.72,16.455383226198496,0.13419660574414854,0.047661784959216566,0.3059917966819172,0.013677311908142023,0.7629916948101981,71.68352498925505,2.0,0.7216697888269553,0.035809174908248594,0.013175355383713786,0.672685258534993
proposed_gated_risk,ppo,1,0.0,50,0.94,0.9847053071354849,0.0,0.0,0.0,588.5010811021259,373.4897985419178,1133.4,18.306646350615118,0.05492557225846641,0.010577633637200145,0.22780378184114264,0.0,0.871565846158226,11.671954294564538,0.0,0.8686986382388073,0.0,0.0,0.8686986382388073
proposed_gated_risk,ppo,1,0.08,50,0.8,0.9548823252510197,0.1,0.0,0.1,567.6288164455883,326.473391564911,1147.68,17.906426047201375,0.07802397641167715,0.020578540838659086,0.2439441658367885,0.004730668210234143,0.8393218380723004,27.58530966792389,1.0,0.8314788351510273,0.0076809159214058864,0.005370458699237155,0.8184274605303843
proposed_gated_risk,ppo,1,0.15,50,0.62,0.8494861852986025,0.28,0.0,0.28,449.21591586105455,200.98837711801508,1035.36,16.354332532823364,0.09389793138478149,0.034030477959780425,0.3042809643799043,0.019306495544126893,0.7349824580567249,55.22302822445632,2.8,0.7248831456189765,0.03314350175649467,0.020775682022725225,0.6709639618397566
proposed_gated_risk,ppo,2,0.0,50,0.94,0.9896658007302661,0.0,0.0,0.0,497.1404733758069,269.43776522185203,1156.66,18.314731227257102,0.22989655672140372,0.007592758852309002,0.22593441159513863,0.0,0.9189167644916177,70.24210349526211,0.0,0.8706874769773335,0.0,0.0,0.8706874769773335
proposed_gated_risk,ppo,2,0.08,50,0.9,0.9628669005110695,0.06,0.0,0.06,456.85795800972306,228.51368294817166,1099.26,18.009114327203072,0.23998492748313438,0.012361655244060594,0.2363957694953096,0.002656595842517349,0.9118551862424452,80.6819720771326,0.6,0.8428631588544382,0.005757189070727026,0.0031513294619981997,0.833954640321713
proposed_gated_risk,ppo,2,0.15,50,0.56,0.8368030516365345,0.28,0.0,0.28,412.4806322744703,133.18915627715296,1112.98,16.15565747625811,0.22033564703197592,0.020098389147474017,0.2973076086915937,0.012985939608144946,0.7934986367042601,101.4652819255436,2.8,0.7186127353666723,0.03834216409509152,0.011935468492547143,0.6683351027790336
