density,n_seeds,success,route_completion,collision,out_of_road,cost,reward,shaped_reward,episode_length,mean_speed_kmh,mean_lane_deviation,steering_variation,accel_variation,ttc_risk,risk_gate_rate,continuous_risk_penalty,event_risk_penalty,shield_intervention_rate,shield_soft_rate,shield_hard_rate,overspeed_guard_rate
0.0,3,0.94,0.9875662633432525,0.0,0.0,0.0,542.2335215430498,326.955773636908,1133.9533333333334,18.307166869387625,0.1343431374249687,0.015198327143922516,0.2290027348248076,0.0,0.8865405093098774,35.19163766834701,0.0,0.8684363180289733,0.0,0.0,0.8684363180289733
0.08,3,0.8666666666666667,0.9606065106676309,0.08,0.0,0.08,509.5392206724694,285.24887137674943,1101.1266666666668,17.976393117040313,0.14645529495527526,0.02252892333033277,0.24202703665832598,0.0036555194341695877,0.864769482503214,46.03466605285711,0.8,0.838393347598867,0.006053563033625064,0.004198303978688492,0.8281414805865535
0.15,3,0.6,0.8494450113227001,0.25333333333333335,0.0,0.25333333333333335,433.84377072808303,175.18807410386452,1066.3533333333332,16.321791078426656,0.14947672805363532,0.03393021735549034,0.3025267899178051,0.015323249020137954,0.7638242631903944,76.12394504641833,2.533333333333333,0.7217218899375347,0.03576494691994493,0.015295501966328718,0.670661441051261
