#{"t_start": 1782835868.2693734, "env_id": "None"}
r,l,t,is_success,episode_cost,episode_base_reward,episode_shaped_reward,episode_collision,episode_crash_vehicle,episode_crash_object,episode_out_of_road,episode_route_completion,episode_length,episode_mean_speed,episode_mean_lane_deviation,episode_max_lane_deviation,episode_steering_variation,episode_accel_variation,episode_jerk,episode_ttc_risk,episode_min_ttc,shield_intervention,shield_soft,shield_hard,overspeed_guard,shield_intervention_rate,shield_soft_rate,shield_hard_rate,overspeed_guard_rate,curriculum_stage
-566.949553,71,3.024927,0.0,1.0,39.975197998406465,-566.9495527201889,0.0,0.0,0.0,1.0,0.14670077122835412,71,34.6703486616988,0.23720637830378546,2.0,0.09180581748065814,0.014084507042253521,0.028169014084507043,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,4.0
-1453.316174,146,11.580059,0.0,1.0,71.96642612338218,-1453.3161744858255,0.0,0.0,0.0,1.0,0.26812375195255655,146,42.76849884920016,0.5999193688129931,2.0,0.07757743067835292,0.008954842204916966,0.015929671591275358,0.028959941294629567,4.697441752227993,0,0,0,0,0.0,0.0,0.0,0.0,4.0
-1450.478277,137,18.552672,0.0,1.0,35.64328608546103,-1450.4782772185927,1.0,1.0,0.0,0.0,0.2795278634582233,137,42.40568226679411,0.7129702381616102,2.0,0.11714955025019437,0.023436742107363514,0.028160605117352338,0.1664508737237594,0.16389226130869514,0,0,0,0,0.0,0.0,0.0,0.0,4.0
