label,density,n_episodes,success_rate,success_wilson95_low,success_wilson95_high,cost_rate,cost_wilson95_low,cost_wilson95_high,collision_rate,out_of_road_rate,route_completion_mean
guard_only,0.08,300,0.8666666666666667,0.8235282379361116,0.9005335831658879,0.10666666666666667,0.07657584904594214,0.14670328831736743,0.10333333333333333,0.0033333333333333335,0.9357165946625903
no_action_guard,0.08,300,0.0,0.0,0.012642971224546036,1.0,0.9873570287754538,0.9999999999999998,0.3233333333333333,0.6766666666666666,0.21525303783777236
proposed_gated_risk,0.08,300,0.8533333333333334,0.8088374877749912,0.8888948125596631,0.11666666666666667,0.08509313461466292,0.15793314332415567,0.11666666666666667,0.0,0.9415879691239165
retuned_full,0.08,300,0.8533333333333334,0.8088374877749912,0.8888948125596631,0.11666666666666667,0.08509313461466292,0.15793314332415567,0.10666666666666667,0.01,0.9433093329929466
risk_only,0.08,300,0.0,0.0,0.012642971224546036,0.0,0.0,0.012642971224546036,0.0,0.0,0.009181751489544024
shield_only,0.08,300,0.8666666666666667,0.8235282379361116,0.9005335831658879,0.07333333333333333,0.04892399383922859,0.10853134160571733,0.06666666666666667,0.006666666666666667,0.9558972884719694
guard_only,0.15,300,0.6133333333333333,0.5571245198072374,0.6666764067151987,0.24,0.19515315695222746,0.29142118808453643,0.23,0.01,0.8522528499889926
no_action_guard,0.15,300,0.0,0.0,0.012642971224546036,1.0,0.9873570287754538,0.9999999999999998,0.49333333333333335,0.5066666666666667,0.19123773244245895
proposed_gated_risk,0.15,300,0.6633333333333333,0.6080919973085686,0.7144446320914131,0.21333333333333335,0.1707525956382275,0.2631627078638455,0.21333333333333335,0.0,0.8664950318513216
retuned_full,0.15,300,0.5966666666666667,0.540271195643406,0.6506178299198485,0.28,0.23221902212795326,0.33334388521084696,0.26666666666666666,0.013333333333333334,0.8379613149302201
risk_only,0.15,300,0.0,0.0,0.012642971224546036,0.0,0.0,0.012642971224546036,0.0,0.0,0.00911970392578535
shield_only,0.15,300,0.6866666666666666,0.6320976883026915,0.7365156024401446,0.20666666666666667,0.16469552636242532,0.2560550167559749,0.2,0.006666666666666667,0.8779140080828324
