variant,reference,seed,density,variant_success,reference_success,delta_success,variant_cost,reference_cost,delta_cost,variant_route_completion,reference_route_completion,delta_route_completion,variant_collision,reference_collision,delta_collision,variant_out_of_road,reference_out_of_road,delta_out_of_road
retuned_full_proposed,guard_only,2,0.15,0.68,0.62,0.06000000000000005,0.16,0.24,-0.07999999999999999,0.8711666751696157,0.8468089572664755,0.02435771790314012,0.14,0.24,-0.09999999999999998,0.02,0.0,0.02
retuned_full_proposed,shield_only,0,0.0,0.94,1.0,-0.06000000000000005,0.0,0.0,0.0,0.9908101195195154,0.991698503827454,-0.0008883843079385834,0.0,0.0,0.0,0.0,0.0,0.0
retuned_full_proposed,shield_only,0,0.08,0.98,0.96,0.020000000000000018,0.02,0.04,-0.02,0.9863215819705886,0.974898512908048,0.011423069062540647,0.02,0.02,0.0,0.0,0.02,-0.02
retuned_full_proposed,shield_only,0,0.15,0.56,0.56,0.0,0.26,0.32,-0.06,0.8189358093143536,0.8329387441428554,-0.01400293482850179,0.26,0.32,-0.06,0.0,0.0,0.0
retuned_full_proposed,shield_only,1,0.0,0.96,0.98,-0.020000000000000018,0.0,0.0,0.0,0.9907861442110382,0.9909441175631433,-0.00015797335210510077,0.0,0.0,0.0,0.0,0.0,0.0
retuned_full_proposed,shield_only,1,0.08,0.82,0.92,-0.10000000000000009,0.1,0.08,0.020000000000000004,0.9227609405465524,0.944374123457865,-0.021613182911312534,0.1,0.06,0.04000000000000001,0.0,0.02,-0.02
retuned_full_proposed,shield_only,1,0.15,0.62,0.56,0.05999999999999994,0.3,0.22,0.07999999999999999,0.8687865702236282,0.8670118010335814,0.00177476919004671,0.26,0.22,0.04000000000000001,0.04,0.0,0.04
retuned_full_proposed,shield_only,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.991133525733511,0.9922415703041966,-0.0011080445706855846,0.0,0.0,0.0,0.0,0.0,0.0
retuned_full_proposed,shield_only,2,0.08,0.86,0.86,0.0,0.1,0.08,0.020000000000000004,0.9506697113203779,0.9584637369230197,-0.007794025602641752,0.1,0.06,0.04000000000000001,0.0,0.02,-0.02
retuned_full_proposed,shield_only,2,0.15,0.68,0.76,-0.07999999999999996,0.16,0.14,0.01999999999999999,0.8711666751696157,0.9132135143279725,-0.04204683915835683,0.14,0.14,0.0,0.02,0.0,0.02
proposed_gated_risk,guard_only,0,0.0,0.94,1.0,-0.06000000000000005,0.0,0.0,0.0,0.9883276821640066,0.991653825384311,-0.003326143220304445,0.0,0.0,0.0,0.0,0.0,0.0
proposed_gated_risk,guard_only,0,0.08,0.9,0.86,0.040000000000000036,0.08,0.08,0.0,0.9640703062408036,0.9541970551700336,0.009873251070769973,0.08,0.08,0.0,0.0,0.0,0.0
proposed_gated_risk,guard_only,0,0.15,0.62,0.62,0.0,0.2,0.22,-0.01999999999999999,0.8620457970329632,0.8613726099344109,0.0006731870985523525,0.2,0.2,0.0,0.0,0.02,-0.02
proposed_gated_risk,guard_only,1,0.0,0.94,0.96,-0.020000000000000018,0.0,0.0,0.0,0.9847053071354849,0.9888278291461677,-0.004122522010682861,0.0,0.0,0.0,0.0,0.0,0.0
proposed_gated_risk,guard_only,1,0.08,0.8,0.88,-0.07999999999999996,0.1,0.1,0.0,0.9548823252510197,0.934103289046758,0.02077903620426169,0.1,0.1,0.0,0.0,0.0,0.0
proposed_gated_risk,guard_only,1,0.15,0.62,0.66,-0.040000000000000036,0.28,0.16,0.12000000000000002,0.8494861852986025,0.8952649213047367,-0.045778736006134135,0.28,0.16,0.12000000000000002,0.0,0.0,0.0
proposed_gated_risk,guard_only,2,0.0,0.94,0.96,-0.020000000000000018,0.0,0.0,0.0,0.9896658007302661,0.9901404636622437,-0.00047466293197762077,0.0,0.0,0.0,0.0,0.0,0.0
proposed_gated_risk,guard_only,2,0.08,0.9,0.88,0.020000000000000018,0.06,0.1,-0.04000000000000001,0.9628669005110695,0.933181192140938,0.029685708370131514,0.06,0.1,-0.04000000000000001,0.0,0.0,0.0
