variant,density,n_seeds,success,cost,route_completion,collision,out_of_road,mean_speed_kmh,mean_lane_deviation,ttc_risk,risk_gate_rate,shield_intervention_rate,source_root
proposed_gated_risk,0.0,3,0.94,0.0,0.9875662633432525,0.0,0.0,18.307166869387625,0.1343431374249687,0.0,0.8865405093098774,0.8684363180289733,outputs/gated_risk_proposed_nenv16_seed0_seed1_seed2_aggregate
proposed_gated_risk,0.08,3,0.8666666666666667,0.08,0.9606065106676309,0.08,0.0,17.976393117040313,0.14645529495527526,0.0036555194341695877,0.864769482503214,0.838393347598867,outputs/gated_risk_proposed_nenv16_seed0_seed1_seed2_aggregate
proposed_gated_risk,0.15,3,0.6,0.25333333333333335,0.8494450113227001,0.25333333333333335,0.0,16.321791078426656,0.14947672805363532,0.015323249020137954,0.7638242631903944,0.7217218899375347,outputs/gated_risk_proposed_nenv16_seed0_seed1_seed2_aggregate
guard_only,0.0,3,0.9733333333333333,0.0,0.9902073727309076,0.0,0.0,18.3088421322967,0.061805349798109116,0.0,,,outputs/tuned_ablation_guard_only_nenv16_aggregate
guard_only,0.08,3,0.8733333333333334,0.09333333333333334,0.9404938454525765,0.09333333333333334,0.0,17.988764423752063,0.0791711927576199,0.0037571173315305508,,,outputs/tuned_ablation_guard_only_nenv16_aggregate
guard_only,0.15,3,0.6333333333333333,0.20666666666666667,0.867815496168541,0.19999999999999998,0.006666666666666667,16.12393881764157,0.13634125812863734,0.01627759066310022,,,outputs/tuned_ablation_guard_only_nenv16_aggregate
shield_only,0.0,3,0.9933333333333333,0.0,0.9916280638982645,0.0,0.0,18.31056378876826,0.06088609025944441,0.0,,,outputs/tuned_compare_shield_only_nenv16_seed0_seed1_seed2_aggregate
shield_only,0.08,3,0.9133333333333332,0.06666666666666667,0.9592454577629775,0.04666666666666667,0.02,18.042068916951333,0.07027947741063356,0.00351875799254249,,,outputs/tuned_compare_shield_only_nenv16_seed0_seed1_seed2_aggregate
shield_only,0.15,3,0.6266666666666667,0.22666666666666668,0.8710546865014698,0.22666666666666668,0.0,16.176034496560167,0.10513956770225923,0.016501156916972393,,,outputs/tuned_compare_shield_only_nenv16_seed0_seed1_seed2_aggregate
retuned_full_proposed,0.0,3,0.9666666666666667,0.0,0.9909099298213548,0.0,0.0,18.300425264606194,0.14999318182747598,0.0,,,outputs/retune_proposed_ttc4_cost10_lane1_nenv16_seed0_seed1_seed2_aggregate
retuned_full_proposed,0.08,3,0.8866666666666666,0.07333333333333335,0.9532507446125064,0.07333333333333335,0.0,17.918986355462597,0.15632629568784834,0.0062335624171966425,,,outputs/retune_proposed_ttc4_cost10_lane1_nenv16_seed0_seed1_seed2_aggregate
retuned_full_proposed,0.15,3,0.6200000000000001,0.24000000000000002,0.8529630182358657,0.22,0.02,16.11543484132181,0.2068488034001945,0.019861627778419197,,,outputs/retune_proposed_ttc4_cost10_lane1_nenv16_seed0_seed1_seed2_aggregate
risk_only,0.0,3,0.0,0.0,0.0088055184722317,0.0,0.0,0.013147762210229523,0.003318666608939514,0.0,,,outputs/tuned_compare_risk_nenv16_seed0_seed1_seed2_aggregate
risk_only,0.08,3,0.0,0.0,0.00907435156864243,0.0,0.0,0.013344316741981499,0.005142132310152286,0.0,,,outputs/tuned_compare_risk_nenv16_seed0_seed1_seed2_aggregate
risk_only,0.15,3,0.0,0.0,0.008876365962382676,0.0,0.0,0.013526524149127118,0.0061973748035538765,0.0,,,outputs/tuned_compare_risk_nenv16_seed0_seed1_seed2_aggregate
