variant,density,n_seeds,success_mean,success_std,success_min,success_max,cost_mean,cost_std,cost_min,cost_max,route_completion_mean,route_completion_std,route_completion_min,route_completion_max,collision_mean,collision_std,collision_min,collision_max,out_of_road_mean,out_of_road_std,out_of_road_min,out_of_road_max,speed_mean,speed_std,speed_min,speed_max,lane_deviation_mean,lane_deviation_std,lane_deviation_min,lane_deviation_max,ttc_risk_mean,ttc_risk_std,ttc_risk_min,ttc_risk_max
no_action_guard,0.08,3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.20152717800816805,0.02272464640957914,0.17724359203678927,0.22227943809607612,0.29333333333333333,0.03055050463303893,0.26,0.32,0.7066666666666667,0.030550504633038912,0.68,0.74,38.75332560525956,2.1439383185300622,36.285348539124215,40.155505738694146,0.31626933643272914,0.059831206746516104,0.2784954484301856,0.38525242139937693,0.11988216056767795,0.021067190510095576,0.09904851621062859,0.14117537751154882
no_action_guard,0.15,3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.1724021739972454,0.012321660867467124,0.1608666678510423,0.18538258261432336,0.5133333333333333,0.06110100926607783,0.46,0.58,0.4866666666666667,0.061101009266077894,0.42,0.54,36.30035421241271,1.6182585336283304,34.484151549666706,37.589003303648596,0.2806960288043037,0.07447356126975391,0.23016200684092158,0.366221199369184,0.19533471412479608,0.016353603119757545,0.17864235445219964,0.2113270813390658
proposed_gated_risk,0.0,3,0.94,0.0,0.94,0.94,0.0,0.0,0.0,0.0,0.9875662633432525,0.0025664066594005093,0.9847053071354849,0.9896658007302661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.307166869387625,0.007317995592851459,18.30012303029066,18.314731227257102,0.1343431374249687,0.08859450147926344,0.05492557225846641,0.22989655672140372,0.0,0.0,0.0,0.0
proposed_gated_risk,0.08,3,0.8666666666666667,0.05773502691896256,0.8,0.9,0.08,0.020000000000000004,0.06,0.1,0.9606065106676309,0.004993673031987356,0.9548823252510197,0.9640703062408036,0.08,0.020000000000000004,0.06,0.1,0.0,0.0,0.0,0.0,17.976393117040313,0.06063547855579363,17.906426047201375,18.013638976716496,0.14645529495527526,0.08384677359107001,0.07802397641167715,0.23998492748313438,0.0036555194341695877,0.0010391350998236973,0.002656595842517349,0.004730668210234143
proposed_gated_risk,0.15,3,0.6,0.03464101615137751,0.56,0.62,0.25333333333333335,0.04618802153517007,0.2,0.28,0.8494450113227001,0.012621423067921082,0.8368030516365345,0.8620457970329632,0.25333333333333335,0.04618802153517007,0.2,0.28,0.0,0.0,0.0,0.0,16.321791078426656,0.15248964222209124,16.15565747625811,16.455383226198496,0.14947672805363532,0.06458897419734157,0.09389793138478149,0.22033564703197592,0.015323249020137954,0.003466870139975434,0.012985939608144946,0.019306495544126893
retuned_full_proposed,0.0,3,0.9666666666666667,0.03055050463303896,0.94,1.0,0.0,0.0,0.0,0.0,0.9909099298213548,0.00019401044508956085,0.9907861442110382,0.991133525733511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.300425264606194,0.013007374570997389,18.28579514818196,18.310683376214065,0.14999318182747598,0.10039964933614741,0.07126383064175928,0.263055595060159,0.0,0.0,0.0,0.0
retuned_full_proposed,0.08,3,0.8866666666666666,0.08326663997864532,0.82,0.98,0.07333333333333333,0.046188021535170064,0.02,0.1,0.9532507446125064,0.0318588305529257,0.9227609405465524,0.9863215819705886,0.07333333333333333,0.046188021535170064,0.02,0.1,0.0,0.0,0.0,0.0,17.918986355462597,0.05303725931665358,17.884674597212168,17.980073753001644,0.15632629568784834,0.10267775141985641,0.08123876534823578,0.2733314837448717,0.006233562417196642,0.0016123864841937805,0.004392120756035945,0.007392211032655261
retuned_full_proposed,0.15,3,0.62,0.06,0.56,0.68,0.24,0.07211102550927978,0.16,0.3,0.8529630182358658,0.02949244708615509,0.8189358093143536,0.8711666751696157,0.22,0.06928203230275509,0.14,0.26,0.02,0.02,0.0,0.04,16.115434841321814,0.2565094823124814,15.89396831652241,16.39649587101497,0.2068488034001945,0.13196573089097582,0.1181639725059577,0.3585048000313127,0.019861627778419197,0.007521566689094575,0.012524501589333034,0.027554976571923975
risk_only,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0088055184722317,0.00016496895428766043,0.00861513468164025,0.008906211739064331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013147762210229523,1.5721246238446904e-05,0.013132465606015284,0.01316387620828704,0.003318666608939514,4.1821846859424415e-05,0.003287312439956108,0.003366151773226344,0.0,0.0,0.0,0.0
risk_only,0.08,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00907435156864243,0.0002207316770355671,0.008941541613014397,0.009329154025238658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013344316741981499,8.039498371264235e-06,0.013335713064765466,0.013351637866570223,0.005142132310152286,0.00011228175853200475,0.00501943390591109,0.00523975849528605,0.0,0.0,0.0,0.0
risk_only,0.15,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008876365962382676,0.00035387778242956385,0.008469133895525682,0.009109154203300508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013526524149127118,5.941047166889784e-05,0.013476752681868695,0.013592296371100631,0.0061973748035538765,0.0010145506646785712,0.005089871716037337,0.0070818690487519965,0.0,0.0,0.0,0.0
shield_only,0.0,3,0.9933333333333333,0.011547005383792526,0.98,1.0,0.0,0.0,0.0,0.0,0.9916280638982646,0.0006515882453933889,0.9909441175631433,0.9922415703041966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.31056378876826,0.008377967452037479,18.30133238204257,18.31768472386212,0.0608860902594444,0.02269613037296563,0.04625114603521285,0.08703115222188028,0.0,0.0,0.0,0.0
shield_only,0.08,3,0.9133333333333333,0.05033222956847166,0.86,0.96,0.06666666666666667,0.023094010767585032,0.04,0.08,0.9592454577629775,0.015277202081216605,0.944374123457865,0.974898512908048,0.04666666666666666,0.02309401076758503,0.02,0.06,0.02,0.0,0.02,0.02,18.042068916951333,0.0037558382670651418,18.039439198199236,18.046370372308093,0.07027947741063356,0.022884500171374555,0.05460190599619803,0.0965400074435822,0.00351875799254249,0.0005666253116389892,0.002870565434851123,0.0039199843556946504
shield_only,0.15,3,0.6266666666666667,0.11547005383792512,0.56,0.76,0.22666666666666668,0.09018499505645788,0.14,0.32,0.8710546865014698,0.04028980484251801,0.8329387441428554,0.9132135143279725,0.22666666666666668,0.09018499505645788,0.14,0.32,0.0,0.0,0.0,0.0,16.176034496560167,0.33525945070465946,15.92655384005534,16.55713092637685,0.10513956770225923,0.041629361396632744,0.08054147016174369,0.15320457694238163,0.016501156916972393,0.004564143764103043,0.01155781639886766,0.020555213567191186
wo_lane,0.0,3,0.96,0.06928203230275509,0.88,1.0,0.0,0.0,0.0,0.0,0.9903037864282057,0.0028447664299965174,0.9870220637848406,0.9920688186412179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.276262379414057,0.0062098871379908825,18.26921663429883,18.28093885723129,0.349049127275667,0.0030331665130503413,0.3466489833348285,0.3524581765871498,0.0,0.0,0.0,0.0
wo_lane,0.08,3,0.9133333333333333,0.023094010767584987,0.9,0.94,0.06,0.04,0.02,0.1,0.9692962081122409,0.011480416392297039,0.9570477550803586,0.9798115061699417,0.06,0.04,0.02,0.1,0.0,0.0,0.0,0.0,17.98793064703057,0.07786944869280427,17.91241995931477,18.06796190684823,0.3633405179128959,0.04351101712950575,0.32185162537303635,0.40862498167479444,0.002339137825358956,0.0006753358442079208,0.0016616293648736183,0.0030122798797670926
wo_lane,0.15,3,0.6066666666666667,0.011547005383792526,0.6,0.62,0.28,0.0,0.28,0.28,0.8438792274583347,0.026024993645744027,0.8140491358228278,0.8619445937397815,0.28,0.0,0.28,0.28,0.0,0.0,0.0,0.0,16.34197508999067,0.26696913598928984,16.111442981752973,16.634480332424292,0.36165151981992427,0.03085642300423895,0.3403970223110553,0.3970437356114989,0.01413744998706946,0.0012994399684409191,0.01312635244976117,0.015603105811795255
wo_smooth,0.0,3,0.9733333333333333,0.03055050463303896,0.94,1.0,0.0,0.0,0.0,0.0,0.9893499221754488,0.0019146437111026509,0.9874165145904662,0.9912452334594098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.298503062102863,0.004204731040835464,18.294269822667957,18.302678692757837,0.17781528837022523,0.1210491831704691,0.09520341697819962,0.31676529083462057,0.0,0.0,0.0,0.0
wo_smooth,0.08,3,0.82,0.019999999999999962,0.8,0.84,0.14666666666666667,0.03055050463303893,0.12,0.18,0.918392603013372,0.034546915861297066,0.8785495690438269,0.940013790143729,0.14,0.020000000000000004,0.12,0.16,0.006666666666666667,0.011547005383792516,0.0,0.02,17.966588237907924,0.07501033701757272,17.888470832779316,18.038047618265594,0.19458995227331535,0.12896042308307062,0.10211584836796424,0.34190714966485203,0.004620920975982422,0.0022320494122137625,0.002078771332223845,0.006259624646182142
wo_smooth,0.15,3,0.5666666666666667,0.08082903768654762,0.48,0.64,0.2866666666666667,0.11718930554164629,0.2,0.42,0.821030144373819,0.07494086376784212,0.7361095619892454,0.8778954374011942,0.28,0.10583005244258363,0.2,0.4,0.006666666666666667,0.011547005383792516,0.0,0.02,16.16515671722589,0.31666099211086657,15.872468346301801,16.501301645755476,0.2445272598936176,0.13127697491820683,0.1539140943133014,0.3950744470687333,0.01735467168400466,0.004744763411579712,0.012010167770346823,0.021070948673836902
wo_ttc,0.0,3,0.9866666666666667,0.023094010767585053,0.96,1.0,0.0,0.0,0.0,0.0,0.9910384625177334,0.0011455098238782517,0.9897158031364361,0.9917108320182259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.310017728949273,0.003486948547426088,18.30619742116763,18.313029130547264,0.1292961809700606,0.062093872847949726,0.05794286803255714,0.1710701807036592,0.0,0.0,0.0,0.0
wo_ttc,0.08,3,0.9,0.07211102550927981,0.82,0.96,0.06666666666666667,0.04618802153517006,0.04,0.12,0.9502187497792272,0.0301456867075863,0.9167427524136593,0.9752199577270193,0.06666666666666667,0.04618802153517006,0.04,0.12,0.0,0.0,0.0,0.0,18.015573170179263,0.07214116931997717,17.940175198446266,18.083943114699938,0.14101090940992372,0.06460805902448133,0.06660105781096283,0.18286145461657988,0.00350420329299786,0.0009937705787193937,0.002406970266768451,0.004343748882936915
wo_ttc,0.15,3,0.54,0.11135528725660045,0.44,0.66,0.36000000000000004,0.17088007490635063,0.2,0.54,0.8229038416289297,0.08060604710698935,0.7433404849954889,0.9045136090859529,0.36000000000000004,0.17088007490635063,0.2,0.54,0.0,0.0,0.0,0.0,16.369118537113277,0.27285197495502916,16.20551174503508,16.684101720926254,0.17415644555912577,0.06731618659969017,0.10355127781326023,0.237613100079266,0.013732581454007575,0.0069405717926754725,0.005976739181122278,0.019358850321273952
