variant,density,n_seeds,success_mean,success_std,success_min,success_max,cost_mean,cost_std,cost_min,cost_max,route_completion_mean,route_completion_std,route_completion_min,route_completion_max,collision_mean,collision_std,collision_min,collision_max,out_of_road_mean,out_of_road_std,out_of_road_min,out_of_road_max,speed_mean,speed_std,speed_min,speed_max,lane_deviation_mean,lane_deviation_std,lane_deviation_min,lane_deviation_max,ttc_risk_mean,ttc_risk_std,ttc_risk_min,ttc_risk_max
baseline,0.0,3,0.006666666666666667,0.011547005383792516,0.0,0.02,0.9933333333333333,0.011547005383792526,0.98,1.0,0.3029121061499139,0.025270732374496317,0.2783393026771257,0.32882726101560095,0.0,0.0,0.0,0.0,0.9933333333333333,0.011547005383792526,0.98,1.0,46.02015931017251,1.0005296047343442,45.317777634796556,47.16573952122969,0.356738555258682,0.15623947804043883,0.26590549232257976,0.5371469031697432,0.0,0.0,0.0,0.0
baseline,0.08,3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.24203323912218055,0.025871467287229007,0.22076646809536044,0.27083599879002324,0.45333333333333337,0.09237604307034014,0.4,0.56,0.5466666666666666,0.0923760430703401,0.44,0.6,43.41652198961938,2.02653103695273,41.61980415179953,45.61321900092962,0.33835026063770435,0.15211704418905478,0.2457743809666675,0.5139126179353221,0.09033808290128136,0.014157883633092817,0.07535027074565578,0.10348617186072781
baseline,0.15,3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.18951866394192662,0.013163171645039138,0.1768995024525736,0.2031655916346481,0.6266666666666667,0.05033222956847171,0.58,0.68,0.37333333333333335,0.05033222956847166,0.32,0.42,39.44531184239358,0.2324931311821094,39.23052744153062,39.69218092946337,0.316675756951552,0.1153929289306974,0.24373244541021039,0.44971336439900206,0.1327554927367928,0.012970232249502577,0.12156989641873894,0.14697318224952335
curriculum,0.0,3,0.006666666666666667,0.011547005383792516,0.0,0.02,0.9933333333333333,0.011547005383792526,0.98,1.0,0.34894748883854637,0.044292736555540474,0.3040332045949122,0.3925913441254591,0.0,0.0,0.0,0.0,0.9933333333333333,0.011547005383792526,0.98,1.0,46.90044246363922,2.023925542998412,45.27567404125375,49.16760166905467,0.3034089042471236,0.049938292408733265,0.26528979012884363,0.35993888834984433,0.0,0.0,0.0,0.0
curriculum,0.08,3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.23556966126856244,0.017718959788491254,0.22319150173363753,0.25586715734977644,0.37333333333333335,0.04618802153517007,0.32,0.4,0.6266666666666667,0.046188021535170105,0.6,0.68,42.124594796309445,0.8827448366186282,41.38034798488009,43.09988564091218,0.2785537564648105,0.04810843545539083,0.24545955605703493,0.33374024054697715,0.09684660697372637,0.02132769219654563,0.0833828883379443,0.12143670430108978
curriculum,0.15,3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.17653213530547082,0.004336552993954636,0.17221697390571386,0.18088976792289865,0.6266666666666667,0.09865765724632493,0.56,0.74,0.37333333333333335,0.09865765724632494,0.26,0.44,38.59232613141341,0.6415981114195503,38.19513049745334,39.33251868419636,0.26119275539889697,0.05758366879858345,0.20159811570185163,0.3165290278852915,0.17597803894321876,0.06319384413211203,0.12440653074799637,0.2464711368787975
guard_only,0.0,3,0.9733333333333333,0.023094010767585053,0.96,1.0,0.0,0.0,0.0,0.0,0.9902073727309075,0.0014141857381907378,0.9888278291461677,0.991653825384311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.3088421322967,0.004248898194447398,18.306069328095614,18.31373378809899,0.061805349798109116,0.016569228721448503,0.04285050054386063,0.07353546342622988,0.0,0.0,0.0,0.0
guard_only,0.08,3,0.8733333333333333,0.011547005383792526,0.86,0.88,0.09333333333333334,0.011547005383792518,0.08,0.1,0.9404938454525765,0.011876280271885994,0.933181192140938,0.9541970551700336,0.09333333333333334,0.011547005383792518,0.08,0.1,0.0,0.0,0.0,0.0,17.988764423752066,0.10543040142166077,17.882168010876864,18.09298878374103,0.0791711927576199,0.015856270207819226,0.060861993997781784,0.08836094157469457,0.003757117331530551,0.0013181448615705435,0.0022350821869193183,0.004526049448107663
guard_only,0.15,3,0.6333333333333333,0.023094010767585053,0.62,0.66,0.20666666666666667,0.04163331998932265,0.16,0.24,0.867815496168541,0.02486218413552542,0.8468089572664755,0.8952649213047367,0.2,0.039999999999999994,0.16,0.24,0.006666666666666667,0.011547005383792516,0.0,0.02,16.12393881764157,0.105294854503549,16.021549920187976,16.231916993294323,0.13634125812863734,0.021156299334276277,0.11203911246199334,0.15064716007801718,0.016277590663100215,0.0013960817972682072,0.014727510681236494,0.017436014824326898
no_action_guard,0.0,3,0.02666666666666667,0.046188021535170064,0.0,0.08,0.9733333333333334,0.046188021535170036,0.92,1.0,0.2538295089003128,0.03592411119949364,0.22735459421933155,0.2947229047522634,0.0,0.0,0.0,0.0,0.9733333333333334,0.046188021535170036,0.92,1.0,41.21140150714204,2.6976794332826297,38.20345700020215,43.4165703857705,0.32708009820116685,0.023772306790388012,0.31002879746336265,0.354235360146751,0.0,0.0,0.0,0.0
