rank_success_cost_route,stress_label,density,success,cost,route_completion,collision,out_of_road,mean_speed_kmh,source
1,shield_only,0.2,0.48,0.36,0.7775696482189013,0.34,0.02,14.302851999960195,outputs/stress_density_020_025_nenv16_20260701_0153/aggregate
2,retune_proposed_ttc4_cost10_lane1,0.2,0.4533333333333333,0.38,0.7529680841143322,0.34,0.04,14.355979034017707,outputs/stress_density_020_025_nenv16_20260701_0153/aggregate
3,proposed_gated_risk,0.2,0.44666666666666666,0.3666666666666667,0.7658929663491492,0.3666666666666667,0.0,14.467252313166911,outputs/stress_gated_risk_density_020_025_nenv16_20260701_0346/aggregate
4,guard_only,0.2,0.41333333333333333,0.4066666666666667,0.7334469886454233,0.38,0.02666666666666667,13.8046004769249,outputs/stress_density_020_025_nenv16_20260701_0153/aggregate
5,full_proposed_candidate,0.2,0.38,0.4,0.7443113213329334,0.38,0.02,13.905461471212735,outputs/stress_density_020_025_nenv16_20260701_0153/aggregate
6,risk,0.2,0.0,0.0,0.009206070298710255,0.0,0.0,0.013543700026894671,outputs/stress_density_020_025_nenv16_20260701_0153/aggregate
1,guard_only,0.25,0.26666666666666666,0.4866666666666667,0.658403345698857,0.46,0.02666666666666667,12.144666061473426,outputs/stress_density_020_025_nenv16_20260701_0153/aggregate
2,proposed_gated_risk,0.25,0.22,0.5266666666666666,0.6282889355080004,0.5266666666666666,0.0,12.5925113226172,outputs/stress_gated_risk_density_020_025_nenv16_20260701_0346/aggregate
3,full_proposed_candidate,0.25,0.20666666666666667,0.5866666666666667,0.5869420460229963,0.56,0.02666666666666667,12.150922530140305,outputs/stress_density_020_025_nenv16_20260701_0153/aggregate
4,shield_only,0.25,0.19333333333333333,0.5866666666666667,0.6092649382729954,0.5333333333333333,0.05333333333333334,11.869576039182222,outputs/stress_density_020_025_nenv16_20260701_0153/aggregate
5,retune_proposed_ttc4_cost10_lane1,0.25,0.17333333333333334,0.6866666666666666,0.5707261714463111,0.6466666666666666,0.04,12.848026496397503,outputs/stress_density_020_025_nenv16_20260701_0153/aggregate
6,risk,0.25,0.0,0.0,0.00898959963310597,0.0,0.0,0.013664889233125387,outputs/stress_density_020_025_nenv16_20260701_0153/aggregate
