density,success,route_completion,collision,out_of_road,cost,reward,episode_length,speed,lane_deviation,steering_variation,accel_variation,ttc_risk
0.0,0.9733333333333333,0.9902073727309076,0.0,0.0,0.0,571.6684521112289,1105.48,18.3088421322967,0.061805349798109116,0.00987593032804816,0.22604439162885262,0.0
0.08,0.8733333333333334,0.9404938454525765,0.09333333333333334,0.0,0.09333333333333334,536.2040970139632,1076.86,17.988764423752063,0.0791711927576199,0.012639718931069919,0.23644774715468864,0.0037571173315305508
0.15,0.6333333333333333,0.867815496168541,0.19999999999999998,0.006666666666666667,0.20666666666666667,454.2500912857825,1100.8999999999999,16.12393881764157,0.13634125812863734,0.01688085589104289,0.3111613126871311,0.01627759066310022
