density,success_guard_only,success_full_proposed,delta_success_guard_minus_full,cost_guard_only,cost_full_proposed,delta_cost_guard_minus_full,route_completion_guard_only,route_completion_full_proposed,delta_route_completion_guard_minus_full,collision_guard_only,collision_full_proposed,delta_collision_guard_minus_full,out_of_road_guard_only,out_of_road_full_proposed,delta_out_of_road_guard_minus_full
0.0,0.9733333333333333,0.973333,3.333333332689037e-07,0.0,0.0,0.0,0.9902073727309076,0.989437,0.0007703727309076314,0.0,0.0,0.0,0.0,0.0,0.0
0.08,0.8733333333333334,0.833333,0.040000333333333415,0.09333333333333334,0.133333,-0.03999966666666667,0.9404938454525765,0.928769,0.011724845452576571,0.09333333333333334,0.126667,-0.033333666666666664,0.0,0.006667,-0.006667
0.15,0.6333333333333333,0.62,0.013333333333333308,0.20666666666666667,0.246667,-0.04000033333333333,0.867815496168541,0.865068,0.002747496168541086,0.19999999999999998,0.233333,-0.03333300000000003,0.006666666666666667,0.013333,-0.006666333333333332
