density,baseline,ablation_success,guard_only_success,delta_success,ablation_cost,guard_only_cost,delta_cost,ablation_route_completion,guard_only_route_completion,delta_route_completion,ablation_lane_deviation,guard_only_lane_deviation,delta_lane_deviation,ablation_collision,guard_only_collision,delta_collision,ablation_out_of_road,guard_only_out_of_road,delta_out_of_road,ablation_ttc_risk,guard_only_ttc_risk,delta_ttc_risk
0.0,guard_only,0.9733333333333333,0.9733333333333333,0.0,0.0,0.0,0.0,0.9893499221754488,0.9902073727309076,-0.0008574505554588274,0.17781528837022523,0.061805349798109116,0.11600993857211611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08,guard_only,0.82,0.8733333333333334,-0.053333333333333455,0.14666666666666667,0.09333333333333334,0.05333333333333333,0.918392603013372,0.9404938454525765,-0.022101242439204527,0.19458995227331535,0.0791711927576199,0.11541875951569545,0.14,0.09333333333333334,0.046666666666666676,0.006666666666666667,0.0,0.006666666666666667,0.004620920975982423,0.0037571173315305508,0.0008638036444518723
0.15,guard_only,0.5666666666666668,0.6333333333333333,-0.06666666666666654,0.2866666666666666,0.20666666666666667,0.07999999999999996,0.821030144373819,0.867815496168541,-0.046785351794721985,0.2445272598936176,0.13634125812863734,0.10818600176498025,0.28,0.19999999999999998,0.08000000000000004,0.006666666666666667,0.006666666666666667,0.0,0.017354671684004664,0.01627759066310022,0.0010770810209044454
