density,baseline,no_action_guard_success,shield_only_success,delta_success,no_action_guard_cost,shield_only_cost,delta_cost,no_action_guard_route_completion,shield_only_route_completion,delta_route_completion,no_action_guard_lane_deviation,shield_only_lane_deviation,delta_lane_deviation,no_action_guard_collision,shield_only_collision,delta_collision,no_action_guard_out_of_road,shield_only_out_of_road,delta_out_of_road,no_action_guard_ttc_risk,shield_only_ttc_risk,delta_ttc_risk
0.0,shield_only,0.02666666666666667,0.9933333333333333,-0.9666666666666667,0.9733333333333333,0.0,0.9733333333333333,0.2538295089003128,0.9916280638982645,-0.7377985549979518,0.3270800982011668,0.06088609025944441,0.2661940079417224,0.0,0.0,0.0,0.9733333333333333,0.0,0.9733333333333333,0.0,0.0,0.0
0.08,shield_only,0.0,0.9133333333333332,-0.9133333333333332,1.0,0.06666666666666667,0.9333333333333333,0.20152717800816802,0.9592454577629775,-0.7577182797548095,0.31626933643272914,0.07027947741063356,0.24598985902209558,0.2933333333333334,0.04666666666666667,0.24666666666666673,0.7066666666666667,0.02,0.6866666666666666,0.11988216056767793,0.00351875799254249,0.11636340257513544
0.15,shield_only,0.0,0.6266666666666667,-0.6266666666666667,1.0,0.22666666666666668,0.7733333333333333,0.17240217399724542,0.8710546865014698,-0.6986525125042243,0.2806960288043037,0.10513956770225923,0.17555646110204448,0.5133333333333333,0.22666666666666668,0.2866666666666666,0.48666666666666664,0.0,0.48666666666666664,0.19533471412479608,0.016501156916972393,0.17883355720782368
