density,baseline,no_action_guard_success,guard_only_success,delta_success,no_action_guard_cost,guard_only_cost,delta_cost,no_action_guard_route_completion,guard_only_route_completion,delta_route_completion,no_action_guard_lane_deviation,guard_only_lane_deviation,delta_lane_deviation,no_action_guard_collision,guard_only_collision,delta_collision,no_action_guard_out_of_road,guard_only_out_of_road,delta_out_of_road,no_action_guard_ttc_risk,guard_only_ttc_risk,delta_ttc_risk
0.0,guard_only,0.02666666666666667,0.9733333333333333,-0.9466666666666667,0.9733333333333333,0.0,0.9733333333333333,0.2538295089003128,0.9902073727309076,-0.7363778638305949,0.3270800982011668,0.061805349798109116,0.26527474840305765,0.0,0.0,0.0,0.9733333333333333,0.0,0.9733333333333333,0.0,0.0,0.0
0.08,guard_only,0.0,0.8733333333333334,-0.8733333333333334,1.0,0.09333333333333334,0.9066666666666666,0.20152717800816802,0.9404938454525765,-0.7389666674444085,0.31626933643272914,0.0791711927576199,0.23709814367510923,0.2933333333333334,0.09333333333333334,0.20000000000000007,0.7066666666666667,0.0,0.7066666666666667,0.11988216056767793,0.0037571173315305508,0.11612504323614738
0.15,guard_only,0.0,0.6333333333333333,-0.6333333333333333,1.0,0.20666666666666667,0.7933333333333333,0.17240217399724542,0.867815496168541,-0.6954133221712956,0.2806960288043037,0.13634125812863734,0.14435477067566638,0.5133333333333333,0.19999999999999998,0.31333333333333335,0.48666666666666664,0.006666666666666667,0.48,0.19533471412479608,0.01627759066310022,0.17905712346169586
