density,baseline,no_action_guard_success,full_proposed_success,delta_success,no_action_guard_cost,full_proposed_cost,delta_cost,no_action_guard_route_completion,full_proposed_route_completion,delta_route_completion,no_action_guard_lane_deviation,full_proposed_lane_deviation,delta_lane_deviation,no_action_guard_collision,full_proposed_collision,delta_collision,no_action_guard_out_of_road,full_proposed_out_of_road,delta_out_of_road,no_action_guard_ttc_risk,full_proposed_ttc_risk,delta_ttc_risk
0.08,full_proposed,0.0,nan,nan,1.0,nan,nan,0.20152717800816802,nan,nan,0.31626933643272914,nan,nan,0.2933333333333334,nan,nan,0.7066666666666667,nan,nan,0.11988216056767793,nan,nan
0.15,full_proposed,0.0,nan,nan,1.0,nan,nan,0.17240217399724542,nan,nan,0.2806960288043037,nan,nan,0.5133333333333333,nan,nan,0.48666666666666664,nan,nan,0.19533471412479608,nan,nan
