variant,algo,seed,density,episode,reward,shaped_reward,success,collision,out_of_road,cost,mean_speed_kmh,steering_variation,ttc_risk
proposed,ppo,0,0.0,0,144.39866545080906,135.2683291018744,0.0,1.0,0.0,1.0,47.04193177172091,0.059520626593320095,0.07399791798870278
proposed,ppo,0,0.0,1,282.9491904075869,278.12679945841626,0.0,0.0,1.0,1.0,57.59078767606011,0.05512732145143673,0.0
proposed,ppo,0,0.0,2,314.74201189738085,309.48428217860885,0.0,0.0,1.0,1.0,63.28164969828084,0.03840861329449121,0.0
proposed,ppo,0,0.0,3,183.55405518536205,181.55626121306932,0.0,0.0,1.0,1.0,56.07857583485602,0.02673195128055859,0.0
proposed,ppo,0,0.0,4,228.0077797901069,223.37617183069253,0.0,0.0,1.0,1.0,51.887256468363965,0.0625037790510387,0.0
proposed,ppo,0,0.0,5,179.51041574971975,176.10331650225555,0.0,0.0,1.0,1.0,55.84203763055972,0.03293422036367701,0.0
proposed,ppo,0,0.0,6,176.63458592890188,173.34112080426294,0.0,0.0,1.0,1.0,51.09673772078307,0.04188518418404446,0.0
proposed,ppo,0,0.0,7,325.17319337289223,321.12836468966555,0.0,0.0,1.0,1.0,58.12627127281813,0.029845131056693692,0.0
proposed,ppo,0,0.0,8,282.0084950938036,278.5819098100401,0.0,0.0,1.0,1.0,56.6509092898372,0.04746302112111265,0.0
proposed,ppo,0,0.0,9,215.28268858333908,211.13917028040186,0.0,0.0,1.0,1.0,55.82804449806807,0.04864422210756367,0.0
proposed,ppo,0,0.0,10,74.82875130198387,68.77184351628883,0.0,1.0,0.0,1.0,36.590325451497876,0.03735549207135008,0.08549297419612036
proposed,ppo,0,0.0,11,356.14608835801687,348.2669131609325,0.0,0.0,1.0,1.0,50.861159626539425,0.047369141048230805,0.0
proposed,ppo,0,0.0,12,67.57569113106175,65.25699023412145,0.0,0.0,1.0,1.0,36.88189111693594,0.023902582865255543,0.0
proposed,ppo,0,0.0,13,70.68745960921272,67.6939690150113,0.0,0.0,1.0,1.0,36.358748970759024,0.024847771558349697,0.0
proposed,ppo,0,0.0,14,59.83883507994686,58.08437754959627,0.0,0.0,1.0,1.0,35.26239776793053,0.03319270429646542,0.0
proposed,ppo,0,0.0,15,333.4138978155121,325.9995882805499,0.0,0.0,1.0,1.0,61.87732210883706,0.04305662078838123,0.0
proposed,ppo,0,0.0,16,146.96251106929913,143.4549566077756,0.0,0.0,1.0,1.0,50.15969355282913,0.027404155346212555,0.0
proposed,ppo,0,0.0,17,228.01826364119492,224.63898438835767,0.0,0.0,1.0,1.0,55.665529246781745,0.05752647737700803,0.0
proposed,ppo,0,0.0,18,275.1199658689782,271.0994337327296,0.0,0.0,1.0,1.0,60.23912115297368,0.027276253788566667,0.0
proposed,ppo,0,0.0,19,79.5908882732555,76.18506016112707,0.0,0.0,1.0,1.0,37.389748672662265,0.04841013217156523,0.0
proposed,ppo,0,0.1,0,75.73619459060386,67.3363271624557,0.0,1.0,0.0,1.0,38.48890060574025,0.05843618711566224,0.10899394354511227
proposed,ppo,0,0.1,1,206.54963166250104,194.26347748622004,0.0,1.0,0.0,1.0,53.150332832202956,0.05086398480035015,0.0942769118613736
proposed,ppo,0,0.1,2,107.42913094051823,96.29058993420311,0.0,1.0,0.0,1.0,44.418577988534416,0.04809700378941165,0.1546835775584221
proposed,ppo,0,0.1,3,174.97737242756227,165.1706587481231,0.0,1.0,0.0,1.0,54.853832638754604,0.023337044254066828,0.1160857044093169
proposed,ppo,0,0.1,4,61.01881443278451,50.974138815484345,0.0,1.0,0.0,1.0,34.08450043231078,0.06977409808231251,0.1785289559234061
proposed,ppo,0,0.1,5,175.3378450257819,161.167377274507,0.0,0.0,1.0,1.0,54.365963492793135,0.055303195075391505,0.13722431591158904
proposed,ppo,0,0.1,6,146.4541304672277,136.95805760574498,0.0,1.0,0.0,1.0,46.95042712104152,0.038889277122185394,0.10099656446069429
proposed,ppo,0,0.1,7,149.63207175529044,130.23302286029653,0.0,1.0,0.0,1.0,50.428960530948316,0.033977861151840816,0.2588224341782447
proposed,ppo,0,0.1,8,159.67119737183987,148.38354979451842,0.0,1.0,0.0,1.0,48.81615042444404,0.03977849496234404,0.11027342511513027
proposed,ppo,0,0.1,9,138.40745503452374,125.69934626445895,0.0,0.0,1.0,1.0,46.66973629331207,0.05984956205286311,0.09310522529532206
proposed,ppo,0,0.1,10,75.00102345553162,69.476112015005,0.0,1.0,0.0,1.0,36.3356354348015,0.039696363860574096,0.07412095482478298
proposed,ppo,0,0.1,11,191.25501880870493,179.4392552749574,0.0,1.0,0.0,1.0,55.30546325187032,0.05219429879589006,0.11346069246962988
proposed,ppo,0,0.1,12,67.6616124671874,63.62024808670315,0.0,0.0,1.0,1.0,36.885258461428066,0.024428461489703835,0.036423972572109345
proposed,ppo,0,0.1,13,71.51279687412504,68.50311718771391,0.0,0.0,1.0,1.0,36.35497505449462,0.024934062203101348,0.0
proposed,ppo,0,0.1,14,61.659542919278906,59.85140693236341,0.0,0.0,1.0,1.0,35.465425084093155,0.03970257757380065,0.0
proposed,ppo,0,0.1,15,111.83139009805448,102.79946603585658,0.0,1.0,0.0,1.0,46.441376760199674,0.019903631110445418,0.10380766663977846
proposed,ppo,0,0.1,16,145.83078967445982,142.47608896007878,0.0,0.0,1.0,1.0,50.40935393976949,0.029609435459238116,0.0
proposed,ppo,0,0.1,17,119.65411652487083,110.5083596077749,0.0,0.0,1.0,1.0,46.713011485511366,0.05016832951137244,0.08206274063666899
proposed,ppo,0,0.1,18,232.95701979660927,212.14217689156217,0.0,1.0,0.0,1.0,58.66471242433139,0.06736749542593774,0.18858745828377657
proposed,ppo,0,0.1,19,78.96427702778415,75.593403690048,0.0,0.0,1.0,1.0,37.32976537149035,0.047953735827729944,0.0
proposed,ppo,0,0.25,0,56.561208867758474,42.89744359444713,0.0,1.0,0.0,1.0,33.88446086656121,0.07326471691744195,0.2568031571406496
proposed,ppo,0,0.25,1,49.876075620190235,39.26699753840687,0.0,1.0,0.0,1.0,32.63063400873668,0.02518591102304273,0.22619384219815056
proposed,ppo,0,0.25,2,54.91425827089361,44.697065366538105,0.0,1.0,0.0,1.0,33.59525414099966,0.03689834737451747,0.20341164561540262
proposed,ppo,0,0.25,3,42.81845504406799,33.91893757495953,0.0,1.0,0.0,1.0,30.799558508703104,0.010345858135094334,0.22537152731081914
proposed,ppo,0,0.25,4,59.220377312276554,49.122360448617854,0.0,1.0,0.0,1.0,34.25592230279363,0.06350002596702646,0.18333425963940944
proposed,ppo,0,0.25,5,47.83100078455904,37.50603320535113,0.0,1.0,0.0,1.0,32.41352693519815,0.04810288886271291,0.22923536101028916
proposed,ppo,0,0.25,6,74.28330410498205,61.27106472217278,0.0,1.0,0.0,1.0,37.753176006724445,0.03497326883135011,0.24168693978426628
proposed,ppo,0,0.25,7,37.14388903629807,27.933944234643707,0.0,1.0,0.0,1.0,27.61666541586637,0.020633447339588946,0.23875013203773618
