label,density,episodes,train_seeds,success,cost,route_completion,collision,out_of_road,mean_speed_kmh,median_speed_kmh,stop_ratio,low_progress,ttc_dangerous_fraction,intervention_rate_per_100_steps,intervention_rate_per_km,policy_inference_ms_mean,control_loop_wall_ms_mean
baseline,0.15,120,3,0.0,1.0,0.207462385068572,0.6333333333333333,0.36666666666666664,41.05287657109465,45.98581892309081,0.00144531781458909,0.575,0.6035290469304827,0.0,0.0,1.3867521253516841,10.290055859899843
guard_only,0.15,120,3,0.5916666666666667,0.20833333333333334,0.8638174439237613,0.18333333333333332,0.025,15.801533864706586,17.16677775442407,0.02448676281485511,0.0,0.11817618873900362,69.64578933292941,1582.30085162239,0.862610488005618,8.373133975699574
no_action_guard,0.15,120,3,0.008333333333333333,1.0,0.21725705408278018,0.5333333333333333,0.4666666666666667,36.83204851385207,40.87547190427269,0.0019621517857307184,0.5583333333333333,0.4868680441508934,0.0,0.0,0.8726806263021936,6.204188795964653
risk_only,0.15,120,3,0.0,0.0,0.008989883150365854,0.0,0.0,0.01346979611093721,0.012477700131253907,1.0,1.0,0.0,0.0,0.0,0.8270701316376896,4.119133369704651
